experiment,baseline,prior
0,-3.2227058054457673,-3.2227058054457673
1,-2.855179312422437,-2.9786522904595105
2,-2.548754843859558,-2.886826992915421
3,-2.548754843859558,-2.886826992915421
4,-2.4719935179651844,-2.6246611305175676
5,-2.4680625445641917,-2.5463439253416977
6,-2.4680625445641917,-2.522542200610574
7,-2.449293603399661,-2.522542200610574
8,-2.449293603399661,-2.4654770479029398
9,-2.449293603399661,-2.4504428177279065
10,-2.449293603399661,-2.4041942611181017
11,-2.4094722316056103,-2.394365606934416
12,-2.4059659347656766,-2.394365606934416
13,-2.403510318665071,-2.394365606934416
14,-2.403510318665071,-2.394365606934416
15,-2.403510318665071,-2.394365606934416
16,-2.403510318665071,-2.394365606934416
17,-2.403510318665071,-2.3935112295800867
18,-2.311954143245763,-2.3935112295800867
19,-2.308175287156823,-2.3900898195269766
20,-2.308175287156823,-2.3900898195269766
21,-2.308175287156823,-2.3619548339267036
22,-2.3010480795574453,-2.3414662887100763
23,-2.3010480795574453,-2.2875021026204676
24,-2.2786422876911567,-2.2483711596431655
25,-2.2786422876911567,-2.2401132983787235
26,-2.2786422876911567,-2.227369590194646
27,-2.2786422876911567,-2.227369590194646
28,-2.2546845360334777,-2.2096065741690403
29,-2.2546845360334777,-2.2096065741690403
30,-2.2546845360334777,-2.2096065741690403
31,-2.2546845360334777,-2.2096065741690403
32,-2.2546845360334777,-2.1817835442795603
33,-2.2521702324972024,-2.1817835442795603
34,-2.2521702324972024,-2.1817835442795603
35,-2.2521702324972024,-2.1817835442795603
36,-2.210535725361726,-2.1817835442795603
37,-2.210535725361726,-2.1817835442795603
38,-2.186409546295677,-2.1792692407432845
39,-2.186409546295677,-2.1792692407432845
40,-2.186409546295677,-2.1792692407432845
