panel,target,measure,estimate,ci95_low,ci95_high,null_q95,holm_p,n,route
b,A,composition_only_donor,0.5526382098590804,,,0.2356675765930844,0.0079840319361277,126,ranking only
b,A,static_spectral_donor,-0.2041455440131223,,,0.3444128146291329,0.6407185628742516,126,ranking only
c,A,relative_rmse_gain,0.0319129678506787,-0.0175541403278065,0.0969059318970144,,,126,ranking only
c,A,spearman_gain,0.2823668834928968,0.2086008463866555,0.3448985836608844,,,126,ranking only
d,A,later_selected_candidates_spearman,0.3593984962406014,,,,0.0598794012059879,20,ranking only
b,B,composition_only_donor,0.611876611470938,,,0.2418378106304631,0.0079840319361277,126,predict + rank
b,B,static_spectral_donor,0.4635697027503481,,,0.2644717048560202,0.0079840319361277,126,predict + rank
c,B,relative_rmse_gain,0.1634879441228944,0.0924460529225531,0.2294757215978192,,,126,predict + rank
c,B,spearman_gain,0.3472799072063857,0.2599007042311874,0.4260566336628238,,,126,predict + rank
d,B,later_selected_candidates_spearman,0.475187969924812,,,,0.0349796502034979,20,predict + rank
b,C,composition_only_donor,0.2550079491542782,,,0.1714545400198842,0.0079840319361277,126,reject
b,C,static_spectral_donor,0.0809190989082224,,,0.1827079521458163,0.499001996007984,126,reject
c,C,relative_rmse_gain,-0.1037710009360328,-0.1722373754046679,-0.0342655909883391,,,126,reject
c,C,spearman_gain,0.1643290198588936,0.0706959859124348,0.2707405379362441,,,126,reject
d,C,later_selected_candidates_spearman,0.5310267393210225,,,,0.0261597384026159,20,reject
b,D,composition_only_donor,0.7465762773084113,,,0.2750210350361169,0.0079840319361277,126,predict + rank
b,D,static_spectral_donor,0.1427862226228572,,,0.1354235877322497,0.1497005988023952,126,predict + rank
c,D,relative_rmse_gain,0.260734871957417,0.1998562990026123,0.3171074155944097,,,126,predict + rank
c,D,spearman_gain,0.4070955237350397,0.3517007073893209,0.4589910342442487,,,126,predict + rank
d,D,later_selected_candidates_spearman,0.6160211041131975,,,,0.0101198988010119,20,predict + rank
