system,dH_slope,lnA,n
([Cu2(pzdc)2pyz]|uptake_Carbon Dioxide,2343.2747759455897,-4.623843645448059,5
Activated Carbon|uptake_Nitrogen,384.0420298342733,0.7662120406049207,5
BAX-Activated Carbon|uptake_N-Butane,1038.8688775304702,-1.4252963998932042,9
C12H12O4Zn|uptake_Ethanol,1461.8948099648956,-5.0917043948946255,4
C12H6O13Zn4|uptake_Methane,1047.7365829128064,-1.327602544658026,4
C13H8CuNO4|uptake_Methane,716.890086712021,1.9107167522081536,4
C36H24Cu3N13O12|uptake_Carbon Dioxide,1052.9981681535182,0.541094951127986,4
CALF-33-Et2H|uptake_Carbon Dioxide,2213.0472762305835,-7.350780128073974,4
CALF-33-Et3|uptake_Carbon Dioxide,2358.529753493841,-8.563081663726422,4
Carbon-ZX .9nm slit pore|uptake_Xenon,144.06532781321602,0.7943728845364099,4
Carbon-ZX 1.4nm slit pore|uptake_Xenon,327.5630752456227,0.6244070230837129,4
Carbon-ZX 1.6nm slit pore|uptake_Xenon,753.6417297779652,-0.9989429201676023,4
Carbon-ZX 1.8nm slit pore|uptake_Xenon,733.0573200907645,-1.0412587061904748,4
Cornmeal|uptake_Ethanol,11052.988083102173,-33.844374515490685,5
CuBTC|uptake_Isobutene,408.06079125217116,-1.3710684193235205,5
CuBTC|uptake_Xenon,2150.8567792209774,-2.8440917607831633,5
FJI-H8|uptake_Acetylene,829.4319564293364,2.6045789089977687,4
Grade 03 Silica Gel|uptake_2-Propanol,1253.7180139322172,-2.913028759537846,7
Grade 03 Silica Gel|uptake_Toluene,2016.0368780444028,-5.280200726730468,7
Grade 03 Silica Gel|uptake_Water,4552.745941855338,-12.525035111246046,7
"Graphite, 0.0625 O/C atomic ratio|uptake_Methane",443.74495218526187,-5.998685456482736,4
HiSiv 3000 Zeolite|uptake_Toluene,860.6997050428566,-2.78344947230937,7
HiSiv 3000 Zeolite|uptake_Water,2413.2970177151087,-7.600817885312411,7
JNU-1|uptake_Au(III),217.72524019857545,3.417709028570466,4
MCM-41|uptake_Hydrogen,741.070291040431,-3.234079079518576,4
MFU-4l|uptake_Krypton,1342.2251430982158,-1.9647508013205817,4
MFU-4l|uptake_Xenon,1783.8356634487639,-2.273322892886798,4
MIL-101|uptake_Carbon monoxide,1164.968311362569,-3.471234355235217,5
Maxsorb III|uptake_R-134A,405.11386019978573,-0.6197392478938692,4
"Silicalite MFI|uptake_1,1,2-Trichloroethene",1108.243003145938,-3.1832880755562885,4
Sorbonorit 4 Activated Carbon|uptake_Toluene,512.0174023115992,-0.3008211651878947,7
UTSA-80a|uptake_Methane,345.0739703393758,4.304611522912719,4
ZIF-7|uptake_Water,2299.863355240743,-10.554018694105622,8
ZSM-5(58) Zeolite|uptake_Carbon Dioxide,514.4668837476038,-0.5656761105236622,5
Zeolite Na-ZSM-5|uptake_Carbon Dioxide,3621.254292811685,-12.715003177242881,4
Zeolite Na-ZSM-5|uptake_Methane,1875.324073371455,-8.291860829860132,4
Zeolite Na-ZSM-5|uptake_Water,2251.972065967121,-7.279652023782626,4
carbon-ZX|uptake_Argon,1472.378031575581,-5.640952892518389,4
carbon-ZX|uptake_Radon,352.88468713557967,0.7126036974893728,4
carbon-ZX|uptake_Xenon,431.630614928967,0.07870810422773915,4
carbon-ZX 1.0nm slit pore|uptake_Xenon,348.7566282936932,0.1722271120704667,4
carbon-ZX 1.2nm slit pore|uptake_Xenon,210.50494758747553,1.1095689682912209,4
