material,Ea_eV,lnA,r2,npts
Ag(Bi0.85Pb0.15)0.7Sb0.3Se2,0.01593513355964435,6.994218211371949,0.9245652501595173,4
Ag(Bi0.85Pb0.15)0.9Sb0.1Se2,0.06419828454261785,7.617782662388062,0.9509311694996125,5
Ag(Bi0.8Pb0.2)0.9Sb0.1Se2,0.04245011277787109,7.553054672909756,0.9811824697173259,5
Ag0.8Sb0.8Pb18.3Te20.0,0.11778393277043141,11.80444406878683,0.9631286836044375,7
Ag0.9Sb0.9Pb18.3Te19.9,0.17399029507435945,12.909966274758624,0.9941265012923498,4
Ag2.0Se0.8Te0.2,0.013742097632497006,11.956399775914669,0.9594089576690686,7
Ag2.0Se0.9Te0.1,0.0240924795061723,12.34014532558656,0.9996342839630538,7
Ag2Se0.98,0.10368642903182754,15.777691208379899,0.996748744544794,4
Ag2Se1.0025,0.04856215109120127,13.551595463623837,0.9590743241729535,4
Ag2Se1.01,0.027265472429263343,12.694356061802086,0.9982101949552495,4
Ag2Se1.02,0.024589316741061653,12.664833081044769,0.9973019370803243,4
Ag2Se1.03,0.03472926078209481,12.896830040151016,0.9998198089714144,4
Ag2Se1.04,0.0317488649651452,12.763643018174212,0.9998344012160227,4
Ag2Se1.06,0.029074811720362966,12.702876472438327,0.9979059107391557,4
Ag3RbMo9Se11,0.06464845160494052,10.56667834302626,0.9242025397865922,5
Ag8GeTe6,0.18566960731250481,10.983704463350248,0.9929250755813974,5
Ag8Sn0.5Ga0.5Se6,0.35445690315857853,15.241955477487757,0.9546833512154143,7
Ag8Sn0.6Ga0.4Se6,0.27517316667549724,13.583249106881045,0.9149635263589785,6
Ag8Sn0.7Ga0.3Se6,0.3218120987132946,14.589087049808207,0.9035152674080301,7
Ag8SnSe6,0.3138722164576062,15.164778026778913,0.9225048034986445,6
AgBi0.85Sb0.15Se2,0.25349464418787426,10.675139893573155,0.9371232455657459,6
AgBi0.95Sb0.05Se2,0.23634496932788815,10.181337483762746,0.9578283719788642,7
AgBi0.97Pb0.03Se2.12,0.13847409238078576,12.063635476809148,0.9280768793568963,4
AgBi0.98Pb0.02Se2.12,0.1635244113471547,12.259560401712811,0.9037754608542059,4
AgBiSe2,0.22071342890256007,10.368381600649224,0.9272842689394883,7
AgBiSe2.12,0.12425579360300694,8.517042950922114,0.9668298297528714,4
As2Te1.5Se1.5,0.13047351902193852,6.730171929487017,0.9953161460445678,6
As2Te2.3Se0.7,0.16706688819174653,10.159129829846844,0.9668208864855209,6
As2Te2.6Se0.4,0.07956486479118266,9.645961580752797,0.9746304802018724,6
As2Te2.8Se0.2,0.07332223544356004,9.403843117068968,0.9892749653325518,6
As2Te2.9Se0.1,0.08946087446864874,9.74108657760314,0.9973260681023075,6
As2Te2Se,0.19212748330647125,9.163995356152146,0.9903415974682792,6
As2Te3,0.12543861030935602,10.19076774172924,0.9937891451618259,6
Ba0.5Cr5Se8,0.07099628539863682,8.447286074748655,0.930801317666597,8
Ba1.4Bi0.6CoRuO6,0.14292385955179113,14.057855270600042,0.9948689360666911,4
Ba1.6Bi0.4CoRuO6,0.14406898725025455,14.63320074359113,0.9938289597200929,4
Ba1.9Bi0.1CoRuO6,0.13781127237564084,15.249786517334076,0.9971919159593757,4
BaGd2NiO5,0.11225597087578201,4.709952910048818,0.990111284353739,9
Bi2.0S3.0,0.201551212813588,8.735626615108627,0.9492887338489185,5
Ca0.05BaGd1.95NiO5,0.11502545455321844,5.971910026991518,0.9980150348620276,8
Ca0.15BaGd1.85NiO5,0.11845374041535321,7.443598736077697,0.9903206275802358,10
Ca0.1BaGd1.9NiO5,0.12286119123663286,6.80359098483609,0.9908664695889701,8
Ca0.25BaGd1.75NiO5,0.13192416323055844,7.5189828290852,0.9905076431427908,9
Ca0.2BaGd1.8NiO5,0.12857363249415568,7.412749012327143,0.9936840581533144,9
Ca0.99Yb4.01Al2Sb5.84Ge0.16,0.08630530069326145,9.647963282926401,0.9878027792698197,7
Ca1.55Yb3.45Al2Sb6,0.14675002106417867,10.25441304275454,0.9803907984268398,6
Ca10GaSb9,0.10669707695939172,8.398950778087082,0.9966530833098542,4
Ca10InSb9,0.047379228830759616,9.102408119821936,0.9876190223308229,4
Ca14MgBi11,0.023654109501948472,10.689554930873335,0.9731814866341425,8
Ca14MgSb11,0.051685428247786325,9.492202888859264,0.916045916767543,8
Ca3.46Yb1.35Pr0.19Al2Sb6,0.08947871648360678,8.890414190437653,0.9901097236144015,6
Ca3Co2O6,0.34463273186290955,13.441980205258792,0.9953935958005018,8
Ca3Co3.9Ti0.1O9,0.008947445881316062,8.957305319216733,0.900938560589334,5
Ca3Co4O9,0.0058081366958814195,8.992416383223235,0.9307481317942706,5
Ca9Yb2Sb9Ge,0.033129056781442054,10.364707343008556,0.9914038867536662,5
CoAsSb,0.09138111858151415,12.68077917906636,0.9801430084595527,8
Cr1.99Fe0.01Ge2Te6,0.16259984579750955,10.437697280534582,0.9904434846214226,6
Cr1.99Mn0.01Ge2Te6,0.10090590251046015,10.1231002621501,0.9929634796641971,6
Cr2Ge2Te6,0.19100248953542762,10.737046412088178,0.9987476885193153,6
CrO0.09N0.9,0.005870478803774692,10.641242651671456,0.9476278512710712,7
CsNd2Ag3Te5,0.11253666008933182,8.496931193226533,0.9052014165361006,6
Cu0.98Pd0.02FeS2,0.0008873114211900872,9.170306388704446,0.9114607020079456,7
Cu0.995Pd0.005FeS2,0.00974685322258532,7.610027017410235,0.9126583848489056,7
Cu0.99Pd0.01FeS2,0.004866851392604589,8.250159410003665,0.9124050363229408,7
Cu1.02Fe0.98S2,0.031183940979024227,5.96876022595849,0.9891985924227802,6
Cu10.5Ni0.5ZnSb4S13,0.022205934969709643,9.666601448220867,0.9240250045005255,5
Cu10.5Ni1.5Sb4S13,0.020555574756802013,10.482065163534498,0.909414147186623,5
Cu2SnS3,0.03269459942170457,6.029933059935178,0.9138667869702933,5
Cu2Zn0.4Fe0.6SnSe4,0.04910117999725427,9.593624832587656,0.9971373583671654,5
Cu2Zn0.6Fe0.4SnSe4,0.23619241954433545,11.702989107482715,0.9943793075104431,5
Cu2Zn0.8Fe0.2SnSe4,0.2982566043369746,12.51844528815211,0.9964607321755448,5
Cu3Sb0.997In0.003Se4,0.027930902710552617,9.567005657188068,0.9003021311005776,6
Cu7P(S0.55Se0.45)6,0.0946115938815012,9.380614679940924,0.9948958038966873,5
Cu7P(S0.5Se0.5)6,0.08764147283115861,9.873320313555423,0.907406228890987,5
Cu7P(S0.65Se0.35)6,0.11775933095083616,9.657831615881664,0.9424296181397784,5
Cu7P(S0.6Se0.4)6,0.10546274122699646,9.656235346852522,0.9442513876910137,5
Cu7P(S0.75Se0.25)6,0.26090407131260823,12.329576733905784,0.9604023243863749,5
Cu7PS6,0.3139731004276286,11.58021024741986,0.937152241199115,5
CuFe0.92In0.08S2,0.019368544590273786,8.258734695701843,0.9161985669352921,4
CuGaTe2,0.11783792430911427,11.713093891672509,0.9764504352400113,6
In3.95Pb0.05Se3,0.06344797932191715,10.773583113998955,0.9719953832070442,4
In3.96Pb0.04Se3,0.026563141694678608,9.806683682785616,0.9210376166548442,4
In4Pb0.01Sn0.03Se2.9Cl0.04,0.03917256510428985,10.224536989211673,0.9850966710454885,4
In4Pb0.01Sn0.03Se2.9Cl0.06,0.07035505398912201,10.54508477480149,0.9605160014005679,9
K0.995Ba0.005GaSb4,0.0816590672158842,10.448747434838275,0.916150864316188,5
Li1.01Co0.85Ni0.15O2,0.3737624967688272,9.41595801527087,0.9701775888829343,8
Li1.04Co0.85Ni0.15O2,0.34980778050238254,9.35521059992917,0.9588927681235142,8
Li1.1Co0.85Ni0.15O2,0.300082924360252,9.619732380362295,0.940485228089178,8
LiCo0.85Ni0.15O2,0.39362338881393427,9.778662781024632,0.9610045603375228,8
LiCo0.92Ni0.08O2,0.5888629491031511,10.963404424352474,0.9884340871371325,7
LiCo0.96Ni0.04O2,0.5178581455756788,9.86415039395045,0.9737557304303679,8
LiCo0.98Ni0.02O2,0.5439053704111105,10.523319631476554,0.9236083849296526,8
LiCoO2,0.3654667483663663,7.710537302595066,0.9494266559856197,7
Mg2Cu3In3Te8,0.09457080919736074,10.317518438064878,0.9368534660471325,11
Mg2Zn0.96Sb2,0.08355919123088809,10.963650232507623,0.9102875843350193,6
Mg2Zn1.02Sb2,0.1222912792231964,10.90040349241486,0.945634772683648,6
Mg2Zn1.04Sb2,0.1302229215889232,10.750414634604315,0.94290655987064,6
Mg2ZnSb2,0.11358218378881388,10.482648139553579,0.9034032060716628,6
Mg3.07Sb1.5Bi0.44Se0.06,0.019719407108273062,9.55463251025363,0.9546806601705058,5
Mg3.07Sb1.5Bi0.45Se0.05,0.015292380153147152,9.545441190839254,0.9396168537104987,5
