repetition,comparator,relative_log_rmse_gain,spearman_gain,raw_r2_gain
0,state_only,0.22972759828811362,0.1438995082733746,0.19630714911977243
0,chemistry_permuted,0.21071253205842344,0.1068260114978814,0.12893774486224385
0,without_LiPF6,0.15139134859012082,0.03986202388439786,0.2800317602333595
0,LiPF6_only,0.24718786709795637,0.03293331386698051,-0.060690528233428354
0,LiBOB_wrong_salt_control,0.2781231287629422,0.10812366217904579,0.3601089670227188
0,LiBF4_fluorinated_control,0.3556833831058318,0.10834708261131909,0.6920315510817399
1,state_only,0.3051589260231953,0.18589643401177447,0.24598567799078852
1,chemistry_permuted,0.29022924704778663,0.15744314902875278,0.20841470453523048
1,without_LiPF6,0.15698715951848108,0.03801736443542847,0.25105552328076663
1,LiPF6_only,0.3250873497364125,0.060302868730181314,-0.018981805937323903
1,LiBOB_wrong_salt_control,0.27830870207149905,0.12262195184549074,0.2963042005064329
1,LiBF4_fluorinated_control,0.43986026719896587,0.13549322192340707,0.7656430368008051
2,state_only,0.2885611214702851,0.18252615888527757,0.23554023203567265
2,chemistry_permuted,0.27535012869333164,0.15626357701501803,0.20333786035829815
2,without_LiPF6,0.17175177475921388,0.05636016079113226,0.27648019317113415
2,LiPF6_only,0.32411475628540465,0.055513835980441906,-0.06973062193468582
2,LiBOB_wrong_salt_control,0.2602740060827482,0.12929936472959436,0.22112509132238034
2,LiBF4_fluorinated_control,0.43702602831926096,0.13281949655124714,0.7281506759694834
3,state_only,0.3071322909596772,0.15069372504838452,0.17604388273439187
3,chemistry_permuted,0.29314777154731586,0.1254708196993103,0.14194920228502605
3,without_LiPF6,0.12840887463976025,0.01888416247424296,0.25841437189408445
3,LiPF6_only,0.3252735384544555,0.04592827631452845,-0.047043888165199
3,LiBOB_wrong_salt_control,0.24431285781789014,0.09975499712884872,0.2561685986879296
3,LiBF4_fluorinated_control,0.4438103362774092,0.11474994456832832,0.7382655230677077
4,state_only,0.27160293772338007,0.16428393686951515,0.22824587229491178
