composition_key,experimental_prediction,experimental_ensemble_sd,experimental_distance,hse_prediction_calibrated,hse_ensemble_sd,hse_distance,hse_contract_eligible,contract_fusion_prediction,retrieval_routed_prediction,exact_lookup_available,exact_lookup_sources,exact_lookup_dois
Ag:0.00041667|Br:0.25000000|C:0.08333333|H:0.50000000|N:0.08333333|Pb:0.08291667,2.202576916666666,0.030467306448615068,1.007242784017144,2.8628971435758417,0.03261113761814973,1.639063710884933,False,2.202576916666666,2.202576916666666,False,0,0
Ag:0.00083333|Br:0.25000000|C:0.08333333|H:0.50000000|N:0.08333333|Pb:0.08250000,2.1960630277777775,0.027789018588165206,1.0086927235168928,2.8639291019076785,0.03346709447177052,1.6289166143466358,False,2.1960630277777775,2.1960630277777775,False,0,0
Ag:0.00166667|Br:0.25000000|C:0.08333333|H:0.50000000|N:0.08333333|Pb:0.08166667,2.194961361111111,0.024137050118641316,1.0147187031132476,2.863842920704905,0.034655608859221566,1.610383224465945,False,2.194961361111111,2.194961361111111,False,0,0
Ag:0.00416667|Br:0.25000000|C:0.08333333|H:0.50000000|N:0.08333333|Pb:0.07916667,2.1879514999999996,0.02243941954855231,1.0569836959327383,2.871071898348017,0.03461155981806627,1.5695319127927805,False,2.1879514999999996,2.1879514999999996,False,0,0
Ag:0.00500000|Pb:0.99500000,1.922973025012372,0.046043007772853466,19.647893973192122,0.7859922328772615,0.009416028785181819,15.963496659712622,False,1.9229730250123718,1.9229730250123718,False,0,0
Ag:0.00833333|Br:0.25000000|C:0.08333333|H:0.50000000|N:0.08333333|Pb:0.07500000,2.1904298888888887,0.0353564986875748,1.1984544588801498,2.873166116108422,0.03180603902804135,1.554666236254706,False,2.1904298888888887,2.1904298888888887,False,0,0
Ag:0.10000000|Bi:0.10000000|Br:0.60000000|Cs:0.20000000,1.4830060555555553,0.024607947055985412,2.076859751184026,2.521030811360543,0.013780014995375822,1.938897090386527,True,1.9433386039798393,1.9499999999999997,True,1,20
Ag:0.11111111|Bi:0.11111111|Br:0.66666667|Cs:0.11111111,1.7147151666666673,0.03969499879511449,2.392665516268609,2.6171575755382186,0.019256304609717768,2.356714163610896,True,2.082988043499694,2.082988043499694,False,0,0
Au:0.08333333|Br:0.25000000|C:0.08333333|H:0.50000000|N:0.08333333,2.5423128055555546,0.049295976523762365,4.144365034963154,2.8851967070153117,0.029177853207045083,1.43989988882277,False,2.5423128055555546,2.5423128055555546,False,0,0
B:0.00409836|C:0.08196721|F:0.01639344|H:0.49180328|I:0.24180328|N:0.08196721|Pb:0.08196721,1.8023710000000015,0.048727501091672405,1.9946526856377718,2.5898279586572013,0.02900513995784275,2.3874235804598256,False,1.8023710000000015,1.8023710000000015,False,0,0
B:0.12068966|C:0.04310345|F:0.48275862|H:0.25862069|I:0.00862069|N:0.04310345|Pb:0.04310345,2.183876611111111,0.05056874008127096,1.6435045736483518,3.3243873126482,0.03918401582568598,3.108291597183866,False,2.183876611111111,2.183876611111111,False,0,0
B:0.12179487|C:0.04273504|F:0.48717949|H:0.25641026|I:0.00641026|N:0.04273504|Pb:0.04273504,2.2066741666666667,0.06309288132700931,1.7334042050110794,3.3334969427895516,0.03881916766082446,3.0913919664999514,False,2.2066741666666667,2.2066741666666667,False,0,0
B:0.12288136|C:0.04237288|F:0.49152542|H:0.25423729|I:0.00423729|N:0.04237288|Pb:0.04237288,2.246354388888889,0.06249384810540161,1.8449256123067364,3.3352453718537154,0.03001781018000547,3.0509594991012707,False,2.246354388888889,2.246354388888889,False,0,0
B:0.12394958|C:0.04201681|F:0.49579832|H:0.25210084|I:0.00210084|N:0.04201681|Pb:0.04201681,2.276298138888888,0.04687177002393901,1.9740782465449023,3.3430682500229736,0.03528058876155283,3.0265012962935223,False,2.276298138888888,2.276298138888888,False,0,0
Ba:0.00083333|C:0.08333333|H:0.50000000|I:0.25000000|N:0.08333333|Pb:0.08250000,1.9817555833333345,0.050930169235082555,2.092208825487522,2.5622459250194374,0.029474354232769753,1.6155686193237497,False,1.9817555833333345,1.9817555833333345,False,0,0
