composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ac:0.33333333|H:0.33333333|O:0.33333333,3.1,3.1,3.1,1,1,Ac-H-O,HOAc,0.0
Ac:0.33333333|P:0.33333333|V:0.33333333,4.685,4.6425,4.727499999999999,2,2,Ac-P-V,PVAc,0.08499999999999908
Ac:0.50000000|O:0.50000000,0.99,0.99,0.99,1,2,Ac-O,AcO,0.0
Ag:0.00073099|O:0.99902534|P:0.00024366,0.3,0.3,0.3,1,1,Ag-O-P,Ag3PO4(100),0.0
Ag:0.00900901|Br:0.99099099,2.2,2.2,2.2,1,1,Ag-Br,AgBr(110),0.0
Ag:0.01639344|Bi:0.01639344|C:0.19672131|H:0.55737705|I:0.13114754|N:0.06557377|O:0.01639344,2.0,2.0,2.0,1,1,Ag-Bi-C-H-I-N-O,(C6H16N2)2[BiAgI8]·H2O,0.0
Ag:0.01960784|O:0.98039216,2.23,2.23,2.23,1,1,Ag-O,Ag2O(100),0.0
Ag:0.02500000|Cu:0.02500000|In:0.05000000|S:0.50000000|Zn:0.40000000,2.0,2.0,2.0,1,1,Ag-Cu-In-S-Zn,(CuAg)0.1In0.2Zn1.6S2,0.0
Ag:0.02500000|Se:0.50000000|Zn:0.47500000,2.9,2.9,2.9,1,1,Ag-Se-Zn,Zn0.95Ag0.05Se,0.0
Ag:0.02666667|Cu:0.50666667|Ge:0.06666667|Se:0.34000000|Te:0.06000000,0.76,0.76,0.76,1,1,Ag-Cu-Ge-Se-Te,Cu7.6Ag0.4GeSe5.1Te0.9,0.0
Ag:0.03703704|O:0.88888889|Sn:0.03703704|Ti:0.03703704,2.3,2.3,2.3,1,1,Ag-O-Sn-Ti,TiO2 / Ag / SnO2(2,0.0
Ag:0.03846154|O:0.88461538|Sn:0.03846154|Ti:0.03846154,2.7,2.7,2.7,1,1,Ag-O-Sn-Ti,TiO2 / Ag / SnO2(1,0.0
Ag:0.04166667|Bi:0.04166667|Br:0.25000000|C:0.08333333|H:0.50000000|N:0.08333333,2.02,2.02,2.02,1,1,Ag-Bi-Br-C-H-N,(CH3NH3)2AgBiBr6,0.0
