contrast,method,reference,budget,learner,scope,repeats,mean_relative_rmse_gain,median_relative_rmse_gain,positive_repeat_fraction,mean_r2_gain,cluster_ci95_low,cluster_ci95_high,cluster_randomization_p,holm_p
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,extra_trees,supported_hard_ood_40pct,200,0.0004938111688234172,0.000418729167120564,0.55,0.0010440563766799648,-0.0002897555509653038,0.001036626440012067,0.2743725627437256,0.5487451254874512
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,extra_trees,supported_hard_ood_40pct,200,0.0010600214930367921,0.0009773148104433955,0.625,0.0022430405855627376,0.0001948342459432706,0.0014922390553924576,0.009299070092990702,0.027897210278972105
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,extra_trees,supported_hard_ood_40pct,200,-0.0001652719419931315,-0.0003589073118072468,0.47,-0.00028737262124420906,-0.0007025759458011594,0.0009552765107877501,0.8171182881711829,0.8171182881711829
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,extra_trees,supported_hard_ood_40pct,200,0.0008689024373460967,0.0004547934736985524,0.53,0.0018803366045277953,0.0004539149205475435,0.0017262441346023057,0.000999900009999,0.003999600039996
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,extra_trees,source_supported_external,200,0.0006108839563419179,0.0006072049881908287,0.57,0.001275246979030668,0.00018663276377647864,0.0010030717629289892,0.0017998200179982,0.0035996400359964
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,extra_trees,source_supported_external,200,0.0009960836222251796,0.0007915947742078602,0.61,0.0021327410024697957,0.0005450835711355656,0.0012776231891137217,9.999000099990002e-05,0.00039996000399960006
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,extra_trees,source_supported_external,200,0.00019139784934668028,-0.00021718214296430203,0.47,0.00040362465334280005,-0.0003407575069076851,0.0007503133675207135,0.48935106489351066,0.48935106489351066
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,extra_trees,source_supported_external,200,0.0010255328104262992,0.0008985680535152057,0.6,0.0021374842569124473,0.000409619135422562,0.001337165327054851,9.999000099990002e-05,0.00039996000399960006
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,extra_trees,full_external,200,0.0006108839563419179,0.0006072049881908287,0.57,0.001275246979030668,0.00018663276377647864,0.0010030717629289892,0.0017998200179982,0.0035996400359964
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,extra_trees,full_external,200,0.0009960836222251796,0.0007915947742078602,0.61,0.0021327410024697957,0.0005450835711355656,0.0012776231891137217,9.999000099990002e-05,0.00039996000399960006
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,extra_trees,full_external,200,0.00019139784934668028,-0.00021718214296430203,0.47,0.00040362465334280005,-0.0003407575069076851,0.0007503133675207135,0.48935106489351066,0.48935106489351066
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,extra_trees,full_external,200,0.0010255328104262992,0.0008985680535152057,0.6,0.0021374842569124473,0.000409619135422562,0.001337165327054851,9.999000099990002e-05,0.00039996000399960006
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,extra_trees,strict_early_cycle_external,200,0.0007174159535908749,0.0005383044934649439,0.515,0.0014595154050363697,-0.002874212656326669,0.004700459000590548,0.6673332666733327,1.0
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,extra_trees,strict_early_cycle_external,200,0.001961355801536958,0.000895339901848094,0.53,0.004781004543274396,-0.001156345675927406,0.005754262248241418,0.23467653234676533,0.704029597040296
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,extra_trees,strict_early_cycle_external,200,0.00038079459507572963,0.000542243046509956,0.54,0.0008450887853342609,-0.0035756154202757962,0.004314391753510625,0.8002199780021998,1.0
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,extra_trees,strict_early_cycle_external,200,0.003369687612385741,0.0029495055146300294,0.61,0.008518579245667648,-7.214844601917677e-05,0.007458777361334629,0.06669333066693331,0.26677332266773324
