method,rmse,r2,rho
recipient_only,0.17913038319378966,-0.5732709179009041,0.04455029594880517
generic_injection,0.17576559934007002,-0.5147214086426395,0.08433735270811545
relation_transfer,0.17865862687039163,-0.564995122760956,0.043572682182466835
wrong_donor,0.17370625922299443,-0.4794351758946127,0.08461754324867396
recipient_only,0.19574517945337155,-0.9538655761201045,-0.10042801422817527
generic_injection,0.19684468920392117,-0.9758771300438698,-0.09722542093327904
relation_transfer,0.19274503708814214,-0.8944316417803158,-0.09737084484527801
wrong_donor,0.19518918205500743,-0.9427817645405667,-0.10103944810475472
recipient_only,0.1758881652485232,-0.3352179796208088,0.16687041564792177
generic_injection,0.16813547114650748,-0.22010617433780522,0.2136308068459658
relation_transfer,0.17263237106813198,-0.2862441291714477,0.18047066014669927
wrong_donor,0.1744034942488912,-0.3127719797151991,0.1899449877750611
recipient_only,0.13549174437705033,-0.15066680497870366,0.31940093315526746
generic_injection,0.13198502022634467,-0.09187570552662194,0.336517155410478
relation_transfer,0.137174167176038,-0.17942025142264506,0.31130129226664105
wrong_donor,0.13407145664076942,-0.12666958910698511,0.31981052885757255
recipient_only,0.2122574997738,-0.40969414771000356,-0.05516082222531471
generic_injection,0.21047364436856436,-0.38609899991780416,-0.010543204248051842
relation_transfer,0.20914453863743573,-0.36864830854394603,-0.01604400646442672
wrong_donor,0.2091425308688226,-0.36862203087067513,0.00015280006156596874
