article_doi,alpha,neighbor_preexclusion_exact_test_chemistry_rows,neighbor_preexclusion_heldout_article_rows,neighbor_postexclusion_exact_test_chemistry_rows,neighbor_postexclusion_heldout_article_rows,wrong_preexclusion_exact_test_chemistry_rows,wrong_preexclusion_heldout_article_rows,wrong_postexclusion_exact_test_chemistry_rows,wrong_postexclusion_heldout_article_rows,neighbor_delta_source_rows,neighbor_delta_source_articles
10.1016/0378-7753(91)80004-H,10.0,0,97,0,0,0,148,0,0,815,13
10.1016/0378-7753(91)80004-H,1.0,0,97,0,0,0,148,0,0,815,13
10.1016/0378-7753(91)80004-H,100.0,0,97,0,0,0,148,0,0,815,13
10.1016/S0378-7753(03)00153-8,10.0,0,0,0,0,0,120,0,0,912,14
10.1016/S0378-7753(03)00153-8,1.0,0,0,0,0,0,120,0,0,912,14
10.1016/S0378-7753(03)00153-8,100.0,0,0,0,0,0,120,0,0,912,14
10.1021/JE020219O,10.0,0,112,0,0,1,112,0,0,800,13
10.1021/JE020219O,1.0,0,112,0,0,1,112,0,0,800,13
10.1021/JE020219O,100.0,0,112,0,0,1,112,0,0,800,13
10.1021/je0498863,10.0,0,84,0,0,0,127,0,0,828,13
10.1021/je0498863,1.0,0,84,0,0,0,127,0,0,828,13
10.1021/je0498863,100.0,0,84,0,0,0,127,0,0,828,13
10.1149/1.1344281,10.0,0,9,0,0,0,10,0,0,903,13
10.1149/1.1344281,1.0,0,9,0,0,0,10,0,0,903,13
10.1149/1.1344281,100.0,0,9,0,0,0,10,0,0,903,13
10.1149/1.1403730,10.0,0,31,0,0,0,31,0,0,881,13
10.1149/1.1403730,1.0,0,31,0,0,0,31,0,0,881,13
10.1149/1.1403730,100.0,0,31,0,0,0,31,0,0,881,13
10.1149/1.1527939,10.0,0,15,0,0,0,18,0,0,897,13
10.1149/1.1527939,1.0,0,15,0,0,0,18,0,0,897,13
10.1149/1.1527939,100.0,0,15,0,0,0,18,0,0,897,13
10.1149/1.1566019,10.0,0,106,0,0,0,117,0,0,806,13
10.1149/1.1566019,1.0,0,106,0,0,0,117,0,0,806,13
10.1149/1.1566019,100.0,0,106,0,0,0,117,0,0,806,13
10.1149/1.1630593,10.0,0,135,0,0,0,138,0,0,777,13
10.1149/1.1630593,1.0,0,135,0,0,0,138,0,0,777,13
10.1149/1.1630593,100.0,0,135,0,0,0,138,0,0,777,13
10.1149/1.1833611,10.0,0,197,0,0,0,233,0,0,715,13
10.1149/1.1833611,1.0,0,197,0,0,0,233,0,0,715,13
10.1149/1.1833611,100.0,0,197,0,0,0,233,0,0,715,13
10.1149/1.1914757,10.0,0,56,0,0,0,85,0,0,856,13
10.1149/1.1914757,1.0,0,56,0,0,0,85,0,0,856,13
10.1149/1.1914757,100.0,0,56,0,0,0,85,0,0,856,13
