repeat,anchor_budget,macro_rmse_neighbor_delta,macro_rmse_neighbor_absolute,relative_gain_vs_neighbor_absolute
0,1,0.45423413681899094,0.4759546524408273,0.045635682959390245
0,2,0.45438008655983747,0.48730447233648194,0.06756430044399486
0,3,0.4424040324980933,0.4605777394863517,0.039458500553079756
1,1,0.46527157465700864,0.5125052924156014,0.09216239999389109
1,2,0.40421260964285355,0.42760137515565777,0.05469759189686918
1,3,0.41314493775208183,0.453175385974152,0.08833323578689123
2,1,0.5062119792375971,0.531430734552268,0.047454453939171914
2,2,0.4279538432435789,0.4688818177497114,0.08728846578559335
2,3,0.421173919622942,0.4497272896340381,0.06349041000898825
3,1,0.6753124762412616,0.6973891376278751,0.03165615894406659
3,2,0.45475480991674294,0.48784919011098254,0.06783731707479279
3,3,0.39943202178231263,0.43291080585336705,0.07733413816053869
4,1,0.4567803422987878,0.5091748214621125,0.10290076601366926
4,2,0.40197167371374065,0.4457693520305689,0.0982518832156608
4,3,0.4419093394489566,0.48013677073859734,0.07961779563526294
5,1,0.45334770581943606,0.4851578203002416,0.06556652938443774
5,2,0.5356979164268915,0.5771825948224211,0.07187444453049208
5,3,0.3523973540034874,0.3826915386934413,0.07916084268124202
6,1,0.4590694800874179,0.48486207232577316,0.053195730725305146
6,2,0.41423860011793584,0.4424494865440601,0.0637606942353518
6,3,0.400535338158287,0.4478666397104913,0.10568168592061256
7,1,0.4543716046384189,0.483933271185105,0.061086245370756354
7,2,0.41184168281586975,0.4395144161597547,0.06296206068887267
7,3,0.4054791151997305,0.4359971824679542,0.06999601945929268
8,1,0.5170288562694524,0.5425152244805943,0.04697816219912099
8,2,0.45783419019212257,0.5079527239320386,0.09866771330991353
8,3,0.43593235397335506,0.4567211850665265,0.045517553756879714
9,1,0.540509286079722,0.6168150169801174,0.12370926258245596
9,2,0.42334421611438516,0.44681595626904796,0.0525311144898537
9,3,0.4026944641685187,0.44659635536857606,0.09830329037017138
10,1,0.48431341827959784,0.5366927015164651,0.09759641427741739
10,2,0.4354360343002993,0.46618100875760077,0.0659507227444519
10,3,0.41945711155349935,0.43640927315129824,0.03884464112182551
11,1,0.4541321531634431,0.4767349833532673,0.04741172974309549
11,2,0.42286447580834463,0.4417264390035543,0.04270055294348796
11,3,0.42790181788550574,0.46604795304970104,0.08185023647154022
12,1,0.5267000827188139,0.5465143519442696,0.036255716167315266
12,2,0.4528027764592047,0.4804776387961942,0.057598647891975
12,3,0.3979844107218409,0.4012737815790486,0.008197323144970348
13,1,0.5270076872467926,0.5658237199059788,0.06860092868788914
13,2,0.43023747296987336,0.46768529341497983,0.08007055379412753
13,3,0.42618262014745995,0.4559851224864157,0.06535849717299413
14,1,0.5236300255856255,0.550089148430446,0.048099699694704956
14,2,0.44646878947855817,0.4718424477510423,0.05377570075228155
14,3,0.4126554192816519,0.4281000526210688,0.03607715823638935
15,1,0.5965960224311354,0.6685404532993598,0.10761417729198963
15,2,0.39899945827824995,0.42095264352082107,0.052151199381849866
15,3,0.4393026537933858,0.47495642649595454,0.07506746032601042
16,1,0.45456578755398686,0.48123250792187716,0.05541338111809224
16,2,0.4337619527404468,0.4930542392187616,0.12025509926101174
16,3,0.4479964795194885,0.47422237156249447,0.05530294143778036
17,1,0.5075058157002648,0.5427918417506344,0.0650083942613503
17,2,0.4330229473838847,0.4715809953775328,0.08176336275548968
17,3,0.4622520180081393,0.4865021373905615,0.04984586401303781
18,1,0.48670537311932877,0.5189240818888553,0.06208751895316211
18,2,0.46358930944184995,0.5100265264371995,0.09104863097952498
18,3,0.4126046192188509,0.441479406329074,0.06540460709213736
19,1,0.486254808234478,0.5042610452875199,0.03570816588216752
19,2,0.44373749862541323,0.4758529945940641,0.06749037272750091
19,3,0.4249397215805253,0.4555887946761547,0.06727354459500179
20,1,0.4088136877456503,0.43635772080675395,0.06312259815222065
