source,learner,fold,source_feature_importance,source_feature_rank,feature_count
temperature_-30_C,random-forest-primary,fold_0,0.18715976375109963,2,57
temperature_-30_C,random-forest-primary,fold_1,0.19810517993761023,2,57
temperature_-30_C,random-forest-primary,fold_2,0.20122438876492058,2,57
temperature_-30_C,random-forest-primary,fold_3,0.1256495244289398,3,57
temperature_-30_C,random-forest-primary,fold_4,0.30246334226665644,1,57
temperature_-20_C,random-forest-primary,fold_0,0.18014818923353323,2,57
temperature_-20_C,random-forest-primary,fold_1,0.2846305243043538,1,57
temperature_-20_C,random-forest-primary,fold_2,0.22981690037775196,2,57
temperature_-20_C,random-forest-primary,fold_3,0.1718607857527447,2,57
temperature_-20_C,random-forest-primary,fold_4,0.4335507875439844,1,57
temperature_0_C,random-forest-primary,fold_0,0.17540287608072125,2,57
temperature_0_C,random-forest-primary,fold_1,0.34370691240267026,1,57
temperature_0_C,random-forest-primary,fold_2,0.31202950843441324,1,57
temperature_0_C,random-forest-primary,fold_3,0.2823230005663905,1,57
temperature_0_C,random-forest-primary,fold_4,0.28744094706638307,1,57
temperature_20_C,random-forest-primary,fold_0,0.1284438402810265,3,57
temperature_20_C,random-forest-primary,fold_1,0.2512702850102114,2,57
temperature_20_C,random-forest-primary,fold_2,0.26208693895681034,2,57
temperature_20_C,random-forest-primary,fold_3,0.32688866426300256,1,57
temperature_20_C,random-forest-primary,fold_4,0.23228464046267353,3,57
shuffled_temperature_-30_C,random-forest-primary,fold_0,0.10200889423204748,3,57
shuffled_temperature_-30_C,random-forest-primary,fold_1,0.22969695584856428,2,57
shuffled_temperature_-30_C,random-forest-primary,fold_2,0.07415826437846403,5,57
shuffled_temperature_-30_C,random-forest-primary,fold_3,0.061727916976636654,5,57
shuffled_temperature_-30_C,random-forest-primary,fold_4,0.11714015134801341,4,57
temperature_-30_C,extra-trees-sensitivity,fold_0,0.052344278619982185,10,57
temperature_-30_C,extra-trees-sensitivity,fold_1,0.1700318131978505,3,57
temperature_-30_C,extra-trees-sensitivity,fold_2,0.0991423728935226,5,57
temperature_-30_C,extra-trees-sensitivity,fold_3,0.08827617534851456,4,57
temperature_-30_C,extra-trees-sensitivity,fold_4,0.08192248161885625,5,57
