fold,article_doi,target_units,fold_test_units
fold_0,10.1149/1.1833611,181,181
fold_1,10.1149/1.1630593,133,175
fold_1,10.1149/1.1403730,15,175
fold_1,10.1149/1.1527939,14,175
fold_1,10.1149/1.1344281,8,175
fold_1,10.1149/1.1390879,3,175
fold_1,10.1149/1.1466857,2,175
fold_2,10.1016/S0378-7753(03)00153-8,117,175
fold_2,10.1149/1.1914757,55,175
fold_2,10.1007/s10008-002-0300-9,2,175
fold_2,10.1016/S0013-4686(99)00431-4,1,175
fold_3,10.1021/JE020219O,111,178
fold_3,10.1016/0378-7753(91)80004-H,67,178
fold_4,10.1149/1.1566019,103,182
fold_4,10.1021/je0498863,79,182
