fold,held_out_articles,held_out_article_dois,target_test_units,source_test_units,source_training_units_for_target_test,source_training_units_for_quality_test,minimum_source_training_units_for_development_prior,source_test_articles_seen_during_fit,source_test_exact_chemistry_seen_during_fit,source_test_r2,labels_shuffled,pooled_source_article_oof_r2,source,source_temperature_C,target_temperature_C
fold_0,1,10.1149/1.1833611,181,197,716,716,581,0,0,-0.7177271598897377,False,0.1187049183961818,temperature_-30_C,-30,-40
fold_1,6,10.1149/1.1344281;10.1149/1.1390879;10.1149/1.1403730;10.1149/1.1466857;10.1149/1.1527939;10.1149/1.1630593,175,195,718,718,521,0,0,-0.0862338698995544,False,0.1187049183961818,temperature_-30_C,-30,-40
fold_2,4,10.1007/s10008-002-0300-9;10.1016/S0013-4686(99)00431-4;10.1016/S0378-7753(03)00153-8;10.1149/1.1914757,175,59,854,854,657,0,0,-1.2203452850930674,False,0.1187049183961818,temperature_-30_C,-30,-40
fold_3,2,10.1016/0378-7753(91)80004-H;10.1021/JE020219O,178,209,704,704,507,0,0,0.2632076726743805,False,0.1187049183961818,temperature_-30_C,-30,-40
fold_4,2,10.1021/je0498863;10.1149/1.1566019,182,190,723,723,526,0,0,0.8370240006440798,False,0.1187049183961818,temperature_-30_C,-30,-40
fold_0,1,10.1149/1.1833611,181,208,760,760,622,0,0,-1.4360602947910648,False,0.1878315180528961,temperature_-20_C,-20,-40
fold_1,6,10.1149/1.1344281;10.1149/1.1390879;10.1149/1.1403730;10.1149/1.1466857;10.1149/1.1527939;10.1149/1.1630593,175,196,772,772,564,0,0,0.3445192135651146,False,0.1878315180528961,temperature_-20_C,-20,-40
fold_2,4,10.1007/s10008-002-0300-9;10.1016/S0013-4686(99)00431-4;10.1016/S0378-7753(03)00153-8;10.1149/1.1914757,175,61,907,907,699,0,0,-1.287790632462345,False,0.1878315180528961,temperature_-20_C,-20,-40
fold_3,2,10.1016/0378-7753(91)80004-H;10.1021/JE020219O,178,236,732,732,524,0,0,0.32170668370304967,False,0.1878315180528961,temperature_-20_C,-20,-40
fold_4,2,10.1021/je0498863;10.1149/1.1566019,182,197,771,771,563,0,0,0.9039507741476186,False,0.1878315180528961,temperature_-20_C,-20,-40
fold_0,1,10.1149/1.1833611,181,231,899,899,758,0,0,-1.570630247609039,False,0.2181111174701046,temperature_0_C,0,-40
fold_1,6,10.1149/1.1344281;10.1149/1.1390879;10.1149/1.1403730;10.1149/1.1466857;10.1149/1.1527939;10.1149/1.1630593,175,202,928,928,697,0,0,0.3098440341829456,False,0.2181111174701046,temperature_0_C,0,-40
fold_2,4,10.1007/s10008-002-0300-9;10.1016/S0013-4686(99)00431-4;10.1016/S0378-7753(03)00153-8;10.1149/1.1914757,175,72,1058,1058,827,0,0,-1.0621097657474707,False,0.2181111174701046,temperature_0_C,0,-40
fold_3,2,10.1016/0378-7753(91)80004-H;10.1021/JE020219O,178,253,877,877,646,0,0,0.24417800664829126,False,0.2181111174701046,temperature_0_C,0,-40
fold_4,2,10.1021/je0498863;10.1149/1.1566019,182,219,911,911,680,0,0,0.6735987300445013,False,0.2181111174701046,temperature_0_C,0,-40
fold_0,1,10.1149/1.1833611,181,233,1073,1073,925,0,0,-0.5317448012114219,False,0.15938792922217992,temperature_20_C,20,-40
fold_1,6,10.1149/1.1344281;10.1149/1.1390879;10.1149/1.1403730;10.1149/1.1466857;10.1149/1.1527939;10.1149/1.1630593,175,200,1106,1106,873,0,0,0.1876767978445627,False,0.15938792922217992,temperature_20_C,20,-40
fold_2,4,10.1007/s10008-002-0300-9;10.1016/S0013-4686(99)00431-4;10.1016/S0378-7753(03)00153-8;10.1149/1.1914757,175,208,1098,1098,865,0,0,-0.2301940923169843,False,0.15938792922217992,temperature_20_C,20,-40
fold_3,2,10.1016/0378-7753(91)80004-H;10.1021/JE020219O,178,260,1045,1045,813,0,0,-0.09786764444424412,False,0.15938792922217992,temperature_20_C,20,-40
fold_4,2,10.1021/je0498863;10.1149/1.1566019,182,244,1062,1061,829,0,0,0.41480581336142475,False,0.15938792922217992,temperature_20_C,20,-40
fold_0,1,10.1149/1.1833611,181,197,716,716,581,0,0,-1.1591749564300016,True,-0.43536968209962157,shuffled_temperature_-30_C,-30,-40
fold_1,6,10.1149/1.1344281;10.1149/1.1390879;10.1149/1.1403730;10.1149/1.1466857;10.1149/1.1527939;10.1149/1.1630593,175,195,718,718,521,0,0,-0.6556464654414369,True,-0.43536968209962157,shuffled_temperature_-30_C,-30,-40
fold_2,4,10.1007/s10008-002-0300-9;10.1016/S0013-4686(99)00431-4;10.1016/S0378-7753(03)00153-8;10.1149/1.1914757,175,59,854,854,657,0,0,-1.4758007231345975,True,-0.43536968209962157,shuffled_temperature_-30_C,-30,-40
fold_3,2,10.1016/0378-7753(91)80004-H;10.1021/JE020219O,178,209,704,704,507,0,0,-0.18111282856460553,True,-0.43536968209962157,shuffled_temperature_-30_C,-30,-40
fold_4,2,10.1021/je0498863;10.1149/1.1566019,182,190,723,723,526,0,0,-0.9016624556312152,True,-0.43536968209962157,shuffled_temperature_-30_C,-30,-40
