scope,family,left_policy,right_policy,seeds,left_auc20_mean,right_auc20_mean,mean_auc20_gain,relative_auc20_gain,auc20_gain_ci95,fraction_campaigns_improved,signflip_p_one_sided,left_first_hit_mean,right_first_hit_mean,mean_first_hit_saved,first_hit_saved_ci95,left_recall_at_20_mean,holm_p,passes_incremental_statistical,passes_incremental_practical,passes_consistency,passes_first_hit_noninferiority,passes_absolute_recall
external_candidate,policy_validity,composition_novelty,uniform_random,100,0.0,11.25,-11.25,-1.0,"[-13.57, -9.029750000000003]",0.0,1.0,40.97,15.77,-25.2,"[-27.52025, -22.75]",0.0,1.0,False,False,False,False,False
external_candidate,policy_validity,safe_target_novelty,composition_novelty,100,0.28,0.0,0.28,,"[0.01, 0.65]",0.04,0.0622,37.53,40.97,3.44,"[2.18, 4.87]",0.00625,0.4976,False,False,False,True,False
external_candidate,same_property_increment,safe_obelix_residual,safe_target_novelty,100,0.22,0.28,-0.06,-0.21428571428571425,"[-0.3, 0.12]",0.03,0.6963,37.43,37.53,0.1,"[-0.86, 1.03]",0.0075,1.0,False,False,False,True,False
external_candidate,adjacent_transport_increment,safe_estm_residual,safe_target_novelty,100,0.22,0.28,-0.06,-0.21428571428571425,"[-0.23, 0.07]",0.02,0.8161,37.71,37.53,-0.18,"[-1.21, 0.82]",0.005,1.0,False,False,False,True,False
external_candidate,safe_multisource_increment,safe_multisource_residual,safe_target_novelty,100,0.19,0.28,-0.09,-0.3214285714285714,"[-0.34024999999999994, 0.09]",0.01,0.7474,37.7,37.53,-0.17,"[-0.97, 0.6602499999999963]",0.005,1.0,False,False,False,True,False
external_candidate,negative_transfer,safe_borg_residual_control,safe_target_novelty,100,0.23,0.28,-0.05,-0.17857142857142858,"[-0.18, 0.03]",0.01,0.7532,37.6,37.53,-0.07,"[-0.68, 0.54]",0.005,1.0,False,False,False,True,False
external_candidate,negative_transfer,safe_ocx_residual_control,safe_target_novelty,100,0.18,0.28,-0.1,-0.35714285714285715,"[-0.32, 0.04]",0.01,0.8739,37.78,37.53,-0.25,"[-0.92, 0.39]",0.005,1.0,False,False,False,True,False
external_candidate,negative_transfer,safe_shuffled_obelix_control,safe_target_novelty,100,0.28,0.28,0.0,0.0,"[-0.12, 0.12]",0.01,0.7508,37.66,37.53,-0.13,"[-0.89, 0.64]",0.00625,1.0,False,False,False,True,False
hard_ood_40pct,policy_validity,composition_novelty,uniform_random,100,18.19,9.87,8.32,0.8429584599797366,"[6.11975, 10.260249999999996]",0.78,0.0001,3.22,15.3,12.08,"[10.06975, 14.16]",0.4433333333333333,0.0008,True,True,True,True,False
hard_ood_40pct,policy_validity,safe_target_novelty,composition_novelty,100,14.33,18.19,-3.86,-0.21220450797141285,"[-5.45, -2.3]",0.25,1.0,8.43,3.22,-5.21,"[-6.65, -3.86]",0.39333333333333337,1.0,False,False,False,False,False
hard_ood_40pct,same_property_increment,safe_obelix_residual,safe_target_novelty,100,15.43,14.33,1.1,0.07676203768318214,"[-0.3802499999999999, 2.5904999999999925]",0.39,0.084,8.05,8.43,0.38,"[-0.98, 1.77]",0.4133333333333333,0.5880000000000001,False,False,False,True,False
hard_ood_40pct,adjacent_transport_increment,safe_estm_residual,safe_target_novelty,100,14.26,14.33,-0.07,-0.0048848569434752276,"[-1.11, 0.9102499999999963]",0.21,0.5563,8.77,8.43,-0.34,"[-1.59, 0.84]",0.40666666666666673,1.0,False,False,False,True,False
hard_ood_40pct,safe_multisource_increment,safe_multisource_residual,safe_target_novelty,100,15.6,14.33,1.27,0.08862526168876483,"[-0.75, 3.22]",0.45,0.1095,8.72,8.43,-0.29,"[-2.25025, 1.5702499999999964]",0.41333333333333344,0.657,False,False,False,False,False
hard_ood_40pct,negative_transfer,safe_borg_residual_control,safe_target_novelty,100,13.78,14.33,-0.55,-0.03838101884159107,"[-1.51, 0.3]",0.18,0.8926,8.98,8.43,-0.55,"[-1.4002499999999998, 0.21]",0.39333333333333337,1.0,False,False,False,True,False
hard_ood_40pct,negative_transfer,safe_ocx_residual_control,safe_target_novelty,100,14.42,14.33,0.09,0.0062805303558967195,"[-0.65, 0.7802499999999963]",0.16,0.4214,8.48,8.43,-0.05,"[-0.85, 0.72]",0.39333333333333337,1.0,False,False,False,True,False
hard_ood_40pct,negative_transfer,safe_shuffled_obelix_control,safe_target_novelty,100,13.96,14.33,-0.37,-0.025819958129797628,"[-1.29, 0.39]",0.12,0.8007,8.86,8.43,-0.43,"[-1.41, 0.36]",0.3833333333333334,1.0,False,False,False,True,False
