scope,seed,policy,budget,candidate_n,true_top_n,auc20,first_hit,recall_at_10,best_y_at_10,regret_at_10,recall_at_20,best_y_at_20,regret_at_20,recall_at_40,best_y_at_40,regret_at_40
external_candidate,0,uniform_random,3,144,8,0.0,4,,,,,,,,,
external_candidate,0,composition_novelty,3,144,8,0.0,4,,,,,,,,,
external_candidate,0,safe_target_novelty,3,144,8,0.0,4,,,,,,,,,
external_candidate,0,safe_obelix_residual,3,144,8,0.0,4,,,,,,,,,
external_candidate,0,safe_estm_residual,3,144,8,0.0,4,,,,,,,,,
external_candidate,0,safe_borg_residual_control,3,144,8,0.0,4,,,,,,,,,
external_candidate,0,safe_multisource_residual,3,144,8,0.0,4,,,,,,,,,
external_candidate,0,safe_multisource_novelty_band,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,uniform_random,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,composition_novelty,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,safe_target_novelty,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,safe_obelix_residual,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,safe_estm_residual,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,safe_borg_residual_control,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,safe_multisource_residual,3,144,8,0.0,4,,,,,,,,,
external_candidate,1,safe_multisource_novelty_band,3,144,8,0.0,4,,,,,,,,,
hard_ood_40pct,0,uniform_random,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,0,composition_novelty,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,0,safe_target_novelty,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,0,safe_obelix_residual,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,0,safe_estm_residual,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,0,safe_borg_residual_control,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,0,safe_multisource_residual,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,0,safe_multisource_novelty_band,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,1,uniform_random,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,1,composition_novelty,3,58,3,1.0,3,,,,,,,,,
hard_ood_40pct,1,safe_target_novelty,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,1,safe_obelix_residual,3,58,3,2.0,2,,,,,,,,,
hard_ood_40pct,1,safe_estm_residual,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,1,safe_borg_residual_control,3,58,3,0.0,4,,,,,,,,,
hard_ood_40pct,1,safe_multisource_residual,3,58,3,2.0,2,,,,,,,,,
hard_ood_40pct,1,safe_multisource_novelty_band,3,58,3,0.0,4,,,,,,,,,
