edge_id,programme,target_task,source,evidence_set,relation,target_domain,source_domain,neighborhood,source_quality_r2,effect_relative_rmse,effect_ci_lo,effect_ci_hi,augmented_r2,reported_status,neighborhood_scaled,source_quality_clipped,credible_positive,strong_neighbor,same_domain,adjacent_condition,cross_dataset,distant_wrong,shuffled
calisol_conductivity_minus_40_C__shuffled_temperature_-30_C,calisol_temperature,calisol_conductivity_minus_40_C,shuffled_temperature_-30_C,independent-multi-article-calisol,shuffled-source-placebo,nan,nan,0.0,-0.4368684414262189,0.00833464033561,-0.0138289242415761,0.0379334051425522,-0.0321585107983835,unresolved,0.0,-0.4368684414262189,0.0,0.0,1.0,0.0,1.0,0.0,1.0
calisol_conductivity_minus_40_C__temperature_-20_C,calisol_temperature,calisol_conductivity_minus_40_C,temperature_-20_C,independent-multi-article-calisol,temperature-distance-control,nan,nan,2.0,0.1876550824926648,0.002848886163336,-0.052596890423519,0.0490171789565237,-0.0404321785260128,unresolved,0.6666666666666666,0.1876550824926648,1.0,1.0,1.0,1.0,1.0,0.0,0.0
calisol_conductivity_minus_40_C__temperature_-30_C,calisol_temperature,calisol_conductivity_minus_40_C,temperature_-30_C,independent-multi-article-calisol,adjacent-condition-primary,nan,nan,3.0,0.1187547871527247,0.0160923731083838,-0.0213954581637092,0.0421053411135756,-0.0144702575431807,cross-article-borrowing-unresolved,1.0,0.1187547871527247,1.0,1.0,1.0,1.0,1.0,0.0,0.0
calisol_conductivity_minus_40_C__temperature_0_C,calisol_temperature,calisol_conductivity_minus_40_C,temperature_0_C,independent-multi-article-calisol,temperature-distance-control,nan,nan,1.0,0.2188890404506445,0.0218147626946201,-0.0500730324470329,0.0647819646837239,0.0003386745011443,unresolved,0.3333333333333333,0.2188890404506445,1.0,0.0,1.0,1.0,1.0,0.0,0.0
calisol_conductivity_minus_40_C__temperature_20_C,calisol_temperature,calisol_conductivity_minus_40_C,temperature_20_C,independent-multi-article-calisol,temperature-distance-control,nan,nan,1.0,0.1608604509325671,0.0127347655425002,-0.0345353777927566,0.0420782262236117,-0.0189449662828127,unresolved,0.3333333333333333,0.1608604509325671,1.0,0.0,1.0,1.0,1.0,0.0,0.0
birdshot_hardness__alloy_elongation,external_birdshot,birdshot_hardness,alloy_elongation,independent-birdshot,cross-dataset-same-domain,nan,nan,1.0,0.1079428990420548,-0.0808831280356138,-0.1177057371850585,-0.0569363916106243,-3.8448441415615457,harmful,0.3333333333333333,0.1079428990420548,1.0,0.0,1.0,0.0,1.0,0.0,0.0
birdshot_hardness__alloy_uts,external_birdshot,birdshot_hardness,alloy_uts,independent-birdshot,cross-dataset-physical-neighbor,nan,nan,2.0,0.2304626202996475,0.0684490843693792,0.0539064421686909,0.0854081448226057,-2.568608795200288,exploratory-positive,0.6666666666666666,0.2304626202996475,1.0,1.0,1.0,0.0,1.0,0.0,0.0
birdshot_hardness__alloy_ys,external_birdshot,birdshot_hardness,alloy_ys,independent-birdshot,cross-dataset-physical-neighbor,nan,nan,2.0,0.3137023262782034,-0.0514075377438963,-0.0788744717606661,-0.0281219155875344,-3.5510265404291754,harmful,0.6666666666666666,0.3137023262782034,1.0,1.0,1.0,0.0,1.0,0.0,0.0
birdshot_hardness__catalysis_h2,external_birdshot,birdshot_hardness,catalysis_h2,independent-birdshot,distant-control,nan,nan,0.0,0.2292031508576087,-0.0329833247924132,-0.0739372063478308,-0.0061581561037007,-3.4039919857532874,harmful,0.0,0.2292031508576087,1.0,0.0,1.0,0.0,1.0,1.0,0.0
birdshot_hardness__te_thermal,external_birdshot,birdshot_hardness,te_thermal,independent-birdshot,distant-control,nan,nan,0.0,0.5803048176491067,-0.0192024053948807,-0.0278624195138223,-0.0075742972143215,-3.257813922539313,harmful,0.0,0.5803048176491067,1.0,0.0,1.0,0.0,1.0,1.0,0.0
birdshot_uts__alloy_elongation,external_birdshot,birdshot_uts,alloy_elongation,independent-birdshot,cross-dataset-same-domain,nan,nan,1.0,0.1079428990420548,-0.0760382618770252,-0.1468712680600138,-0.0285568271058037,-0.7529798196945989,harmful,0.3333333333333333,0.1079428990420548,1.0,0.0,1.0,0.0,1.0,0.0,0.0
birdshot_uts__alloy_hardness,external_birdshot,birdshot_uts,alloy_hardness,independent-birdshot,cross-dataset-physical-neighbor,nan,nan,2.0,0.5600608921705855,0.0031755963599874,-0.0094786077364585,0.0121247305886317,-0.4956218349105439,practically-equivalent,0.6666666666666666,0.5600608921705855,1.0,1.0,1.0,0.0,1.0,0.0,0.0
birdshot_uts__alloy_ys,external_birdshot,birdshot_uts,alloy_ys,independent-birdshot,cross-dataset-physical-neighbor,nan,nan,3.0,0.3137023262782034,-0.0119233378652865,-0.0380008918165286,0.0079018395179848,-0.5356507022706405,unresolved,1.0,0.3137023262782034,1.0,1.0,1.0,0.0,1.0,0.0,0.0
birdshot_uts__catalysis_h2,external_birdshot,birdshot_uts,catalysis_h2,independent-birdshot,distant-control,nan,nan,0.0,0.2292031508576087,-0.40707521514156,-0.7670121288061846,-0.2077591649921036,-2.242228963380989,harmful,0.0,0.2292031508576087,1.0,0.0,1.0,0.0,1.0,1.0,0.0
birdshot_uts__te_thermal,external_birdshot,birdshot_uts,te_thermal,independent-birdshot,distant-control,nan,nan,0.0,0.5803048176491067,0.0378393013741141,0.0197600816113677,0.0565538077672342,-0.3899370114274876,unresolved,0.0,0.5803048176491067,1.0,0.0,1.0,0.0,1.0,1.0,0.0
birdshot_ys__alloy_elongation,external_birdshot,birdshot_ys,alloy_elongation,independent-birdshot,cross-dataset-same-domain,nan,nan,1.0,0.1079428990420548,-0.015423260515835,-0.0240561166083645,-0.0081952902030909,-1.5950618608543996,harmful,0.3333333333333333,0.1079428990420548,1.0,0.0,1.0,0.0,1.0,0.0,0.0
birdshot_ys__alloy_hardness,external_birdshot,birdshot_ys,alloy_hardness,independent-birdshot,cross-dataset-physical-neighbor,nan,nan,2.0,0.5600608921705855,-0.0089974039370176,-0.0131920846101646,-0.0039624612360818,-1.558432353408473,practically-equivalent,0.6666666666666666,0.5600608921705855,1.0,1.0,1.0,0.0,1.0,0.0,0.0
birdshot_ys__alloy_uts,external_birdshot,birdshot_ys,alloy_uts,independent-birdshot,cross-dataset-physical-neighbor,nan,nan,3.0,0.2304626202996475,0.0430379917675469,0.0335808729684398,0.0551085565242056,-1.3032640625785956,directionally-replicated-below-practical-gate,1.0,0.2304626202996475,1.0,1.0,1.0,0.0,1.0,0.0,0.0
birdshot_ys__catalysis_h2,external_birdshot,birdshot_ys,catalysis_h2,independent-birdshot,distant-control,nan,nan,0.0,0.2292031508576087,-0.0147789301528474,-0.0443586879158628,0.0073787342986947,-1.5868539695501656,unresolved,0.0,0.2292031508576087,1.0,0.0,1.0,0.0,1.0,1.0,0.0
birdshot_ys__te_thermal,external_birdshot,birdshot_ys,te_thermal,independent-birdshot,distant-control,nan,nan,0.0,0.5803048176491067,-0.0184992118004014,-0.0311730588990452,-0.0036301033178219,-1.6021231959700342,harmful,0.0,0.5803048176491067,1.0,0.0,1.0,0.0,1.0,1.0,0.0
matbench_steel_ys__alloy_elongation,external_matbench,matbench_steel_ys,alloy_elongation,independent-matbench,cross-dataset-same-domain,nan,nan,1.0,0.0197652356299515,-0.0148444743823293,-0.3367269176469036,0.3004923709174623,-19.27097291420538,unresolved,0.3333333333333333,0.0197652356299515,1.0,0.0,1.0,0.0,1.0,0.0,0.0
matbench_steel_ys__alloy_hardness,external_matbench,matbench_steel_ys,alloy_hardness,independent-matbench,cross-dataset-physical-neighbor,nan,nan,2.0,0.5848097511784689,-0.0071502160922874,-0.3165862253348896,0.0784132460762092,-17.334577222392724,unresolved,0.6666666666666666,0.5848097511784689,1.0,1.0,1.0,0.0,1.0,0.0,0.0
matbench_steel_ys__alloy_uts,external_matbench,matbench_steel_ys,alloy_uts,independent-matbench,cross-dataset-physical-neighbor,nan,nan,3.0,0.4092635025593352,-0.0123179989326952,-0.1588398404209362,0.0247504116786679,-16.53286243046866,unresolved,1.0,0.4092635025593352,1.0,1.0,1.0,0.0,1.0,0.0,0.0
matbench_steel_ys__catalysis_h2,external_matbench,matbench_steel_ys,catalysis_h2,independent-matbench,distant-control,nan,nan,0.0,0.1672482183052056,-0.0017579699507022,-0.0863582668377773,0.0304594823774613,-15.724972801141467,unresolved,0.0,0.1672482183052056,1.0,0.0,1.0,0.0,1.0,1.0,0.0
