target,method,learner,repeat,scope,entities,coverage_fraction,relative_rmse_gain,augmented_r2
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,0,q1,33,1.0,0.2428894393657268,-25.459447613732884
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,0,q4,25,0.32,-0.1608808097870153,-1.489242506190109
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,0,q4_covered,8,1.0,-0.2713969663440122,-11.433264301734834
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,0,q1,33,1.0,0.5537451357008994,-8.192382587066097
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,0,q4,25,0.32,-0.2251917921112337,-1.7726822465843979
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,0,q4_covered,8,1.0,-0.3742460730955071,-13.526193782337199
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,0,q1,33,1.0,-0.02363673186874066,-47.367527630133466
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,0,q4,25,0.32,-0.01087884892045661,-0.8875139222988129
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,0,q4_covered,8,1.0,-0.019211006579777586,-6.990078279918325
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,0,q1,33,1.0,0.39976119363848495,-3.431777062427787
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,0,q4,25,0.32,0.0029541298475388757,-0.9906140998006863
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,0,q4_covered,8,1.0,0.02725257857803411,-0.5352862640290661
electrolyte_conductivity,caltech_features_hard_coverage_gate,random_forest,0,q1,33,1.0,0.4287550975910292,-3.013972945455465
electrolyte_conductivity,caltech_features_hard_coverage_gate,random_forest,0,q4,25,0.32,0.013068650379929748,-0.9504314308321271
electrolyte_conductivity,caltech_features_hard_coverage_gate,random_forest,0,q4_covered,8,1.0,0.12629116237590354,-0.23857595665793108
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,0,q1,33,1.0,-0.0851754208728783,-13.485372329435213
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,0,q4,25,0.32,-0.02017877237512371,-1.0840558974945118
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,0,q4_covered,8,1.0,-0.17110590589816746,-1.2252639391491411
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,0,q1,33,1.0,0.31692827190345946,-3.6882988425826406
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,0,q4,25,0.32,0.027707343760726852,-0.014020471607121943
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,0,q4_covered,8,1.0,0.1430967772594393,-0.19607178534744363
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,0,q1,33,1.0,0.3261033655576015,-3.5631972339997695
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,0,q4,25,0.32,0.016133795459719977,-0.03830464703135639
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,0,q4_covered,8,1.0,0.08110557687254255,-0.37538703093296877
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,0,q1,33,1.0,0.1360416858671456,-6.500120524014162
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,0,q4,25,0.32,-0.011332018162184694,-0.09708487008714406
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,0,q4_covered,8,1.0,-0.05395757613690021,-0.8094223625301025
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,1,q1,33,1.0,0.09522912730478655,-36.75378707340605
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,1,q4,25,0.32,0.11703232560461226,-17.958623224966356
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,ridge_alpha_10,1,q4_covered,8,1.0,0.12668774750684517,-126.16103644929657
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,1,q1,33,1.0,0.10989874704665202,-35.5394600221228
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,1,q4,25,0.32,0.19584743873280028,-14.725124270335257
electrolyte_conductivity,caltech_features_hard_coverage_gate,ridge_alpha_10,1,q4_covered,8,1.0,0.2129349125430176,-102.28476109627023
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,1,q1,33,1.0,-0.005627797676245564,-45.639924600998555
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,1,q4,25,0.32,0.009725893808535824,-22.84668602095864
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,1,q4_covered,8,1.0,0.010478275648312217,-162.25467213544465
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,1,q1,33,1.0,0.1479201409773517,-20.302811051057837
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,1,q4,25,0.32,-0.030753457038872844,-0.3436074851174462
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,1,q4_covered,8,1.0,-0.11388560592410382,-2.0056518736647595
