feature_set,alignment,transfer_object,learner,oof_spearman,oof_rmse_log10_life,oof_r2_log10_life,relative_rmse_gain_over_own_curve
response_plus_protocol,within_lab_robust,differential_correction,hist_gradient_boosting,0.10944347332676746,0.6178785119753124,-12.148197815738449,0.6406998911342645
response_plus_protocol,within_lab_robust,absolute_log_life,hist_gradient_boosting,0.06104355801217687,0.19257954684896028,-0.27726310228267215,0.8880138234182352
response_plus_protocol,absolute,differential_correction,ridge,0.03917252444315289,3.7433713064695513,-481.59837996487124,-1.1767931589650749
response_plus_protocol,within_lab_robust,absolute_log_life,ridge,0.03449020607290069,0.20400802999087855,-0.4333576534369863,0.8813680910331841
response_plus_protocol,within_lab_robust,differential_correction,extra_trees,0.03131333657651962,0.6262009096740364,-12.50477751746892,0.6358603663066154
response_plus_protocol,within_lab_robust,differential_correction,random_forest,0.025107482667480512,0.6302023540905857,-12.677920896935627,0.6335335020661192
response,absolute,differential_correction,ridge,0.011872299635002121,4.110836862093466,-580.9967104401452,-1.3904766122348589
response_plus_protocol,within_lab_robust,differential_correction,ridge,0.004787646595349902,2.4278385712346737,-202.00169264833048,-0.4118028804146272
response,within_lab_robust,differential_correction,hist_gradient_boosting,6.4899209403632e-05,0.6391090436801949,-13.06727480853182,0.6283542079538362
response_plus_protocol,within_lab_robust,absolute_log_life,extra_trees,-0.03023983981769561,0.19413698086881295,-0.29800566615572,0.8871081660729178
response,absolute,absolute_log_life,ridge,-0.04015771572032934,0.40572747902772655,-4.669292840453904,0.7640670057962671
response_plus_protocol,within_lab_robust,absolute_log_life,random_forest,-0.05446213982576921,0.19907856669174329,-0.36492584133840156,0.88423460389243
response,within_lab_robust,differential_correction,ridge,-0.0772981501641226,2.745804453975732,-258.6565340980585,-0.5967019731492464
response_plus_protocol,absolute,absolute_log_life,ridge,-0.08004732323131906,0.4958377711680122,-7.467189096761775,0.7116673234178945
response,within_lab_robust,differential_correction,random_forest,-0.0880299259879658,0.6394292828261208,-13.08137575343511,0.6281679869447476
response_plus_protocol,absolute,differential_correction,extra_trees,-0.09180259150510155,0.47805813165171807,-6.87084690710588,0.722006291823472
response,within_lab_robust,differential_correction,extra_trees,-0.10033736950241197,0.6339694701053088,-12.841932716715428,0.6313429012150348
response,within_lab_robust,absolute_log_life,hist_gradient_boosting,-0.1599627202008996,0.21313567915001722,-0.564488444954548,0.8760603075886972
response,absolute,differential_correction,extra_trees,-0.18740338264251402,0.5003174301369409,-7.620874282159161,0.7090623745096183
response_plus_protocol,absolute,differential_correction,random_forest,-0.26105547394391126,0.442808378379272,-5.752921552913415,0.7425042375244648
response_plus_protocol,absolute,absolute_log_life,extra_trees,-0.2673475054916667,0.21069860709632784,-0.5289151165795936,0.8774774797952608
response_plus_protocol,absolute,differential_correction,hist_gradient_boosting,-0.28258179695807006,0.47312463591145854,-6.709232982511989,0.7248751495717323
response,absolute,differential_correction,random_forest,-0.2905824863796325,0.4530623305671517,-6.069292555560766,0.7365415020254895
response,absolute,absolute_log_life,extra_trees,-0.2918570642954612,0.21350847643480045,-0.569966149287503,0.8758435237025264
response,absolute,differential_correction,hist_gradient_boosting,-0.2952711882786785,0.4872934893844056,-7.177889976049659,0.7166358751890427
response,within_lab_robust,absolute_log_life,random_forest,-0.3005046179681288,0.21346972383201185,-0.5693962913200836,0.8758660585765039
response,within_lab_robust,absolute_log_life,extra_trees,-0.321742618265101,0.20094058784100438,-0.3905780900870064,0.8831518272807285
response,absolute,absolute_log_life,hist_gradient_boosting,-0.3303986833094936,0.22671594604241094,-0.7702075146471954,0.8681632998787775
response_plus_protocol,absolute,absolute_log_life,random_forest,-0.33283399954432824,0.22035521488706733,-0.6722712036347669,0.871862103692612
response,absolute,absolute_log_life,random_forest,-0.3394941479191928,0.21996174171641325,-0.6663044160022382,0.8720909107320407
response_plus_protocol,absolute,absolute_log_life,hist_gradient_boosting,-0.36956056853799013,0.2388554629017037,-0.9648545306523482,0.8611040970669218
response,within_lab_robust,absolute_log_life,ridge,-0.44911529613072104,0.27881033940958727,-1.6771813796445247,0.8378700936167853
