feature_set,alignment,transfer_object,learner,oof_spearman,oof_rmse_log10_life,oof_r2_log10_life,relative_rmse_gain_over_own_curve
response,absolute,absolute_log_life,ridge,0.7773701776869635,0.37903928417895155,-3.9479863392232524,0.7795863532549434
response_plus_protocol,absolute,absolute_log_life,ridge,0.7682172613181201,0.370535663715663,-3.7284638709903666,0.7845312602212736
response,absolute,absolute_log_life,hist_gradient_boosting,0.6920633992096104,0.13953038219209837,0.32950180484851166,0.9188622349862496
response,absolute,absolute_log_life,random_forest,0.6681128906166818,0.1318664555116687,0.40113530460618063,0.9233188549159737
response,absolute,absolute_log_life,extra_trees,0.6671181240463147,0.1318763264103246,0.4010456448979389,0.9233131149284309
response_plus_protocol,absolute,absolute_log_life,extra_trees,0.6427585781691744,0.14193507053424725,0.306191715387362,0.9174638941047063
response_plus_protocol,absolute,absolute_log_life,random_forest,0.6410190665728639,0.14472354933759965,0.2786625909643323,0.9158423767381105
response_plus_protocol,absolute,absolute_log_life,hist_gradient_boosting,0.6284413870061469,0.1492892768706219,0.23243126890133492,0.9131873784368721
response_plus_protocol,within_lab_robust,absolute_log_life,hist_gradient_boosting,0.2046347635564407,0.18634694836568322,-0.19592684802767013,0.891638117304745
response,within_lab_robust,absolute_log_life,ridge,0.1997065704710976,0.440808679917871,-5.6920676202872205,0.7436670743296857
response_plus_protocol,within_lab_robust,absolute_log_life,ridge,0.19631053315279606,0.380886658148408,-3.99633518782432,0.7785120940672927
response,within_lab_robust,absolute_log_life,hist_gradient_boosting,0.17465769639429932,0.19000886361224878,-0.2433911350061959,0.8895086913395308
response,absolute,differential_correction,hist_gradient_boosting,0.17324906362447126,0.42428666581101115,-5.199816164002322,0.7532747259185034
response,absolute,differential_correction,random_forest,0.15524529242228152,0.41796127471956007,-5.01633673250661,0.7569529792704626
response_plus_protocol,within_lab_robust,absolute_log_life,extra_trees,0.13799274193557173,0.1764005688038782,-0.07166737075070784,0.8974219974528852
response_plus_protocol,within_lab_robust,absolute_log_life,random_forest,0.12524909062021594,0.18195478977668053,-0.1402157360572709,0.8941921842104529
response_plus_protocol,absolute,differential_correction,ridge,0.12087105378913487,4.015982678878319,-554.4483839216861,-1.335318328373169
response_plus_protocol,absolute,differential_correction,random_forest,0.1171377533662276,0.4178626300631119,-5.013497189844384,0.7570103417375398
response,within_lab_robust,absolute_log_life,random_forest,0.07843761005381589,0.18408022701450863,-0.16700932960329795,0.8929562295427667
response,within_lab_robust,absolute_log_life,extra_trees,0.07645446044187539,0.18024253261526527,-0.11885706279039421,0.895187872153275
response_plus_protocol,absolute,differential_correction,hist_gradient_boosting,0.06799628479009057,0.4360766214927707,-5.5491608073085095,0.7464187950552731
response_plus_protocol,within_lab_robust,differential_correction,hist_gradient_boosting,0.050301142973677326,0.618035670334832,-12.15488719544294,0.6406085025933295
response_plus_protocol,within_lab_robust,differential_correction,random_forest,0.03172401026225408,0.6179348164659155,-12.150594197215511,0.6406671497308798
response_plus_protocol,absolute,differential_correction,extra_trees,0.025734132410738537,0.47526379133422086,-6.779102642726051,0.7236312176961568
response_plus_protocol,within_lab_robust,differential_correction,extra_trees,0.009925323352893162,0.6152045228461771,-12.034641313883895,0.6422548320596783
response,absolute,differential_correction,ridge,0.005493026527064787,4.5483178961916115,-711.461938278345,-1.6448744916426454
response,absolute,differential_correction,extra_trees,0.0034534890774457288,0.49228127870510463,-7.346159604802272,0.7137354453938759
response,within_lab_robust,differential_correction,hist_gradient_boosting,-0.002791729925821809,0.6371508705925288,-12.981205115942776,0.6294928975019274
response,within_lab_robust,differential_correction,random_forest,-0.011263736556659867,0.6235700239996803,-12.391539451948043,0.6373902423111837
response,within_lab_robust,differential_correction,extra_trees,-0.0658578026441676,0.6204818820021389,-12.259228495731588,0.6391860156459163
response,within_lab_robust,differential_correction,ridge,-0.08774266719224481,2.42297887771748,-201.1898275767362,-0.4089769391074929
response_plus_protocol,within_lab_robust,differential_correction,ridge,-0.0906450449504925,1.947031079951633,-129.5586989925304,-0.132210402907722
