cell_id,batch,life,censored,theta_log10_a,theta_beta,own_theta_log10_a,own_theta_beta,own_log10_life,log10_var_delta_qv,log10_abs_min_delta_qv,log10_var_delta_qv_normalized,log10_abs_min_delta_qv_normalized,capacity_slope_2_100,capacity_intercept_2_100,capacity_slope_over_qref,capacity_intercept_over_qref,qd100_over_qref,ce_mean_10_100,ce_std_10_100,mean_charge_c_rate,mean_discharge_c_rate
b1c0,batch1,1852.0,False,-6.040823191466156,1.5679245866717957,-3.2896077250835423,-0.1041472860587595,5.0,-5.020985031165483,-1.9619664870586893,-5.036505779894579,-1.9536372205704262,1.323006555349162e-05,1.0754209979699028,1.2287513722142165e-05,0.9988045952007816,0.9991951393325637,1.0001836781059512,0.0009265451801142879,3.6000000000000005,4.0
b1c1,batch1,2160.0,False,-6.08348848414813,1.5470867161816897,-5.593676678480378,1.2576156927906388,3.8920527965765483,-5.130963520962892,-2.0666524260577255,-5.150430192368581,-2.071940460414572,2.9523537414909218e-06,1.0811210966258502,2.72856098914651e-06,0.9991705287005697,0.9987163806611088,1.0001388368026567,0.0008721798655907725,3.6000000000000005,4.0
b1c2,batch1,2237.0,False,-6.15181990605789,1.5623741749671087,-4.274993272468761,0.434996551884968,5.0,-4.9292831858372,-1.8821369958115879,-4.959894484112848,-1.8861572047685837,7.809261595542179e-06,1.0849968983656975,7.19124658329819e-06,0.9991316263134796,0.9990795991564542,1.0002096085709593,0.0010528898597924926,3.6000000000000005,4.0
b1c3,batch1,1434.0,False,-6.230213200305913,1.6523274318481527,-3.023487828409413,-0.22133976265802213,5.0,-4.368931463779801,-1.7029996366161804,-4.433187948123648,-1.7323815234934128,1.2058388373530498e-05,1.0844152797687072,1.110647362171333e-05,0.9988092377395981,0.999041823488284,1.0003664512277766,5.4188540970004554e-05,4.0,4.0
b1c4,batch1,1709.0,False,-6.209388113428625,1.6202464107635717,-2.8984217727059454,-0.33723880442909304,5.0,-4.5910256021611575,-1.8284251281568298,-4.643451682038558,-1.8453662205963588,1.4311751391457705e-05,1.0821905370426717,1.3208410588118302e-05,0.9987608474227385,0.9991355133372932,1.0001371827640495,6.788030974750124e-05,4.0,4.0
b1c5,batch1,1074.0,False,-6.230668539035332,1.6959562738210532,-3.303604949005226,-0.03454363352408785,5.0,-4.143891193994304,-1.5870348838981065,-4.2244963025042335,-1.6302035253415081,6.146750773035635e-06,1.0800908955085544,5.68627718393594e-06,0.9991776863069546,0.9988145014365671,1.000155329233121,0.00043411373732309296,4.4,4.0
b1c6,batch1,636.0,False,-6.285262851596818,1.8668764674270273,-4.307365606989846,0.6693465360612063,5.0,-3.7717032230544003,-1.4145085943873066,-3.8598985275596056,-1.4678099793118595,-1.021775510204475e-05,1.0814925903586885,-9.44264256721529e-06,0.999451236388045,0.9973108432006909,1.0004494372510533,0.0007706268587060214,4.8,4.0
b1c7,batch1,870.0,False,-6.2650950211389835,1.7781763723795467,-4.26077167161518,0.622976108953428,5.0,-3.8128388383127643,-1.4233469692945167,-3.9161152371793606,-1.4784717244240329,-1.1260525664811332e-05,1.0975701161018339,-1.0256790037652624e-05,0.9997354091237393,0.9980865512433911,1.0002318486100703,0.0009637553381798513,4.8,4.0
b1c8,batch1,879.0,False,-6.429609458551553,1.7770792686127104,-4.031169822970314,0.3439379350394911,5.0,-3.9330085178746845,-1.5003879455354054,-4.012895752882928,-1.5409918254430244,2.0668806431656947e-06,1.0947083456528546,1.886866072394929e-06,0.9993649335339788,0.9988423449247947,1.0002957152461345,5.433308433537157e-05,4.8,4.0
b1c9,batch1,1054.0,False,-6.744819412234183,1.8788419346771483,-2.7389160269430306,-0.521094372946541,5.0,-3.9749905757010278,-1.52174822762636,-4.03724495323537,-1.5505667709670408,1.5252735930737063e-05,1.0869687973362188,1.4017399347151793e-05,0.9989339472829124,0.9995427011949319,1.0002553966320331,5.7535909573709995e-05,4.8,4.0
