cell_id,has_at_least_100_cycles,features_computable,own_theta_log10_a,own_theta_beta,own_cov_00,own_cov_01,own_cov_11,log10_var_delta_qv,log10_abs_min_delta_qv,log10_var_delta_qv_normalized,log10_abs_min_delta_qv_normalized,capacity_slope_2_100,capacity_intercept_2_100,capacity_slope_over_qref,capacity_intercept_over_qref,qd100_over_qref,ce_mean_10_100,ce_std_10_100,mean_charge_c_rate,mean_discharge_c_rate
1-1,True,True,-3.300081210398476,0.6851328724537449,7.728661012731386e-05,-4.506010533303661e-05,2.690416056415095e-05,-2.956212493921139,-0.24363599466230293,-3.102853674995189,-0.31808239529933113,-0.00012761234068579965,1.184696862287427,-0.00010754745590970298,0.9984232941618513,0.9882320174619953,1.0061246037413891,0.0004088619011341842,4.2,2.6000000000000005
1-2,True,True,-3.249450073759644,0.6825068059288929,8.196077039884248e-05,-4.7785262431162986e-05,2.8531277580159635e-05,-2.3377375269632727,-0.3049324291696218,-2.510083418273095,-0.39253719975810664,-0.00014330960317457316,1.2168094433533718,-0.00011755692837176665,0.9981493033661638,0.9872966362170638,1.007235126768928,0.0003860378459036824,4.2,2.8000000000000003
1-3,True,True,-2.125793620931751,-0.3796941609304148,0.08049413661516629,-0.046843185107403255,0.02794982819513567,-2.1037313440058014,-0.16637369342651764,-2.2609425647502164,-0.24177146268178454,9.126797120865005e-05,1.1956067239004537,7.577179439862418e-05,0.9926074357223327,0.9959321002918438,1.0084748785980722,0.00047962905351996073,4.2,3.0000000000000004
1-4,True,True,-1.9928041025320704,-0.4552012406384267,0.12383436878352172,-0.07193501185236878,0.043065892574639435,-2.390956683622033,-0.2728546727910982,-2.549612376516877,-0.3488494796015729,9.33806453995626e-05,1.196591059278785,7.747967255629437e-05,0.9928340402875814,0.9959121001670035,1.0100312896925023,0.0004456882091344976,4.2,3.2
1-5,True,True,-2.129788435823385,-0.3504985969563762,0.07185537729651281,-0.04181523073002151,0.024963260198127172,-2.123828274115648,-0.12287700612358878,-2.2787027173549057,-0.19687484252655688,9.122797409470447e-05,1.1917600470866,7.597712943438099e-05,0.9925300682247482,0.995443406276363,1.0110745241393668,0.0005042480712114158,4.2,3.4000000000000004
1-6,True,True,-3.1201711078039382,0.7372232733250126,5.7208315645108045e-05,-3.335393704870425e-05,1.9914726589576062e-05,-2.581756375110769,-0.1306022654969095,-2.7534972990665314,-0.21367916655429045,-0.0002532700028173059,1.211732553617302,-0.00020848733215755562,0.9974765451176095,0.9777615618526597,1.0071261041892658,0.0003529914795403829,4.2,2.8000000000000003
1-7,True,True,-3.3061917574554913,0.6933961385252039,0.00013765601255095116,-8.02570382509187e-05,4.79192897474838e-05,-2.7822443454965624,-0.2214639253800687,-2.9399569733316,-0.3003947050466787,-0.0001312324919948143,1.1990558745440354,-0.00010927065831458792,0.9983931782121309,0.9881667356963864,1.0088656191727219,0.0004122670404596088,4.2,3.0
1-8,True,True,-3.2254800262000347,0.6352084871003971,0.00015365619666509128,-8.958556204493016e-05,5.348909701104071e-05,-3.126791813614456,-0.5690484824370858,-3.2902127434614745,-0.6557859108171322,-0.00011762304483611714,1.2054016812630726,-9.739706293050433e-05,0.9981256952673764,0.9892291870615165,1.0095070380689468,0.0004055381941902516,4.2,3.2
10-1,True,True,-3.360482283910235,0.7038774433829669,0.0001287388360542359,-7.505809225557267e-05,4.481514081597678e-05,-2.956131187905795,-0.4621410400678427,-3.1102507563767685,-0.5456151164785349,-0.00012111658434692245,1.1916692502629738,-0.00010149002802744382,0.9985630478333852,0.9891430432203346,1.0107351345184268,0.00046607917312721454,4.2,3.0000000000000004
10-2,True,True,-4.556650799692404,1.1421646508616803,0.05178601008727073,-0.029910162331358438,0.017679231406404875,-2.862215460586831,-0.5028408214116054,-3.0378516787551777,-0.5933714149135446,-5.899662681234913e-05,1.220953879931511,-4.826804281341511e-05,0.99892243563667,0.9919926147308347,1.011982454683708,0.00048430929899943316,4.2,3.2
10-3,True,True,-3.3251960252837978,0.6982802291273689,0.00016142813074902142,-9.411680190506142e-05,5.619457681075774e-05,-2.7181418266636275,-0.41137609978629935,-2.8782172784250957,-0.4974861633342933,-0.00012891254810009432,1.2018378145041708,-0.00010709725544103597,0.9984561884441986,0.9882085177673811,1.0132501213175764,0.0002955348449462589,4.2,3.4000000000000004
10-4,True,True,-2.969824314760901,0.1505114827720505,0.08397736283818971,-0.04869374660377538,0.028961183802685003,-2.4714010318050406,-0.3716964611141573,-2.6330871098694617,-0.45161654700547116,2.946717693945215e-05,1.2070615095260306,2.4304468466407308e-05,0.9955819132443452,0.9944684510047123,1.0065793843782493,0.00035641013060345203,4.2,2.0
