cell_id,has_at_least_100_cycles,features_computable
1-1,True,True
1-2,True,True
1-3,True,True
1-4,True,True
1-5,True,True
1-6,True,True
1-7,True,True
1-8,True,True
10-1,True,True
10-2,True,True
10-3,True,True
10-4,True,True
10-5,True,True
10-6,True,True
10-7,True,True
10-8,True,True
2-2,True,True
2-3,True,True
2-4,True,True
2-5,True,True
2-6,True,True
2-7,True,True
2-8,True,True
3-1,True,True
3-2,True,True
3-3,True,True
3-4,True,True
3-5,True,True
3-6,True,True
3-7,True,True
3-8,True,True
4-1,True,True
4-2,True,True
4-3,True,True
4-4,True,True
4-5,True,True
4-6,True,True
4-7,True,True
4-8,True,True
5-1,True,True
5-2,True,True
5-3,True,True
5-4,True,True
5-5,True,True
5-6,True,True
5-7,True,True
6-1,True,True
6-2,True,True
6-3,True,True
6-4,True,True
6-5,True,True
6-6,True,True
6-8,True,True
7-1,True,True
7-2,True,True
7-3,True,True
7-4,True,True
7-5,True,True
7-6,True,True
7-7,True,True
7-8,True,True
8-1,True,True
8-2,True,True
8-3,True,True
8-4,True,True
8-5,True,True
8-6,True,True
8-7,True,True
8-8,True,True
9-1,True,True
9-2,True,True
9-3,True,True
9-4,True,True
9-5,True,True
9-6,True,True
9-7,True,True
9-8,True,True
