target,source,delta_r2_mean,delta_r2_lo,delta_r2_hi,delta_rmse_mean,relative_rmse_improvement_median,relative_rmse_improvement_q25,relative_rmse_improvement_q75,fraction_positive
Alloy yield strength,CO2R H2 Faradaic efficiency,-0.02787603267128145,-0.35147833061467393,0.15890323398789225,-6.966151701739299,-0.0012606655776308722,-0.011575320899677322,0.0021792796582718365,0.36666666666666664
Alloy yield strength,Solid-electrolyte conductivity,-0.5460127719836386,-7.781926666163264,0.09455930667932709,-32.32590680673316,0.0033661052174783594,-0.007029475638963007,0.012771975177391095,0.6
Alloy yield strength,Thermoelectric ZT,-0.002798054401631947,-0.09992010039088753,0.09102094838891835,-1.1450899350091202,-5.346421146957154e-05,-0.005372813607159126,0.004329456442755435,0.5
CO2R H2 Faradaic efficiency,Alloy yield strength,-0.03401387167335438,-0.16253674042196445,0.028068146205191477,-0.32937543625399984,-0.005569842513444778,-0.034839290397332356,0.0014844226617539407,0.26666666666666666
CO2R H2 Faradaic efficiency,Solid-electrolyte conductivity,0.02217770356193531,-0.06510248387546658,0.10864701376333004,0.2303628174332856,0.010243879470728606,0.002871764107409659,0.02670705853608864,0.7666666666666667
CO2R H2 Faradaic efficiency,Thermoelectric ZT,-0.015739862097956935,-0.09433114814759773,0.02051788030181416,-0.1655962185426752,-0.003484622347784107,-0.014695916126599559,0.0004651025557627584,0.3
Solid-electrolyte conductivity,Alloy yield strength,-0.0116109531509437,-0.5048795166443187,0.4491165917387152,-0.011303412182528288,-0.00013318410396929132,-0.011294302018560026,0.003014930181064626,0.4666666666666667
Solid-electrolyte conductivity,CO2R H2 Faradaic efficiency,0.2358845246115136,-0.2744609336135568,2.1136553284539508,0.16164016788018362,0.0057615895064115135,0.0009867464582314306,0.01873017656866994,0.7666666666666667
Solid-electrolyte conductivity,Thermoelectric ZT,-0.059719785840238605,-0.9940815225390985,0.18448390021904662,0.005782090263756658,0.012136383313603054,-0.0008864248225425792,0.02011014969919956,0.7333333333333333
Thermoelectric ZT,Alloy yield strength,-7.820228489682771,-70.06907041986229,1.9926079876128848,-0.044590265265718895,0.002275269293964352,-0.008912494935099284,0.019075050181674214,0.5666666666666667
Thermoelectric ZT,CO2R H2 Faradaic efficiency,-0.6158579531995633,-15.488452198830817,12.847439541856165,-0.004390073869770253,-0.0049121485073669365,-0.026505460784755627,0.008690936067188168,0.4
Thermoelectric ZT,Solid-electrolyte conductivity,1.9377758727594134,-1.29302981094177,19.998526263759736,0.022590240218828096,0.0023456208851136712,-0.01692658690406602,0.0161325573107042,0.6
