scope,policy,rank,candidate_index,material_key,material_raw,group,first_group_representative
external_candidate,uniform_family_first,1,464,Li:0.4444444444|S:0.2222222222|Se:0.2222222222|Sn:0.1111111111,Li4SnS2Se2,component-e765a42161a2cd5d,True
external_candidate,uniform_family_first,2,230,Ge:0.02533333333|Li:0.4444444444|S:0.4444444444|Sn:0.08577777778,Li4Ge0.228Sn0.772S4,component-c070aaa1f32fc816,True
external_candidate,uniform_family_first,3,41,Al:0.06|La:0.13|Li:0.07|O:0.6|Ti:0.14,(La0.65Li0.35)(Ti0.7Al0.3)O3,component-21f452ed084570e0,True
external_candidate,uniform_family_first,4,210,Ga:0.02040816327|Li:0.2517006803|O:0.5442176871|P:0.1360544218|Zn:0.04761904762,Li3.7Zn0.7Ga0.3(PO4)2,component-6c0b8e88c79a5e35,True
external_candidate,uniform_family_first,5,295,K:0.02|Li:0.18|O:0.6|Sb:0.2,(K0.1Li0.9)(SbO3),component-f164aba2b81882f9,True
external_candidate,uniform_family_first,6,171,Co:0.02024291498|La:0.1275303644|Li:0.06275303644|O:0.6072874494|Ti:0.1821862348,Li0.31La0.63((Ti0.9Co0.1)O3,component-edf2c8506f6784d3,True
external_candidate,uniform_family_first,7,25,Al:0.02222707662|Li:0.07165092021|O:0.6553437824|P:0.1638359456|Ti:0.08694227514,Li1.312Al0.407Ti1.592(PO4)3,component-1751b0c9bec9cfa2,True
external_candidate,uniform_family_first,8,333,La:0.1276595745|Li:0.2765957447|O:0.5106382979|Ta:0.02127659574|Zr:0.06382978723,Li6.5La3Zr1.5Ta0.5O12,component-9538ad9c5715847d,True
external_candidate,uniform_family_first,9,20,Al:0.02173913043|Ge:0.01086956522|Li:0.07608695652|O:0.652173913|P:0.1630434783|Ti:0.07608695652,Li1.4(Al0.4Ge0.2Ti1.4)(PO4)3,component-d77d678c12faf4d4,True
external_candidate,uniform_family_first,10,428,Li:0.3333333333|P:0.1666666667|S:0.5,Li4P2S6,component-add16a77287243fe,True
external_candidate,uniform_family_first,11,92,Br:0.05591054313|Cl:0.07987220447|Li:0.4408945687|P:0.07987220447|S:0.3434504792,Li5.52PS4.3ClBr0.7,component-864a0973e33a172f,True
external_candidate,uniform_family_first,12,218,Ga:0.25|Li:0.25|S:0.5,LiGaS2,component-f1a63e35375195fa,True
external_candidate,uniform_family_first,13,403,Li:0.1|Mn:0.2|O:0.6|Te:0.1,LiMn2TeO6,component-cc8eb4822ea3c7a0,True
external_candidate,uniform_family_first,14,166,Cl:0.629590766|Er:0.055613851|Li:0.2654774397|Zr:0.04931794334,Li2.53Er0.53Zr0.47Cl6,component-c15bf60682542e1c,True
external_candidate,uniform_family_first,15,355,La:0.1428571429|Li:0.1428571429|O:0.5714285714|Ti:0.1428571429,Li(LaTiO4),component-49fd470de09087f3,True
external_candidate,uniform_family_first,16,216,Ga:0.1|Li:0.5|S:0.4,Li5GaS4,component-95dd48f923dfd756,True
