article_doi,neighbor_absolute_ridge,neighbor_delta_ridge,article_id,improved,relative_gain
10.1016/0378-7753(91)80004-H,0.9154379370835,0.9095112475545176,A01,True,0.006474157656022217
10.1016/S0378-7753(03)00153-8,0.3905889831315194,0.3824396238810715,A02,True,0.020864283434496755
10.1021/JE020219O,0.728195662045513,0.7159609008757868,A03,True,0.016801474943367034
10.1021/je0498863,0.2239836370394664,0.2228164356808616,A04,True,0.005211101016272535
10.1149/1.1344281,0.822238696430192,0.6151345137578851,A05,True,0.25187841872617345
10.1149/1.1403730,0.1046388643012963,0.0948763748573193,A06,True,0.09329697440013274
10.1149/1.1527939,0.9462253021271324,0.8574129783924465,A07,True,0.09385959510386599
10.1149/1.1566019,0.247577980271526,0.2570397728635897,A08,False,-0.038217423785777305
10.1149/1.1630593,0.252964829680823,0.2635253997891397,A09,False,-0.041747187234057126
10.1149/1.1833611,0.4202254606810406,0.422420599572357,A10,False,-0.005223717020284457
10.1149/1.1914757,0.338706640295779,0.2769956584747438,A11,True,0.18219596098601876
