target,source,programme_cluster,primary_edge_class,relation,neighborhood,is_designated_primary,is_wrong_control,is_shuffled_control,repeats,gain_all_mean,gain_id_mean,gain_id_ci_lo,gain_id_ci_hi,gain_ood_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_mean,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,positive_ood_learners,learners_evaluated,one_sided_sign_flip_p,holm_p,primary_minus_wrong_mean,primary_minus_wrong_ci_lo,primary_minus_wrong_ci_hi,primary_minus_shuffled_mean,primary_minus_shuffled_ci_lo,primary_minus_shuffled_ci_hi,post_exclusion_overlap,interval_method,classification,relation_family
alloy_ys,alloy_uts,mpea,within-database-neighbor,physical-neighbor,3,True,False,False,100,0.0631607358361116,0.0774014836160887,-0.0282010969307713,0.1347721981013709,0.0664752036682114,0.0352932137693162,0.1402343470938264,-0.0109262799478772,-0.0700014295600836,0.1234277039405671,-0.9471383983835152,-0.6660551279024105,0.93,3,3,0.0001,0.0008,0.0652479681826454,0.0546795367852071,0.0759543240890333,0.0657003945910056,0.0551918057842679,0.0764119718799845,0,hierarchical-repeat-and-group-bootstrap,ood-improvement-not-specific,Within-domain neighbor
alloy_ys,alloy_hardness,mpea,real-inherited-edge,physical-neighbor,2,False,False,False,100,0.067690451229651,0.0808262681245807,0.0693417785957341,0.0919254321955682,0.0719592051418843,0.061070029414233,0.0837091911845334,-0.0088670629826964,-0.0208724199298305,0.0029663428962321,-0.9471383983835152,-0.6358058683012742,0.94,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific,Within-domain neighbor
alloy_ys,alloy_elongation,mpea,real-inherited-edge,same-domain,1,False,False,False,100,0.0260527862684902,0.0276816320591723,0.0178441875616844,0.0384376301045099,0.0352127789942744,0.0242903703634576,0.0466150691790572,0.0075311469351021,-0.0050528154917907,0.0195462600610989,-0.9471383983835152,-0.8210465090531833,0.73,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific,Within-domain neighbor
alloy_ys,catalysis_h2,mpea,real-inherited-edge,distant-control,0,False,False,False,100,-0.0015706466180294,-0.0006009352822097,-0.0037092599301576,0.0021341845369039,-0.0023303218959292,-0.0038448542646135,-0.0008490486118756,-0.0017293866137195,-0.005255613574127,0.0017430696160134,-0.9471383983835152,-0.9575290433591286,0.38,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful,Distant control
alloy_ys,te_thermal,mpea,real-inherited-edge,distant-control,0,False,True,False,100,-0.0021344152869343,-0.0027501780215728,-0.0065246786099126,-2.7357650157759643e-05,0.001227235485566,-0.0018819856613762,0.0038343210635654,0.0039774135071389,0.0013881864221007,0.0065401986381624,-0.9471383983835152,-0.941003693283841,0.57,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement,Distant control
catalysis_h2,catalysis_voltage,ocx,within-database-neighbor,same-domain,2,True,False,False,100,-0.0090590208476573,-0.0249650648862681,-0.0605161387633544,0.0597629196858721,-0.0096672659038956,-0.0378018363983574,0.1189761152993375,0.0152977989823724,-0.0777963841818399,0.144432816886963,-2.9810926622092224,-3.012751396800111,0.47,0,3,0.8755,1.0,0.0202244198553697,-0.0002042612573631,0.0398271872041025,-0.0076457119702011,-0.0271102045438383,0.0111838848503644,0,hierarchical-repeat-and-group-bootstrap,unresolved,Within-domain neighbor
catalysis_h2,catalysis_co,ocx,real-inherited-edge,closure-calibration,3,False,False,False,100,0.0762013925122995,0.1533216417975884,0.1277337119624205,0.1746031348904258,-0.1327198336270648,-0.1722656634428063,-0.0955738678674426,-0.2860414754246532,-0.3239014643167576,-0.2525882944308733,-2.9810926622092224,-3.699462973305466,0.26,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful,Within-domain neighbor
catalysis_h2,alloy_ys,ocx,real-inherited-edge,distant-control,0,False,True,False,100,-0.0048171459222333,0.0157068411900462,0.0070826984874015,0.0243761044822769,-0.0298916857592654,-0.0443953108364467,-0.0153554163730681,-0.0455985269493117,-0.0636564612853069,-0.0285063621982639,-2.9810926622092224,-3.1907938712633337,0.3,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful,Distant control
catalysis_h2,electrolyte_conductivity,ocx,real-inherited-edge,distant-control,0,False,False,False,100,-0.0080025740597491,-0.0123457564438025,-0.0206557990229365,-0.0052056575969314,-0.0068359028654665,-0.0159266524395064,0.0007543812181686,0.0055098535783359,-0.0045368268130205,0.0160541398465679,-2.9810926622092224,-3.027364456814075,0.51,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved,Distant control
catalysis_h2,te_zt,ocx,real-inherited-edge,distant-control,0,False,False,False,100,0.0033570384811873,0.0077776290709738,-0.0131549401133627,0.0289433103388663,-0.0034459059017773,-0.0300201419821989,0.0202067841899516,-0.0112235349727511,-0.0268965603406901,0.0022779525643927,-2.9810926622092224,-2.996991220638123,0.49,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved,Distant control
