scope,scope_label,policy,label,source_class,auc20,first_hit,recall20,true_top_entities,recall20_count
external_candidate,external,borg_mechanical_static_control,Borg,wrong control,0.0,41.0,0.0,8,0
external_candidate,external,estm_transport_neighbor_static,ESTM,real neighbor,45.0,5.0,0.375,8,3
external_candidate,external,obelix_same_property_static,OBELiX,real neighbor,33.0,1.0,0.25,8,2
external_candidate,external,ocx_catalysis_static_control,OCx,wrong control,0.0,41.0,0.0,8,0
external_candidate,external,shuffled_obelix_static_control,shuffled,wrong control,11.75,15.11,0.13875,8,1
external_candidate,external,uniform_random,random,random,11.25,15.77,0.13875,8,1
hard_ood_40pct,hard OOD,borg_mechanical_static_control,Borg,wrong control,3.0,18.0,0.3333333333,3,1
hard_ood_40pct,hard OOD,estm_transport_neighbor_static,ESTM,real neighbor,51.0,1.0,1.0,3,3
hard_ood_40pct,hard OOD,obelix_same_property_static,OBELiX,real neighbor,38.0,2.0,1.0,3,3
hard_ood_40pct,hard OOD,ocx_catalysis_static_control,OCx,wrong control,0.0,41.0,0.0,3,0
hard_ood_40pct,hard OOD,shuffled_obelix_static_control,shuffled,wrong control,11.59,13.35,0.36,3,1
hard_ood_40pct,hard OOD,uniform_random,random,random,9.87,15.3,0.3233333333,3,1
