scope,strategy,step,probability_hit,seeds,candidate_n,true_hit_n
official_test,target_only,0,0.0,100,110,6
official_test,target_only,1,0.03,100,110,6
official_test,target_only,2,0.09,100,110,6
official_test,target_only,3,0.16,100,110,6
official_test,target_only,4,0.22,100,110,6
official_test,target_only,5,0.26,100,110,6
official_test,target_only,6,0.29,100,110,6
official_test,target_only,7,0.3,100,110,6
official_test,target_only,8,0.33,100,110,6
official_test,target_only,9,0.36,100,110,6
official_test,target_only,10,0.36,100,110,6
official_test,target_only,11,0.36,100,110,6
official_test,target_only,12,0.36,100,110,6
official_test,target_only,13,0.37,100,110,6
official_test,target_only,14,0.39,100,110,6
official_test,target_only,15,0.39,100,110,6
official_test,target_only,16,0.4,100,110,6
official_test,target_only,17,0.4,100,110,6
official_test,target_only,18,0.41,100,110,6
official_test,target_only,19,0.42,100,110,6
official_test,target_only,20,0.43,100,110,6
official_test,target_only,21,0.44,100,110,6
official_test,target_only,22,0.45,100,110,6
official_test,target_only,23,0.45,100,110,6
official_test,target_only,24,0.47,100,110,6
official_test,target_only,25,0.5,100,110,6
official_test,target_only,26,0.5,100,110,6
official_test,target_only,27,0.5,100,110,6
official_test,target_only,28,0.5,100,110,6
official_test,target_only,29,0.5,100,110,6
official_test,target_only,30,0.5,100,110,6
official_test,target_only,31,0.52,100,110,6
official_test,target_only,32,0.53,100,110,6
official_test,target_only,33,0.53,100,110,6
official_test,target_only,34,0.54,100,110,6
official_test,target_only,35,0.54,100,110,6
official_test,target_only,36,0.55,100,110,6
official_test,target_only,37,0.55,100,110,6
official_test,target_only,38,0.56,100,110,6
official_test,target_only,39,0.6,100,110,6
official_test,target_only,40,0.6,100,110,6
official_test,thermoelectric_prior,0,0.0,100,110,6
official_test,thermoelectric_prior,1,0.05,100,110,6
official_test,thermoelectric_prior,2,0.13,100,110,6
official_test,thermoelectric_prior,3,0.17,100,110,6
official_test,thermoelectric_prior,4,0.21,100,110,6
official_test,thermoelectric_prior,5,0.27,100,110,6
official_test,thermoelectric_prior,6,0.27,100,110,6
official_test,thermoelectric_prior,7,0.29,100,110,6
official_test,thermoelectric_prior,8,0.29,100,110,6
official_test,thermoelectric_prior,9,0.31,100,110,6
official_test,thermoelectric_prior,10,0.33,100,110,6
official_test,thermoelectric_prior,11,0.35,100,110,6
official_test,thermoelectric_prior,12,0.36,100,110,6
official_test,thermoelectric_prior,13,0.37,100,110,6
official_test,thermoelectric_prior,14,0.4,100,110,6
official_test,thermoelectric_prior,15,0.4,100,110,6
official_test,thermoelectric_prior,16,0.4,100,110,6
official_test,thermoelectric_prior,17,0.4,100,110,6
official_test,thermoelectric_prior,18,0.41,100,110,6
official_test,thermoelectric_prior,19,0.44,100,110,6
official_test,thermoelectric_prior,20,0.45,100,110,6
official_test,thermoelectric_prior,21,0.46,100,110,6
official_test,thermoelectric_prior,22,0.46,100,110,6
official_test,thermoelectric_prior,23,0.47,100,110,6
official_test,thermoelectric_prior,24,0.48,100,110,6
official_test,thermoelectric_prior,25,0.49,100,110,6
official_test,thermoelectric_prior,26,0.51,100,110,6
official_test,thermoelectric_prior,27,0.51,100,110,6
official_test,thermoelectric_prior,28,0.51,100,110,6
official_test,thermoelectric_prior,29,0.51,100,110,6
official_test,thermoelectric_prior,30,0.52,100,110,6
official_test,thermoelectric_prior,31,0.55,100,110,6
official_test,thermoelectric_prior,32,0.55,100,110,6
official_test,thermoelectric_prior,33,0.55,100,110,6
official_test,thermoelectric_prior,34,0.55,100,110,6
official_test,thermoelectric_prior,35,0.57,100,110,6
official_test,thermoelectric_prior,36,0.58,100,110,6
official_test,thermoelectric_prior,37,0.58,100,110,6
official_test,thermoelectric_prior,38,0.58,100,110,6
official_test,thermoelectric_prior,39,0.59,100,110,6
official_test,thermoelectric_prior,40,0.59,100,110,6
official_test,random_control,0,0.0,100,110,6
official_test,random_control,1,0.05,100,110,6
official_test,random_control,2,0.13,100,110,6
official_test,random_control,3,0.19,100,110,6
official_test,random_control,4,0.2,100,110,6
official_test,random_control,5,0.24,100,110,6
official_test,random_control,6,0.25,100,110,6
official_test,random_control,7,0.28,100,110,6
official_test,random_control,8,0.33,100,110,6
official_test,random_control,9,0.36,100,110,6
official_test,random_control,10,0.41,100,110,6
official_test,random_control,11,0.43,100,110,6
official_test,random_control,12,0.49,100,110,6
official_test,random_control,13,0.53,100,110,6
official_test,random_control,14,0.57,100,110,6
official_test,random_control,15,0.61,100,110,6
official_test,random_control,16,0.64,100,110,6
official_test,random_control,17,0.67,100,110,6
official_test,random_control,18,0.69,100,110,6
official_test,random_control,19,0.7,100,110,6
official_test,random_control,20,0.72,100,110,6
official_test,random_control,21,0.74,100,110,6
official_test,random_control,22,0.75,100,110,6
official_test,random_control,23,0.76,100,110,6
official_test,random_control,24,0.78,100,110,6
official_test,random_control,25,0.8,100,110,6
official_test,random_control,26,0.82,100,110,6
official_test,random_control,27,0.84,100,110,6
official_test,random_control,28,0.84,100,110,6
official_test,random_control,29,0.86,100,110,6
official_test,random_control,30,0.86,100,110,6
official_test,random_control,31,0.86,100,110,6
official_test,random_control,32,0.88,100,110,6
official_test,random_control,33,0.88,100,110,6
official_test,random_control,34,0.88,100,110,6
official_test,random_control,35,0.9,100,110,6
official_test,random_control,36,0.91,100,110,6
official_test,random_control,37,0.91,100,110,6
official_test,random_control,38,0.91,100,110,6
official_test,random_control,39,0.91,100,110,6
official_test,random_control,40,0.92,100,110,6
