draw,model,anchor_indices,evaluation_formulations,pairwise_concordance,eligible_pairs
0,calisol_rank_score,"[4, 8, 18]",16,0.5727272727272728,110
0,target_extra_trees,"[4, 8, 18]",16,0.6055045871559633,109
0,target_hist_gradient_boosting,"[4, 8, 18]",16,,0
0,target_linear,"[4, 8, 18]",16,0.42342342342342343,111
1,calisol_rank_score,"[8, 13, 17]",16,0.5533980582524272,103
1,target_extra_trees,"[8, 13, 17]",16,0.75,104
1,target_hist_gradient_boosting,"[8, 13, 17]",16,,0
1,target_linear,"[8, 13, 17]",16,0.7019230769230769,104
2,calisol_rank_score,"[8, 10, 13]",16,0.56,100
2,target_extra_trees,"[8, 10, 13]",16,0.73,100
2,target_hist_gradient_boosting,"[8, 10, 13]",16,,0
2,target_linear,"[8, 10, 13]",16,0.66,100
3,calisol_rank_score,"[4, 8, 11]",16,0.5865384615384616,104
3,target_extra_trees,"[4, 8, 11]",16,0.6538461538461539,104
3,target_hist_gradient_boosting,"[4, 8, 11]",16,,0
3,target_linear,"[4, 8, 11]",16,0.47115384615384615,104
4,calisol_rank_score,"[8, 13, 16]",16,0.5436893203883495,103
4,target_extra_trees,"[8, 13, 16]",16,0.7211538461538461,104
4,target_hist_gradient_boosting,"[8, 13, 16]",16,,0
4,target_linear,"[8, 13, 16]",16,0.6923076923076923,104
5,calisol_rank_score,"[4, 8, 18]",16,0.5727272727272728,110
5,target_extra_trees,"[4, 8, 18]",16,0.6055045871559633,109
5,target_hist_gradient_boosting,"[4, 8, 18]",16,,0
5,target_linear,"[4, 8, 18]",16,0.42342342342342343,111
6,calisol_rank_score,"[8, 10, 13]",16,0.56,100
6,target_extra_trees,"[8, 10, 13]",16,0.73,100
6,target_hist_gradient_boosting,"[8, 10, 13]",16,,0
6,target_linear,"[8, 10, 13]",16,0.66,100
7,calisol_rank_score,"[8, 11, 13]",16,0.55,100
7,target_extra_trees,"[8, 11, 13]",16,0.74,100
7,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
7,target_linear,"[8, 11, 13]",16,0.66,100
8,calisol_rank_score,"[8, 13, 16]",16,0.5436893203883495,103
8,target_extra_trees,"[8, 13, 16]",16,0.7211538461538461,104
8,target_hist_gradient_boosting,"[8, 13, 16]",16,,0
8,target_linear,"[8, 13, 16]",16,0.6923076923076923,104
9,calisol_rank_score,"[8, 13, 17]",16,0.5533980582524272,103
