phase,formulation_key,first_ctime,first_request_uuid,EC_wt,EMC_wt,LiPF6_wt,temperature_C,conductivity,measurement_events,instrument_replicates,minimum_rating,candidate_index,split,calisol_rank_score,target_extra_trees,target_hist_gradient_boosting,target_linear,temperature_only_score,salt_fraction_only_score,hard_ood_40pct
multitask_2023_11,0.32556176|0.52665375|0.1477845,2023-11-06T10:51:54,baff8c30-c2fe-4636-b7cb-ab14b37de9f3,0.3255617562129809,0.5266537464683494,0.1477844973186697,27.0,0.8655003341974098,1,3,4.0,0,anchor,9.825491806968502,0.8655003341974069,0.9481914854771198,0.8655003341974092,27.0,0.1477844973186697,False
multitask_2023_11,0.22741637|0.62729318|0.14529045,2023-11-06T13:57:10,790eb3b9-0e72-4673-aca8-8edab39c3a4d,0.22741637430032943,0.6272931787139452,0.1452904469857254,27.0,0.9767140528024264,1,3,4.0,1,anchor,9.268814690668039,0.9767140528024326,0.9481914854771198,0.9767140528024254,27.0,0.1452904469857254,False
multitask_2023_11,0.40097165|0.46370353|0.13532482,2023-11-06T15:06:17,eeae1cea-52e9-455a-9e9c-faa67b5576c6,0.4009716541481397,0.46370353066016257,0.13532481519169778,27.0,1.0023600694315233,1,3,4.0,2,anchor,9.775542535392848,1.0023600694315187,0.9481914854771198,1.0023600694315227,27.0,0.13532481519169778,False
multitask_2023_11,0.29572451|0.52937959|0.1748959,2023-11-06T16:55:25,9e9e75a4-6838-4422-b20a-d1a9d9e38866,0.29572451113968257,0.5293795935599009,0.1748958953004164,27.0,0.9193990899786554,1,3,4.0,3,evaluation,9.557949964161736,0.8759544237462792,0.9481914854771198,0.46833383272235185,27.0,0.1748958953004164,False
multitask_2023_11,0.10719436|0.75057025|0.14223539,2023-11-08T20:05:17,a3cd5332-8ca7-4a3d-857a-007e2cf639c7,0.10719435777771953,0.7505702524842034,0.14223538973807714,27.30000000000001,0.8715114194139226,1,3,4.0,4,evaluation,6.612557595246055,0.9809712915628608,0.9481914854771198,1.1129439726938442,27.30000000000001,0.14223538973807714,False
multitask_2023_11,0.31327673|0.59665829|0.09006498,2023-11-08T21:20:30,e0fbee57-52cb-4b4b-94d7-2f1a2213c4e6,0.3132767289630965,0.5966582866900674,0.09006498434683619,27.30000000000001,0.9779663763911031,1,3,4.0,5,evaluation,9.236052261024005,0.980996578465011,0.9481914854771198,1.7671699682108897,27.30000000000001,0.09006498434683619,True
multitask_2023_11,0.44284191|0.45021423|0.10694386,2023-11-09T02:44:43,43d62c43-72d5-4eb2-bb76-01b6c8bd009a,0.4428419125781989,0.45021422967835373,0.10694385774344739,27.30000000000001,0.9289622463678742,1,3,4.0,6,evaluation,10.352374192126762,1.0023600694315187,0.9481914854771198,1.4102524363613345,27.30000000000001,0.10694385774344739,False
multitask_2023_11,0.44072309|0.43764013|0.12163677,2023-11-09T04:28:55,e0ac13ea-e4c1-455a-b91e-a02f2a6c923d,0.4407230941704036,0.43764013452914796,0.12163677130044845,27.30000000000001,0.7754108020353678,2,6,4.0,7,evaluation,10.415887853957306,1.0023600694315187,0.9481914854771198,1.1846090517493968,27.30000000000001,0.12163677130044845,False
multitask_2023_11,0.40458781|0.4172255|0.1781867,2023-11-09T07:29:47,d55d812d-ae33-46ba-97da-5fe713c194d1,0.4045878088549833,0.41722549590800134,0.1781866952370153,27.30000000000001,0.7916087759261423,1,3,4.0,8,evaluation,9.175024824983243,0.901083865358276,0.9481914854771198,0.3368659220991992,27.30000000000001,0.1781866952370153,False
multitask_2023_11,0.45461779|0.45312367|0.09225854,2023-11-14T11:14:38,6df972ce-1778-455a-a10c-e522354eb2d6,0.4546177860379238,0.4531236713919561,0.09225854257012014,26.400000000000034,0.9819582613309755,2,6,4.0,9,evaluation,10.087733601260302,1.0023600694315187,0.9481914854771198,1.6286303216230285,26.400000000000034,0.09225854257012014,False
