n_systems,n_dois,intercept,slope,slope_se_hc3,slope_ci_lo,slope_ci_hi,p_hc3,r2,T_iso_K,temperature_harmonic_median_K,temperature_min_K,temperature_max_K,T_iso_relative_to_harmonic,uptake_log_fraction,vanthoff_r2_cutoff,temperature_span_cutoff_K
1128,525,1.8180201653092474,0.25021945638843096,0.008568768436512003,0.2334069069790244,0.26703200579783753,5.132802493825181e-140,0.6547840855459294,480.66747797589295,300.2678864828053,20.0,873.0,1.6007954883427673,0.25,0.8,20.0
877,402,1.9136158632545333,0.2375229430610241,0.00934746689075184,0.21917686756818394,0.25586901855386424,3.9996489501463643e-107,0.6315559688365654,506.3610003006145,302.11863198885925,20.0,873.0,1.676033672492224,0.25,0.8,40.0
469,266,2.088228754648662,0.22310710254854907,0.013976975364023618,0.19564155260358165,0.2505726524935165,4.330592535304652e-46,0.563151924510876,539.0790058624614,302.8774008291791,20.0,873.0,1.7798587956270082,0.25,0.8,60.0
1024,488,2.1827079058979892,0.23912691515034656,0.0075393659949684385,0.22433250853034584,0.25392132177034726,2.9465667201898772e-154,0.6423295378474261,502.9645239520907,298.6280935287851,20.0,873.0,1.684250527164851,0.25,0.9,20.0
799,376,2.205529183338703,0.2312647721727069,0.008389747111225313,0.2147961605838068,0.24773338376160703,5.3501040903248025e-118,0.6283920374444214,520.0634489757372,302.11863198885925,20.0,873.0,1.721388202879572,0.25,0.9,40.0
425,244,2.2642815800537317,0.22559673932372887,0.012871509766048162,0.2002966541988021,0.25089682444865563,4.2605717834909784e-52,0.5865416592548114,533.1298466603124,301.01331016621316,20.0,873.0,1.7711171853694092,0.25,0.9,60.0
909,452,2.4875454062092808,0.23092146342852587,0.007786595848393893,0.2156396233103683,0.24620330354668346,1.1708592952549396e-135,0.6473438779792384,520.8366223607984,297.9889071701372,20.0,873.0,1.7478389625538173,0.25,0.95,20.0
709,350,2.558890738418537,0.22025254062415114,0.008538752964574299,0.20348819308996705,0.23701688815833524,6.442900929940287e-104,0.6288633890318538,546.0656876052304,301.3440518426768,20.0,873.0,1.8121004355855543,0.25,0.95,40.0
381,226,2.393941462892399,0.2228506856761619,0.01355276551493437,0.1962026557301344,0.2494987156221894,3.053478154355821e-46,0.6044884013891225,539.6992819555478,302.8774008291791,20.0,873.0,1.781906740080402,0.25,0.95,60.0
1158,532,2.5681405318386132,0.23878418904942522,0.008627948751267224,0.22185599625968777,0.2557123818391627,9.063410483279085e-130,0.6355794987352391,503.6864271521396,301.56976190778437,20.0,873.0,1.6702152893769222,0.5,0.8,20.0
900,406,2.6806385269890143,0.22436011480961934,0.008905911044598695,0.20688129172013317,0.24183893789910552,2.3608536037121115e-106,0.6051900229466589,536.0683432738617,302.33892478516265,20.0,873.0,1.7730708794932164,0.5,0.8,40.0
480,270,2.7917803053540573,0.21306739366398225,0.013533294093752172,0.18647529262434415,0.23965949470362036,2.699897031087567e-45,0.55399157630889,564.4803410530353,302.3610291016449,20.0,873.0,1.8669083867394618,0.5,0.8,60.0
1103,512,2.7381884201216873,0.23437063101217026,0.007664432047544049,0.2193320881969057,0.24940917382743483,3.6510094466599477e-149,0.6369527364455693,513.1716142219228,300.58509923933025,20.0,873.0,1.707242360052346,0.5,0.9,20.0
855,390,2.8147909405631584,0.22301468235348232,0.007954531085127357,0.20740193474271879,0.23862742996424585,4.208160393391242e-123,0.6112562861082383,539.3024072383367,302.11863198885925,20.0,873.0,1.7850683477814229,0.5,0.9,40.0
454,255,2.782764475780465,0.21953498986439365,0.0123226969433137,0.1953181027903766,0.24375187693841072,3.605534699163486e-54,0.5755153030263773,547.850504910484,302.3610291016449,20.0,873.0,1.8119084544004274,0.5,0.9,60.0
997,479,2.9503550734418074,0.22775253425050918,0.007479379671799675,0.21307536584581585,0.2424297026552025,1.9173803030081084e-144,0.6431546095227546,528.0834983396334,298.6280935287851,20.0,873.0,1.7683650995438942,0.5,0.95,20.0
773,365,3.0151541214773374,0.21733487601939258,0.00822160421441058,0.2011954919257378,0.23347426011304737,3.9979293735242874e-110,0.6211836833356661,553.3964784924545,302.11863198885925,20.0,873.0,1.8317191324792617,0.5,0.95,40.0
408,237,2.835129970513803,0.21966719859136943,0.013393357522708194,0.19333821254263475,0.24599618464010412,9.501138925326654e-47,0.5974340174910131,547.520776037481,302.61921496541197,20.0,873.0,1.809273003698923,0.5,0.95,60.0
1183,536,3.307555827585979,0.2321554930742097,0.008862985230114659,0.21476654022600264,0.24954444592241679,1.3161951235551163e-119,0.6329687720280344,518.0680993160062,301.3440518426768,20.0,873.0,1.7191913898684648,0.75,0.8,20.0
914,409,3.4240431947740935,0.21820006893190033,0.009118555217967944,0.2003042791851789,0.23609585867862176,1.3507130366941544e-98,0.6030313413483268,551.2021862846557,302.33892478516265,20.0,873.0,1.8231267663478377,0.75,0.8,40.0
