source,learner,fold,source_feature_importance,source_feature_rank,feature_count
temperature_-20_C,random-forest-primary,fold_0,0.6006030078872612,1,5
temperature_-20_C,random-forest-primary,fold_1,0.6026152824623239,1,5
temperature_-20_C,random-forest-primary,fold_2,0.7454138434184346,1,5
temperature_-20_C,random-forest-primary,fold_3,0.8381215430024425,1,5
temperature_-20_C,random-forest-primary,fold_4,0.87453761038168,1,5
temperature_0_C,random-forest-primary,fold_0,0.18617825727787468,2,5
temperature_0_C,random-forest-primary,fold_1,0.10486311725536149,2,5
temperature_0_C,random-forest-primary,fold_2,0.35914192202693435,2,5
temperature_0_C,random-forest-primary,fold_3,0.28378730512797745,2,5
temperature_0_C,random-forest-primary,fold_4,0.506743373201055,1,5
temperature_30_C,random-forest-primary,fold_0,0.04557240084124478,5,5
temperature_30_C,random-forest-primary,fold_1,0.021144066799398845,4,5
temperature_30_C,random-forest-primary,fold_2,0.10993297148720785,2,5
temperature_30_C,random-forest-primary,fold_3,0.11264333298894222,2,5
temperature_30_C,random-forest-primary,fold_4,0.1350074900654903,2,5
temperature_60_C,random-forest-primary,fold_0,0.04595269233422773,5,5
temperature_60_C,random-forest-primary,fold_1,0.012043036017139925,4,5
temperature_60_C,random-forest-primary,fold_2,0.040189772418832946,4,5
temperature_60_C,random-forest-primary,fold_3,0.059221280219292724,2,5
temperature_60_C,random-forest-primary,fold_4,0.07407159247006094,4,5
shuffled_temperature_-20_C,random-forest-primary,fold_0,0.07538538783381316,3,5
shuffled_temperature_-20_C,random-forest-primary,fold_1,0.017649110420864197,4,5
shuffled_temperature_-20_C,random-forest-primary,fold_2,0.052089838187897045,2,5
shuffled_temperature_-20_C,random-forest-primary,fold_3,0.02356559775787908,4,5
shuffled_temperature_-20_C,random-forest-primary,fold_4,0.06242627884073464,4,5
temperature_-20_C,extra-trees-sensitivity,fold_0,0.6125210701012883,1,5
temperature_-20_C,extra-trees-sensitivity,fold_1,0.4730993071747826,2,5
temperature_-20_C,extra-trees-sensitivity,fold_2,0.4787483234728022,1,5
temperature_-20_C,extra-trees-sensitivity,fold_3,0.5905000729496279,1,5
temperature_-20_C,extra-trees-sensitivity,fold_4,0.690745226607586,1,5
