fold,development_formulations,test_formulations,source_test_formulations_seen_during_fit,source_test_r2,labels_shuffled,pooled_source_oof_r2,source,source_temperature_C,target_temperature_C,absolute_temperature_distance_C
fold_0,86,22,0,0.8575755240170084,False,0.8584344466583936,temperature_-20_C,-20,-30,10
fold_1,86,22,0,0.8587812697095126,False,0.8584344466583936,temperature_-20_C,-20,-30,10
fold_2,86,22,0,0.9031937404281767,False,0.8584344466583936,temperature_-20_C,-20,-30,10
fold_3,87,21,0,0.6273901222825587,False,0.8584344466583936,temperature_-20_C,-20,-30,10
fold_4,87,21,0,0.8863580335579377,False,0.8584344466583936,temperature_-20_C,-20,-30,10
fold_0,86,22,0,0.8017063877472812,False,0.794631946096087,temperature_0_C,0,-30,30
fold_1,86,22,0,0.8281402144172411,False,0.794631946096087,temperature_0_C,0,-30,30
fold_2,86,22,0,0.8998406466166669,False,0.794631946096087,temperature_0_C,0,-30,30
fold_3,87,21,0,0.7073747852930758,False,0.794631946096087,temperature_0_C,0,-30,30
fold_4,87,21,0,0.6780890365101948,False,0.794631946096087,temperature_0_C,0,-30,30
fold_0,86,22,0,0.8187633402346111,False,0.8580652793702739,temperature_30_C,30,-30,60
fold_1,86,22,0,0.8378708982679672,False,0.8580652793702739,temperature_30_C,30,-30,60
fold_2,86,22,0,0.90103253447931,False,0.8580652793702739,temperature_30_C,30,-30,60
fold_3,87,21,0,0.8507999059156822,False,0.8580652793702739,temperature_30_C,30,-30,60
fold_4,87,21,0,0.8586988951242155,False,0.8580652793702739,temperature_30_C,30,-30,60
fold_0,86,22,0,0.8771718191744239,False,0.8878817040494816,temperature_60_C,60,-30,90
fold_1,86,22,0,0.8721929381098535,False,0.8878817040494816,temperature_60_C,60,-30,90
fold_2,86,22,0,0.8656114918688631,False,0.8878817040494816,temperature_60_C,60,-30,90
fold_3,87,21,0,0.8487001683108449,False,0.8878817040494816,temperature_60_C,60,-30,90
fold_4,87,21,0,0.9317441663994915,False,0.8878817040494816,temperature_60_C,60,-30,90
fold_0,86,22,0,-0.45792014848743445,True,-0.21247625070417953,shuffled_temperature_-20_C,-20,-30,10
fold_1,86,22,0,-0.1083071017089241,True,-0.21247625070417953,shuffled_temperature_-20_C,-20,-30,10
fold_2,86,22,0,-0.4060301683398886,True,-0.21247625070417953,shuffled_temperature_-20_C,-20,-30,10
fold_3,87,21,0,-0.34015107735414496,True,-0.21247625070417953,shuffled_temperature_-20_C,-20,-30,10
fold_4,87,21,0,-0.05625814361535619,True,-0.21247625070417953,shuffled_temperature_-20_C,-20,-30,10
