target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,selected_for_internal_confirmation
te_zt,te_power_factor,discovery,ridge-primary,60,30,174,60,-27.84828565331251,-16.887728282738863,10.960557370573643,0.9542935736971613,0.8453863224900512,0.060099092503137046,0.044527811401210565,0.33782930497976577,0.75,1.0021673479807314,Thermoelectric ZT,Thermoelectric power factor,thermoelectric,thermoelectric,3,constitutive-calibration,ZT contains power factor,0.13861602050456057,348,0,True
te_zt,te_thermal,discovery,ridge-primary,60,30,174,60,-27.84828565331251,-25.550893218550314,2.2973924347621937,0.9542935736971613,0.9268118314201355,0.018603847061704332,0.009771983579905821,0.05487527962692428,0.7,0.21005972650605478,Thermoelectric ZT,Thermoelectric thermal conductivity,thermoelectric,thermoelectric,3,constitutive-calibration,ZT is inversely related to thermal conductivity,0.38295880651565434,348,0,False
te_zt,te_seebeck,discovery,ridge-primary,60,30,174,60,-27.84828565331251,-32.095967785224666,-4.247682131912154,0.9542935736971613,0.9579940155796272,0.011817775320317553,-0.1335262258078214,0.05490299056474418,0.6,-0.38838246936531007,Thermoelectric ZT,Thermoelectric Seebeck coefficient,thermoelectric,thermoelectric,2,physical-neighbor,Seebeck coefficient contributes to power factor,0.20607269066647219,348,0,False
te_zt,alloy_ys,discovery,ridge-primary,60,30,174,60,-27.84828565331251,-26.863884074445505,0.9844015788669972,0.9542935736971613,0.9416023643419157,0.005168601759827921,-0.0075298372151393,0.06441887525734953,0.55,0.09000775109209166,Thermoelectric ZT,Alloy yield strength,thermoelectric,multi-principal-element alloy,0,distant-control,mechanical alloy endpoint,0.31508915319646275,0,0,False
te_zt,catalysis_h2,discovery,ridge-primary,60,30,174,60,-27.84828565331251,-27.963544903154336,-0.11525924984183249,0.9542935736971613,0.9561146951847286,-0.0003288009415238475,-0.012972613937074454,0.003121236278243206,0.5166666666666667,-0.010538611572286392,Thermoelectric ZT,CO2R H2 Faradaic efficiency,thermoelectric,CO2 electroreduction,0,distant-control,electrocatalytic selectivity endpoint,0.23641691307097645,0,0,False
alloy_ys,alloy_uts,discovery,ridge-primary,60,30,79,30,-1.107070139524972,-0.8402041785790142,0.26686596094595777,0.3316560453103115,0.31056045063485554,0.06177181288312739,0.04137920932334552,0.0921384036968643,1.0,0.017079067427527666,Alloy yield strength,Alloy ultimate tensile strength,multi-principal-element alloy,multi-principal-element alloy,3,physical-neighbor,paired tensile strength endpoints,0.41769718981241183,76,0,True
alloy_ys,alloy_hardness,discovery,ridge-primary,60,30,79,30,-1.107070139524972,-0.8661686140261814,0.2409015254987908,0.3316560453103115,0.30145373743853576,0.10154367467371513,-0.009823328469953017,0.13317523568740777,0.95,0.015417378008060433,Alloy yield strength,Alloy hardness,multi-principal-element alloy,multi-principal-element alloy,2,physical-neighbor,hardness-strength relation,0.5743482399423776,80,0,True
alloy_ys,alloy_elongation,discovery,ridge-primary,60,30,79,30,-1.107070139524972,-1.0628384017661214,0.044231737758850635,0.3316560453103115,0.32430701477084195,0.022982177917822255,-0.029255453346553127,0.05484153197243535,0.7,0.0028307725306829694,Alloy yield strength,Alloy elongation,multi-principal-element alloy,multi-principal-element alloy,1,same-domain,strength-ductility relation is non-universal,-0.0347579883564576,95,0,False
alloy_ys,te_thermal,discovery,ridge-primary,60,30,79,30,-1.107070139524972,-1.1414805091019895,-0.034410369577017694,0.3316560453103115,0.33310718340471124,-0.0022561833704186213,-0.02515097491814209,0.0024236217657284476,0.48333333333333334,-0.0022022179978623954,Alloy yield strength,Thermoelectric thermal conductivity,multi-principal-element alloy,thermoelectric,0,distant-control,unrelated transport endpoint,0.5713319598750842,0,0,False
alloy_ys,catalysis_h2,discovery,ridge-primary,60,30,79,30,-1.107070139524972,-1.1157995662084328,-0.00872942668346042,0.3316560453103115,0.3323217990179952,-0.002053834560420509,-0.008007751529717158,0.004080829753198675,0.38333333333333336,-0.0005586717256933061,Alloy yield strength,CO2R H2 Faradaic efficiency,multi-principal-element alloy,CO2 electroreduction,0,distant-control,unrelated selectivity endpoint,0.23641691307097645,0,0,False
