target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,discovery_selected,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,permutation_p_raw,permutation_p_holm,learners_positive_of_three,edge_status
te_zt,te_power_factor,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-41.52261633038042,13.62949337589942,1.2172061669820642,1.080347125781283,0.07913306641829448,0.051750384022986345,0.19510777927839415,0.91,0.937909918566692,Thermoelectric ZT,Thermoelectric power factor,thermoelectric,thermoelectric,3,constitutive-calibration,ZT contains power factor,0.13861602050456057,348,0,True,120.0,0.75,right-censored-at-largest-learning-curve-budget,0.02,0.06,3,suggestive-not-confirmed
te_zt,te_thermal,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-58.19028488540252,-3.0381751791226552,1.2172061669820642,1.238009590446423,-0.009715650921482761,-0.07456929604332982,0.022012555212269882,0.5,-0.20907120728940767,Thermoelectric ZT,Thermoelectric thermal conductivity,thermoelectric,thermoelectric,3,constitutive-calibration,ZT is inversely related to thermal conductivity,0.38295880651565434,348,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,0,unresolved
te_zt,te_seebeck,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-58.99487931493365,-3.842769608653799,1.2172061669820642,1.2395968900754835,-0.004054917145255636,-0.07663467962498202,0.005683250027473021,0.48,-0.26443915641766863,Thermoelectric ZT,Thermoelectric Seebeck coefficient,thermoelectric,thermoelectric,2,physical-neighbor,Seebeck coefficient contributes to power factor,0.20607269066647219,348,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,0,unresolved
te_zt,alloy_ys,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-54.481364090500705,0.6707456157791504,1.2172061669820642,1.2108741102565561,0.004437826926092003,-0.039175611114750444,0.03829351781243155,0.58,0.046157179032553126,Thermoelectric ZT,Alloy yield strength,thermoelectric,multi-principal-element alloy,0,distant-control,mechanical alloy endpoint,0.31508915319646275,0,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,1,unresolved
te_zt,catalysis_h2,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-54.004107720938244,1.1480019853415977,1.2172061669820642,1.208841261238829,-0.00010400215778474744,-0.0033421456823323242,0.024672418938820627,0.46,0.07899944766032674,Thermoelectric ZT,CO2R H2 Faradaic efficiency,thermoelectric,CO2 electroreduction,0,distant-control,electrocatalytic selectivity endpoint,0.23641691307097645,0,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,0,unresolved
alloy_ys,alloy_uts,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,0.02491301502943077,0.17350162661118063,0.33519838807130337,0.31182982159172223,0.06461073685225262,0.036906441623211106,0.13032652885632978,1.0,0.017809094882319222,Alloy yield strength,Alloy ultimate tensile strength,multi-principal-element alloy,multi-principal-element alloy,3,physical-neighbor,paired tensile strength endpoints,0.41769718981241183,76,0,True,112.98229872193228,0.7344716797289206,interpolated,0.01,0.05,3,suggestive-not-confirmed
alloy_ys,alloy_hardness,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.0724509222865564,0.07613768929519348,0.33519838807130337,0.32350863817860975,0.03442176016626954,0.003399575301216616,0.07266767650539727,0.94,0.007815162078090063,Alloy yield strength,Alloy hardness,multi-principal-element alloy,multi-principal-element alloy,2,physical-neighbor,hardness-strength relation,0.5743482399423776,80,0,True,42.65436225939737,0.2966721711238205,interpolated,0.11,0.22,3,suggestive-not-confirmed
alloy_ys,alloy_elongation,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.11573608544141284,0.03285252614033706,0.33519838807130337,0.33112559705158146,0.01049754177424393,-0.005121850403402573,0.03691344469539997,0.76,0.0033721514119766315,Alloy yield strength,Alloy elongation,multi-principal-element alloy,multi-principal-element alloy,1,same-domain,strength-ductility relation is non-universal,-0.0347579883564576,95,0,False,33.39879530607881,0.1017640089988577,interpolated,,,1,unresolved
alloy_ys,te_thermal,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.15740834720389085,-0.008819735622140968,0.33519838807130337,0.3358361953040449,-0.0011913225909526317,-0.012510118865393943,0.0007245556642775935,0.38,-0.0009053028008992585,Alloy yield strength,Thermoelectric thermal conductivity,multi-principal-element alloy,thermoelectric,0,distant-control,unrelated transport endpoint,0.5713319598750842,0,0,False,14.559337878460756,-1.0605332639736542,interpolated,,,0,practically-equivalent
alloy_ys,catalysis_h2,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.1467021477497983,0.0018864638319516392,0.33519838807130337,0.3349674744204921,0.0005828529714697068,-0.0020563225551394437,0.0039360810584046,0.56,0.00019363630204217053,Alloy yield strength,CO2R H2 Faradaic efficiency,multi-principal-element alloy,CO2 electroreduction,0,distant-control,unrelated selectivity endpoint,0.23641691307097645,0,0,False,15.920884159058046,-0.8843174600282337,interpolated,,,1,practically-equivalent
