target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,discovery_selected,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,permutation_p_raw,permutation_p_holm,learners_positive_of_three,edge_status,permutation_p_raw_refined,permutation_p_holm_refined,permutations,amendment,edge_status_refined
te_zt,te_power_factor,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-41.52261633038042,13.62949337589942,1.2172061669820642,1.080347125781283,0.0791330664182944,0.0517503840229863,0.1951077792783941,0.91,0.937909918566692,Thermoelectric ZT,Thermoelectric power factor,thermoelectric,thermoelectric,3,constitutive-calibration,ZT contains power factor,0.1386160205045605,348,0,True,120.0,0.75,right-censored-at-largest-learning-curve-budget,0.02,0.06,3,suggestive-not-confirmed,0.013,0.039,999.0,uniform-post-discovery-resolution-refinement,internally-confirmed-awaits-external-replication
te_zt,te_thermal,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-58.19028488540252,-3.0381751791226552,1.2172061669820642,1.238009590446423,-0.0097156509214827,-0.0745692960433298,0.0220125552122698,0.5,-0.2090712072894076,Thermoelectric ZT,Thermoelectric thermal conductivity,thermoelectric,thermoelectric,3,constitutive-calibration,ZT is inversely related to thermal conductivity,0.3829588065156543,348,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,0,unresolved,,,,,unresolved
te_zt,te_seebeck,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-58.99487931493365,-3.842769608653799,1.2172061669820642,1.2395968900754837,-0.0040549171452556,-0.076634679624982,0.005683250027473,0.48,-0.2644391564176686,Thermoelectric ZT,Thermoelectric Seebeck coefficient,thermoelectric,thermoelectric,2,physical-neighbor,Seebeck coefficient contributes to power factor,0.2060726906664721,348,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,0,unresolved,,,,,unresolved
te_zt,alloy_ys,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-54.48136409050071,0.6707456157791504,1.2172061669820642,1.210874110256556,0.004437826926092,-0.0391756111147504,0.0382935178124315,0.58,0.0461571790325531,Thermoelectric ZT,Alloy yield strength,thermoelectric,multi-principal-element alloy,0,distant-control,mechanical alloy endpoint,0.3150891531964627,0,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,1,unresolved,,,,,unresolved
te_zt,catalysis_h2,confirmation,ridge-primary,100,30,174,60,-55.15210970627985,-54.00410772093824,1.1480019853415977,1.2172061669820642,1.208841261238829,-0.0001040021577847,-0.0033421456823323,0.0246724189388206,0.46,0.0789994476603267,Thermoelectric ZT,CO2R H2 Faradaic efficiency,thermoelectric,CO2 electroreduction,0,distant-control,electrocatalytic selectivity endpoint,0.2364169130709764,0,0,False,120.0,0.75,right-censored-at-largest-learning-curve-budget,,,0,unresolved,,,,,unresolved
alloy_ys,alloy_uts,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,0.0249130150294307,0.1735016266111806,0.3351983880713033,0.3118298215917222,0.0646107368522526,0.0369064416232111,0.1303265288563297,1.0,0.0178090948823192,Alloy yield strength,Alloy ultimate tensile strength,multi-principal-element alloy,multi-principal-element alloy,3,physical-neighbor,paired tensile strength endpoints,0.4176971898124118,76,0,True,112.98229872193228,0.7344716797289206,interpolated,0.01,0.05,3,suggestive-not-confirmed,0.001,0.005,999.0,uniform-post-discovery-resolution-refinement,internally-confirmed-awaits-external-replication
alloy_ys,alloy_hardness,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.0724509222865564,0.0761376892951934,0.3351983880713033,0.3235086381786097,0.0344217601662695,0.0033995753012166,0.0726676765053972,0.94,0.00781516207809,Alloy yield strength,Alloy hardness,multi-principal-element alloy,multi-principal-element alloy,2,physical-neighbor,hardness-strength relation,0.5743482399423776,80,0,True,42.65436225939737,0.2966721711238205,interpolated,0.11,0.22,3,suggestive-not-confirmed,0.08,0.16,999.0,uniform-post-discovery-resolution-refinement,suggestive-not-confirmed
alloy_ys,alloy_elongation,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.1157360854414128,0.032852526140337,0.3351983880713033,0.3311255970515814,0.0104975417742439,-0.0051218504034025,0.0369134446953999,0.76,0.0033721514119766,Alloy yield strength,Alloy elongation,multi-principal-element alloy,multi-principal-element alloy,1,same-domain,strength-ductility relation is non-universal,-0.0347579883564576,95,0,False,33.39879530607881,0.1017640089988577,interpolated,,,1,unresolved,,,,,unresolved
alloy_ys,te_thermal,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.1574083472038908,-0.0088197356221409,0.3351983880713033,0.3358361953040449,-0.0011913225909526,-0.0125101188653939,0.0007245556642775,0.38,-0.0009053028008992,Alloy yield strength,Thermoelectric thermal conductivity,multi-principal-element alloy,thermoelectric,0,distant-control,unrelated transport endpoint,0.5713319598750842,0,0,False,14.559337878460756,-1.0605332639736542,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
alloy_ys,catalysis_h2,confirmation,ridge-primary,100,30,79,30,-0.1485886115817499,-0.1467021477497983,0.0018864638319516,0.3351983880713033,0.3349674744204921,0.0005828529714697,-0.0020563225551394,0.0039360810584046,0.56,0.0001936363020421,Alloy yield strength,CO2R H2 Faradaic efficiency,multi-principal-element alloy,CO2 electroreduction,0,distant-control,unrelated selectivity endpoint,0.2364169130709764,0,0,False,15.920884159058046,-0.8843174600282337,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
