absolute_temperature_distance_C,amendment,aug_r2_fold_0,aug_r2_fold_1,aug_r2_fold_2,aug_r2_fold_3,aug_r2_fold_4,aug_r2_mean,aug_rmse_mean,base_r2_fold_0,base_r2_fold_1,base_r2_fold_2,base_r2_fold_3,base_r2_fold_4,base_r2_mean,base_rmse_mean,bootstrap_articles,delta_r2_mean,discovery_selected,edge_status,edge_status_refined,effect_fold_0,effect_fold_1,effect_fold_2,effect_fold_3,effect_fold_4,effect_year1_to_year2,effect_years1_2_to_year3,evidence_set,fraction_repeats_positive,independent_formulations,learner,learners_positive_of_three,mse_improvement_mean,neighborhood,permutation_p_holm,permutation_p_holm_refined,permutation_p_raw,permutation_p_raw_refined,permutations,pooled_aug_r2,pooled_base_r2,primary_permutation_p,primary_positive_learners_of_three,rationale,raw_source_birdshot_key_overlap,raw_source_target_evaluation_key_overlap,raw_source_target_key_overlap,relation,relative_rmse_ci_hi,relative_rmse_ci_lo,relative_rmse_improvement_mean,repeats,source,source_domain,source_group_cv_r2_mean,source_label,source_model_evaluation_key_overlap_after_exclusion,source_pooled_article_oof_r2,source_pooled_oof_r2,source_temperature_C,source_test_articles_seen_during_fit,source_test_exact_chemistry_seen_during_fit,source_test_formulations_seen_during_fit,stage,synthesis_status,target,target_articles,target_domain,target_equivalence_status,target_equivalent_n,target_label,target_sample_fraction_saved,target_temperature_C,target_units,test_groups,test_n,test_n_total_per_repeat,test_n_year2,test_n_year3,train_n
,,,,,,,-58.99487931493365,1.2395968900754837,,,,,,-55.15210970627985,1.2172061669820642,,-3.842769608653799,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.48,,ridge-primary,0.0,-0.2644391564176686,2.0,,,,,,,,,,Seebeck coefficient contributes to power factor,,348.0,,physical-neighbor,0.005683250027473,-0.076634679624982,-0.0040549171452556,100.0,te_seebeck,thermoelectric,0.2060726906664721,Thermoelectric Seebeck coefficient,0.0,,,,,,,confirmation,unresolved,te_zt,,thermoelectric,right-censored-at-largest-learning-curve-budget,120.0,Thermoelectric ZT,0.75,,,60.0,174.0,,,,30
,,,,,,,-54.48136409050071,1.210874110256556,,,,,,-55.15210970627985,1.2172061669820642,,0.6707456157791504,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.58,,ridge-primary,1.0,0.0461571790325531,0.0,,,,,,,,,,mechanical alloy endpoint,,0.0,,distant-control,0.0382935178124315,-0.0391756111147504,0.004437826926092,100.0,alloy_ys,multi-principal-element alloy,0.3150891531964627,Alloy yield strength,0.0,,,,,,,confirmation,unresolved,te_zt,,thermoelectric,right-censored-at-largest-learning-curve-budget,120.0,Thermoelectric ZT,0.75,,,60.0,174.0,,,,30
,,,,,,,-54.00410772093824,1.208841261238829,,,,,,-55.15210970627985,1.2172061669820642,,1.1480019853415977,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.46,,ridge-primary,0.0,0.0789994476603267,0.0,,,,,,,,,,electrocatalytic selectivity endpoint,,0.0,,distant-control,0.0246724189388206,-0.0033421456823323,-0.0001040021577847,100.0,catalysis_h2,CO2 electroreduction,0.2364169130709764,CO2R H2 Faradaic efficiency,0.0,,,,,,,confirmation,unresolved,te_zt,,thermoelectric,right-censored-at-largest-learning-curve-budget,120.0,Thermoelectric ZT,0.75,,,60.0,174.0,,,,30
,uniform-post-discovery-resolution-refinement,,,,,,0.0249130150294307,0.3118298215917222,,,,,,-0.1485886115817499,0.3351983880713033,,0.1735016266111806,1.0,suggestive-not-confirmed,internally-confirmed-awaits-external-replication,,,,,,,,internal-confirmation,1.0,,ridge-primary,3.0,0.0178090948823192,3.0,0.05,0.005,0.01,0.001,999.0,,,,,paired tensile strength endpoints,,76.0,,physical-neighbor,0.1303265288563297,0.0369064416232111,0.0646107368522526,100.0,alloy_uts,multi-principal-element alloy,0.4176971898124118,Alloy ultimate tensile strength,0.0,,,,,,,confirmation,internally-confirmed-awaits-external-replication,alloy_ys,,multi-principal-element alloy,interpolated,112.98229872193228,Alloy yield strength,0.7344716797289206,,,30.0,79.0,,,,30
,uniform-post-discovery-resolution-refinement,,,,,,-0.0724509222865564,0.3235086381786097,,,,,,-0.1485886115817499,0.3351983880713033,,0.0761376892951934,1.0,suggestive-not-confirmed,suggestive-not-confirmed,,,,,,,,internal-confirmation,0.94,,ridge-primary,3.0,0.00781516207809,2.0,0.22,0.16,0.11,0.08,999.0,,,,,hardness-strength relation,,80.0,,physical-neighbor,0.0726676765053972,0.0033995753012166,0.0344217601662695,100.0,alloy_hardness,multi-principal-element alloy,0.5743482399423776,Alloy hardness,0.0,,,,,,,confirmation,suggestive-not-confirmed,alloy_ys,,multi-principal-element alloy,interpolated,42.65436225939737,Alloy yield strength,0.2966721711238205,,,30.0,79.0,,,,30
,,,,,,,-0.1157360854414128,0.3311255970515814,,,,,,-0.1485886115817499,0.3351983880713033,,0.032852526140337,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.76,,ridge-primary,1.0,0.0033721514119766,1.0,,,,,,,,,,strength-ductility relation is non-universal,,95.0,,same-domain,0.0369134446953999,-0.0051218504034025,0.0104975417742439,100.0,alloy_elongation,multi-principal-element alloy,-0.0347579883564576,Alloy elongation,0.0,,,,,,,confirmation,unresolved,alloy_ys,,multi-principal-element alloy,interpolated,33.39879530607881,Alloy yield strength,0.1017640089988577,,,30.0,79.0,,,,30
,,,,,,,-0.1574083472038908,0.3358361953040449,,,,,,-0.1485886115817499,0.3351983880713033,,-0.0088197356221409,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.38,,ridge-primary,0.0,-0.0009053028008992,0.0,,,,,,,,,,unrelated transport endpoint,,0.0,,distant-control,0.0007245556642775,-0.0125101188653939,-0.0011913225909526,100.0,te_thermal,thermoelectric,0.5713319598750842,Thermoelectric thermal conductivity,0.0,,,,,,,confirmation,practically-equivalent,alloy_ys,,multi-principal-element alloy,interpolated,14.559337878460756,Alloy yield strength,-1.0605332639736542,,,30.0,79.0,,,,30
,,,,,,,-0.1467021477497983,0.3349674744204921,,,,,,-0.1485886115817499,0.3351983880713033,,0.0018864638319516,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.56,,ridge-primary,1.0,0.0001936363020421,0.0,,,,,,,,,,unrelated selectivity endpoint,,0.0,,distant-control,0.0039360810584046,-0.0020563225551394,0.0005828529714697,100.0,catalysis_h2,CO2 electroreduction,0.2364169130709764,CO2R H2 Faradaic efficiency,0.0,,,,,,,confirmation,practically-equivalent,alloy_ys,,multi-principal-element alloy,interpolated,15.920884159058046,Alloy yield strength,-0.8843174600282337,,,30.0,79.0,,,,30
,,,,,,,0.2100195509275165,24.860221267805205,,,,,,0.2382294362964,24.33994758346764,,-0.0282098853688834,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.15,,ridge-primary,0.0,-22.47435540307457,2.0,,,,,,,,,,operating potential and selectivity,,86.0,,same-domain,0.0438703964582253,-0.0480134324106283,-0.024166843417511,100.0,catalysis_voltage,CO2 electroreduction,-0.8244101594523467,CO2R cell voltage,0.0,,,,,,,confirmation,unresolved,catalysis_h2,,CO2 electroreduction,interpolated,27.96973760577623,CO2R H2 Faradaic efficiency,-0.0725878241276201,,,9.0,43.0,,,,30
,,,,,,,0.2585698209358701,23.97720749252808,,,,,,0.2382294362964,24.33994758346764,,0.0203403846394701,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.79,,ridge-primary,1.0,16.20485257011818,0.0,,,,,,,,,,unrelated thermoelectric endpoint,,0.0,,distant-control,0.0252726128735928,-0.0029887972821149,0.0160446863570916,100.0,te_zt,thermoelectric,0.2749497749396796,Thermoelectric ZT,0.0,,,,,,,confirmation,unresolved,catalysis_h2,,CO2 electroreduction,interpolated,37.18752448354669,CO2R H2 Faradaic efficiency,0.1932778420549813,,,9.0,43.0,,,,30
