evidence_set,target,near_edges_n,distant_edges_n,near_mean_effect,distant_mean_effect,near_minus_distant
independent-birdshot,birdshot_hardness,2,2,0.00852077331274145,-0.02609286509364695,0.0346136384063884
independent-birdshot,birdshot_uts,2,2,-0.00437387075264955,-0.18461795688372293,0.18024408613107337
independent-birdshot,birdshot_ys,2,2,0.017020293915264648,-0.0166390709766244,0.033659364891889046
internal-confirmation,alloy_ys,2,2,0.04951624850926105,-0.00030423480974145007,0.0498204833190025
internal-confirmation,catalysis_h2,1,3,-0.024166843417511,-0.0008303344638436344,-0.023336508953667363
internal-confirmation,electrolyte_conductivity,1,2,0.0014424800835108,-0.0021299109349128503,0.00357239101842365
internal-confirmation,hydration,1,2,-0.0010346337246547,0.00548568935283465,-0.00652032307748935
internal-confirmation,photo_z_pipi,3,2,0.0142820722572177,0.0019275188225456497,0.01235455343467205
internal-confirmation,polymer_tensile,3,1,0.006975382551528533,-0.0044905357983814,0.011465918349909933
internal-confirmation,polymer_tm,3,1,-0.0010030661809747666,-0.0011089198992222,0.00010585371824743347
internal-confirmation,solubility,3,2,0.00038870946766979996,-0.00031706460333185,0.00070577407100165
internal-confirmation,te_zt,1,2,-0.0040549171452556,0.00216691238415365,-0.00622182952940925
