scope,source,candidate_index,material_key,material_raw,is_true_top5_hit,target_value,selection_frequency_top20,median_selected_step,gate_frequency,mean_source_rank,mean_qualification,mean_target_ood,mean_source_support,mean_local_concordance,mean_source_score
external_candidate,estm_transport_neighbor,7,Al:0.005575489925|Li:0.06149599779|O:0.6624344466|P:0.1656086116|Ti:0.104885454,Li1.114Al0.101Ti1.9(PO4)3,False,-2.7619538968712045,0.01,14.5,0.0,0.11805555555555555,0.14874486711822557,0.24479166666666669,0.4444444444444444,0.19050038921655346,0.0
external_candidate,estm_transport_neighbor,13,Al:0.01098901099|Ge:0.02197802198|Li:0.06593406593|O:0.6593406593|P:0.1648351648|Ti:0.07692307692,Li1.2(Al0.2Ge0.4Ti1.4)(PO4)3,False,-3.154901959985743,0.11,7.0,0.0,0.2708333333333333,0.14874486711822557,0.31993055555555555,0.4097222222222222,0.19305583990314326,0.0
external_candidate,estm_transport_neighbor,14,Al:0.01098901099|Ge:0.03296703297|Li:0.06593406593|O:0.6593406593|P:0.1648351648|Ti:0.06593406593,Li1.2(Al0.2Ge0.6Ti1.2)(PO4)3,False,-3.154901959985743,0.11,18.0,0.0,0.24305555555555552,0.14874486711822557,0.3371527777777778,0.42361111111111116,0.1964834552333987,0.0
external_candidate,estm_transport_neighbor,17,Al:0.0112501372|Li:0.06706179344|O:0.6585446164|P:0.1646361541|Ti:0.09850729887,Li1.222Al0.205Ti1.795(PO4)3,False,-2.7619538968712045,0.0,,0.0,0.13194444444444445,0.14874486711822557,0.2259722222222222,0.4652777777777778,0.18658430530046957,0.0
external_candidate,estm_transport_neighbor,18,Al:0.01539641663|Li:0.06859898088|O:0.6574982193|P:0.1643745548|Ti:0.09413182839,Li1.252Al0.281Ti1.718(PO4)3,False,-2.4989407377822483,0.0,,0.0,0.125,0.14874486711822557,0.22458333333333333,0.47916666666666663,0.18766822138438563,0.0
external_candidate,estm_transport_neighbor,20,Al:0.02173913043|Ge:0.01086956522|Li:0.07608695652|O:0.652173913|P:0.1630434783|Ti:0.07608695652,Li1.4(Al0.4Ge0.2Ti1.4)(PO4)3,False,-2.6989700043360187,0.08,17.0,0.0,0.20833333333333337,0.14874486711822557,0.3111111111111111,0.39583333333333337,0.19012770974452525,0.0
external_candidate,estm_transport_neighbor,21,Al:0.02173913043|Ge:0.02173913043|Li:0.07608695652|O:0.652173913|P:0.1630434783|Ti:0.0652173913,Li1.4(Al0.4Ge0.4Ti1.2)(PO4)3,False,-3.0,0.05,14.0,0.0,0.2569444444444444,0.14874486711822557,0.316875,0.41666666666666663,0.1902372627717634,0.0
external_candidate,estm_transport_neighbor,22,Al:0.02173913043|Ge:0.03260869565|Li:0.07608695652|O:0.652173913|P:0.1630434783|Ti:0.05434782609,Li1.4(Al0.4Ge0.6Ti)(PO4)3,False,-3.0,0.1,14.0,0.0,0.22916666666666663,0.14874486711822557,0.33625,0.4305555555555556,0.19211258070896178,0.0
external_candidate,estm_transport_neighbor,25,Al:0.02222707662|Li:0.07165092021|O:0.6553437824|P:0.1638359456|Ti:0.08694227514,Li1.312Al0.407Ti1.592(PO4)3,False,-2.2494916051486538,0.01,2.0,0.0,0.1388888888888889,0.14874486711822557,0.2284027777777778,0.48611111111111116,0.18605982977599403,0.0
external_candidate,estm_transport_neighbor,26,Al:0.02285435101|Li:0.0771402204|O:0.6514304327|P:0.1628576082|Ti:0.08571738776,Li1.421Al0.421Ti1.579(PO4)3,False,-2.2494916051486538,0.0,,0.0,0.14583333333333334,0.14874486711822557,0.221875,0.4930555555555556,0.1873549457040936,0.0
external_candidate,estm_transport_neighbor,29,Al:0.02775062452|Li:0.07678939937|O:0.651678071|P:0.1629195178|Ti:0.08086238731,Li1.414Al0.511Ti1.489(PO4)3,False,-2.3279021420642825,0.01,5.0,0.0,0.1527777777777778,0.14874486711822557,0.2333333333333333,0.4722222222222222,0.18899830234745024,0.0
external_candidate,estm_transport_neighbor,30,Al:0.02|La:0.11|Li:0.09|O:0.6|Ti:0.18,(La0.55Li0.45)(Ti0.9Al0.1)O3,False,-2.8323353685664605,0.07,12.0,0.03,0.5069444444444444,0.14874486711822557,0.2816666666666667,0.9027777777777779,0.193900317502088,0.0003239578126163278
external_candidate,estm_transport_neighbor,31,Al:0.03225806452|Ge:0.01075268817|Li:0.08602150538|O:0.6451612903|P:0.1612903226|Ti:0.06451612903,Li1.6(Al0.6Ge0.2Ti1.2)(PO4)3,False,-4.698970004336019,0.05,23.0,0.0,0.19444444444444448,0.14874486711822557,0.32590277777777776,0.3819444444444444,0.1866177381241375,0.0
external_candidate,estm_transport_neighbor,32,Al:0.03225806452|Ge:0.02150537634|Li:0.08602150538|O:0.6451612903|P:0.1612903226|Ti:0.05376344086,Li1.6(Al0.6Ge0.4Ti)(PO4)3,False,-4.0,0.1,18.0,0.0,0.2152777777777778,0.14874486711822557,0.334375,0.38888888888888884,0.18744165347430958,0.0
external_candidate,estm_transport_neighbor,33,Al:0.03225806452|Ge:0.03225806452|Li:0.08602150538|O:0.6451612903|P:0.1612903226|Ti:0.04301075269,Li1.6(Al0.6Ge0.6Ti0.8)(PO4)3,False,-3.3979400086720375,0.12,6.0,0.0,0.2361111111111111,0.14874486711822557,0.3466666666666666,0.4027777777777778,0.1899228838993375,0.0
external_candidate,estm_transport_neighbor,35,Al:0.04166666667|Li:0.375|O:0.5|Te:0.08333333333,Li3(Li1.5Al0.5Te)O6,False,-12.337242168318426,0.18,22.0,0.6,0.5555555555555556,0.14874486711822557,0.6059027777777778,0.875,0.17197393100260938,0.01052053846537129
external_candidate,estm_transport_neighbor,39,Al:0.04|La:0.12|Li:0.08|O:0.6|Ti:0.16,(La0.6Li0.4)(Ti0.8Al0.2)O3,False,-3.257485391540673,0.02,22.0,0.06,0.5347222222222222,0.14874486711822557,0.31381944444444443,0.8888888888888888,0.1906518175382895,0.0007870756383608749
external_candidate,estm_transport_neighbor,41,Al:0.06|La:0.13|Li:0.07|O:0.6|Ti:0.14,(La0.65Li0.35)(Ti0.7Al0.3)O3,False,-3.80239418751722,0.01,36.0,0.13,0.5208333333333334,0.14874486711822557,0.3688888888888889,0.8680555555555556,0.1893556597065079,0.001888098511964297
external_candidate,estm_transport_neighbor,44,Al:0.08|La:0.14|Li:0.06|O:0.6|Ti:0.12,(La0.7Li0.3)(Ti0.6Al0.4)O3,False,-7.0,0.02,32.5,0.21,0.5138888888888888,0.14874486711822557,0.44319444444444445,0.8611111111111112,0.191700523433433,0.003313137853495728
external_candidate,estm_transport_neighbor,48,Al:0.1428571429|Li:0.1428571429|O:0.5714285714|Si:0.1428571429,LiAlSiO4,False,-13.235077015350111,0.0,39.0,0.0,0.04166666666666666,0.14874486711822557,0.5861111111111111,0.375,0.20090545960856765,0.0
external_candidate,estm_transport_neighbor,58,B:0.07142857143|Li:0.1428571429|Na:0.07142857143|O:0.5714285714|P:0.1428571429,Li2NaBP2O8,False,-17.356547323513812,0.45,21.0,0.0,0.06944444444444445,0.14874486711822557,0.7026388888888888,0.03472222222222221,0.20413552708387947,0.0
external_candidate,estm_transport_neighbor,59,B:0.07142857143|Li:0.2142857143|O:0.5714285714|P:0.1428571429,Li3BP2O8,False,-11.017728766960431,0.0,,0.0,0.04861111111111112,0.14874486711822557,0.2271527777777778,0.04166666666666662,0.19969864495043296,0.0
external_candidate,estm_transport_neighbor,61,B:0.1666666667|Ca:0.08333333333|F:0.08333333333|Li:0.25|O:0.4166666667,Li3CaB2O5F,False,-6.59176003468815,0.0,38.0,0.0,0.5833333333333334,0.14874486711822557,0.7416666666666667,0.02083333333333337,0.20790635747633762,0.0
external_candidate,estm_transport_neighbor,62,B:0.1666666667|Ce:0.05555555556|Cl:0.05555555556|H:0.6666666667|Li:0.05555555556,LiCe(BH4)3Cl,False,-3.987162775294828,0.0,33.0,0.0,0.8958333333333335,0.14874486711822557,0.8130555555555555,0.01388888888888884,0.1868054185383281,0.0
external_candidate,estm_transport_neighbor,63,B:0.1666666667|H:0.6666666667|Li:0.1666666667,Li(BH4),False,-8.0,0.0,39.0,0.0,0.6180555555555556,0.14874486711822557,0.6609722222222223,0.02777777777777779,0.19734630403237818,0.0
external_candidate,estm_transport_neighbor,65,B:0.1818181818|H:0.7272727273|Li:0.04545454545|Y:0.04545454545,LiY(BH4)4,False,-5.8996294548824375,0.0,37.0,0.0,0.7222222222222221,0.14874486711822557,0.7578472222222223,0.00694444444444442,0.1886278752126118,0.0
external_candidate,estm_transport_neighbor,69,B:0.25|Li:0.25|O:0.5,LiBO2,False,-12.684029654543082,0.13,17.0,0.0,0.006944444444444444,0.14874486711822557,0.2877777777777778,0.0,0.20520481056332557,0.0
external_candidate,estm_transport_neighbor,85,Bi:0.25|Li:0.25|O:0.5,LiBiO2,False,-7.42021640338319,0.64,14.0,0.61,0.5694444444444444,0.14874486711822557,0.9674305555555556,0.8333333333333335,0.1720652966951684,0.01589759475446737
external_candidate,estm_transport_neighbor,88,Br:0.02384737679|Cl:0.07949125596|Li:0.4435612083|P:0.07949125596|S:0.373608903,Li5.58PS4.7ClBr0.3,True,-1.9065783148377649,0.0,,0.0,0.8125,0.14874486711822557,0.16923611111111111,0.1875,0.1805482094908839,0.0
