scope,full_policy,comparator,auc20_gain,auc20_gain_ci_low,auc20_gain_ci_high,fraction_seed_full_better,fraction_seed_tied
external_candidate,local_gated_neighbor_portfolio,uniform_random,-11.24,-13.81,-8.65,0.02,0.28
external_candidate,local_gated_neighbor_portfolio,composition_novelty,0.96,0.29,1.81,0.06,0.94
external_candidate,local_gated_neighbor_portfolio,static_neighbor_round_robin,-52.04,-52.74,-51.19,0.0,0.0
external_candidate,local_gated_neighbor_portfolio,static_neighbor_consensus,-68.04,-68.71074999999999,-67.18,0.0,0.0
external_candidate,local_gated_neighbor_portfolio,single_best_local_neighbor,-0.12,-0.5,0.22,0.01,0.96
external_candidate,local_gated_neighbor_portfolio,global_gated_neighbor_portfolio,-0.17,-0.54,0.08,0.02,0.95
external_candidate,local_gated_neighbor_portfolio,local_gated_no_source_support,0.71,0.12,1.39,0.06,0.92
external_candidate,local_gated_neighbor_portfolio,local_gated_no_target_ood,-5.46,-7.59025,-3.51,0.03,0.61
external_candidate,local_gated_neighbor_portfolio,local_gated_no_diversity,0.03,-0.07,0.14,0.02,0.95
external_candidate,local_gated_neighbor_portfolio,local_gated_wrong_source_portfolio,0.96,0.24,1.8002499999999964,0.06,0.94
external_candidate,local_gated_neighbor_portfolio,local_gated_shuffled_obelix,0.73,-0.01,1.6302499999999962,0.06,0.93
hard_ood_40pct,local_gated_neighbor_portfolio,uniform_random,-5.25,-7.44,-3.19,0.4,0.01
hard_ood_40pct,local_gated_neighbor_portfolio,composition_novelty,-13.08,-13.62,-12.5,0.0,0.0
hard_ood_40pct,local_gated_neighbor_portfolio,static_neighbor_round_robin,-35.89,-36.44,-35.29,0.0,0.0
hard_ood_40pct,local_gated_neighbor_portfolio,static_neighbor_consensus,-46.89,-47.43,-46.29,0.0,0.0
hard_ood_40pct,local_gated_neighbor_portfolio,single_best_local_neighbor,-2.61,-3.06025,-2.16,0.0,0.33
hard_ood_40pct,local_gated_neighbor_portfolio,global_gated_neighbor_portfolio,0.89,0.52,1.32,0.28,0.72
hard_ood_40pct,local_gated_neighbor_portfolio,local_gated_no_source_support,-30.33,-32.91,-27.44,0.05,0.0
hard_ood_40pct,local_gated_neighbor_portfolio,local_gated_no_target_ood,4.97,4.46,5.5,0.98,0.02
hard_ood_40pct,local_gated_neighbor_portfolio,local_gated_no_diversity,0.0,0.0,0.0,0.0,1.0
hard_ood_40pct,local_gated_neighbor_portfolio,local_gated_wrong_source_portfolio,-6.0,-7.63,-4.36,0.28,0.07
hard_ood_40pct,local_gated_neighbor_portfolio,local_gated_shuffled_obelix,-9.78,-10.81,-8.72,0.01,0.07
