target,source,programme_cluster,primary_edge_class,relation,neighborhood,is_designated_primary,is_wrong_control,is_shuffled_control,repeats,gain_all_mean,gain_id_mean,gain_id_ci_lo,gain_id_ci_hi,gain_ood_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_mean,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,positive_ood_learners,learners_evaluated,one_sided_sign_flip_p,holm_p,primary_minus_wrong_mean,primary_minus_wrong_ci_lo,primary_minus_wrong_ci_hi,primary_minus_shuffled_mean,primary_minus_shuffled_ci_lo,primary_minus_shuffled_ci_hi,post_exclusion_overlap,interval_method,classification
alloy_ys,alloy_uts,mpea,within-database-neighbor,physical-neighbor,3,True,False,False,100,0.06316073583611163,0.07740148361608873,-0.028201096930771347,0.13477219810137092,0.06647520366821148,0.03529321376931624,0.14023434709382648,-0.010926279947877234,-0.07000142956008366,0.12342770394056718,-0.9471383983835153,-0.6660551279024105,0.93,3,3,0.0001,0.0008,0.06524796818264542,0.05467953678520712,0.07595432408903337,0.06570039459100568,0.05519180578426799,0.07641197187998455,0,hierarchical-repeat-and-group-bootstrap,ood-improvement-not-specific
alloy_ys,alloy_hardness,mpea,real-inherited-edge,physical-neighbor,2,False,False,False,100,0.06769045122965109,0.08082626812458074,0.06934177859573415,0.09192543219556823,0.07195920514188436,0.06107002941423303,0.0837091911845334,-0.008867062982696402,-0.020872419929830518,0.0029663428962321613,-0.9471383983835153,-0.6358058683012742,0.94,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
alloy_ys,alloy_elongation,mpea,real-inherited-edge,same-domain,1,False,False,False,100,0.02605278626849027,0.02768163205917236,0.017844187561684426,0.038437630104509915,0.035212778994274496,0.02429037036345769,0.04661506917905726,0.007531146935102132,-0.005052815491790788,0.01954626006109897,-0.9471383983835153,-0.8210465090531833,0.73,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
alloy_ys,catalysis_h2,mpea,real-inherited-edge,distant-control,0,False,False,False,100,-0.0015706466180294113,-0.0006009352822097454,-0.003709259930157668,0.0021341845369039383,-0.0023303218959292503,-0.003844854264613587,-0.000849048611875678,-0.0017293866137195045,-0.00525561357412705,0.001743069616013435,-0.9471383983835153,-0.9575290433591286,0.38,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
alloy_ys,te_thermal,mpea,real-inherited-edge,distant-control,0,False,True,False,100,-0.0021344152869343033,-0.002750178021572874,-0.006524678609912661,-2.7357650157759643e-05,0.00122723548556608,-0.0018819856613762854,0.0038343210635654527,0.003977413507138955,0.0013881864221007192,0.006540198638162463,-0.9471383983835153,-0.941003693283841,0.57,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
alloy_ys,shuffled::alloy_uts,mpea,shuffled-control,shuffled-control,-1,False,False,True,100,-0.0018960169528274837,-0.0028740358198648345,-0.01339901442218753,0.004544744043082591,0.0007748090772058022,-0.001844472135367737,0.0033477780951403973,0.003648844897070636,-0.0039043624231823336,0.014432928449722694,-0.9471383983835153,-0.9420438231073578,0.53,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
catalysis_h2,catalysis_voltage,ocx,within-database-neighbor,same-domain,2,True,False,False,100,-0.009059020847657341,-0.024965064886268117,-0.06051613876335447,0.05976291968587215,-0.009667265903895682,-0.037801836398357484,0.1189761152993375,0.015297798982372426,-0.07779638418183993,0.14443281688696305,-2.9810926622092224,-3.012751396800111,0.47,0,3,0.8755,1.0,0.02022441985536976,-0.00020426125736313578,0.03982718720410251,-0.00764571197020117,-0.027110204543838383,0.01118388485036448,0,hierarchical-repeat-and-group-bootstrap,unresolved
catalysis_h2,catalysis_co,ocx,real-inherited-edge,closure-calibration,3,False,False,False,100,0.0762013925122995,0.15332164179758842,0.12773371196242056,0.1746031348904258,-0.1327198336270648,-0.1722656634428063,-0.09557386786744261,-0.28604147542465325,-0.3239014643167576,-0.2525882944308733,-2.9810926622092224,-3.699462973305466,0.26,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
catalysis_h2,alloy_ys,ocx,real-inherited-edge,distant-control,0,False,True,False,100,-0.004817145922233329,0.015706841190046297,0.007082698487401553,0.024376104482276967,-0.02989168575926544,-0.04439531083644674,-0.01535541637306814,-0.045598526949311734,-0.0636564612853069,-0.028506362198263996,-2.9810926622092224,-3.1907938712633337,0.3,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful
catalysis_h2,electrolyte_conductivity,ocx,real-inherited-edge,distant-control,0,False,False,False,100,-0.008002574059749155,-0.012345756443802536,-0.020655799022936523,-0.005205657596931496,-0.006835902865466545,-0.015926652439506486,0.0007543812181686198,0.005509853578335988,-0.004536826813020515,0.01605413984656795,-2.9810926622092224,-3.027364456814075,0.51,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
