target,source,programme_cluster,primary_edge_class,relation,neighborhood,is_designated_primary,is_wrong_control,is_shuffled_control,repeats,gain_all_mean,gain_id_mean,gain_id_ci_lo,gain_id_ci_hi,gain_ood_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_mean,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,positive_ood_learners,learners_evaluated,one_sided_sign_flip_p,holm_p,primary_minus_wrong_mean,primary_minus_wrong_ci_lo,primary_minus_wrong_ci_hi,primary_minus_shuffled_mean,primary_minus_shuffled_ci_lo,primary_minus_shuffled_ci_hi,post_exclusion_overlap,interval_method,classification
alloy_ys,alloy_uts,mpea,within-database-neighbor,physical-neighbor,3,True,False,False,3,0.0826754438207057,0.09313864616239309,0.020472118863638117,0.16459036567509017,0.09471966564560741,0.020895983988549242,0.17930631239777156,0.0015810194832143257,-0.06408362577402334,0.06808835702156033,-1.0843315046117858,-0.6771806939724229,1.0,3,3,0.125,1.0,0.0820851826576011,0.00495975542672002,0.18308008919710586,0.08783651137708869,0.019075048263446102,0.1827322171411299,0,hierarchical-repeat-and-group-bootstrap,ood-improvement-not-specific
alloy_ys,alloy_hardness,mpea,real-inherited-edge,physical-neighbor,2,False,False,False,3,0.03838349090033794,0.06183691698485864,0.03400228723750833,0.09731981666833306,0.027582247395722903,0.005501148644756801,0.05308928337771127,-0.03425466958913574,-0.08619650819800896,0.03927335595142916,-1.0843315046117858,-0.9701796863684328,0.6666666666666666,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
alloy_ys,alloy_elongation,mpea,real-inherited-edge,same-domain,1,False,False,False,3,0.022074832681592868,0.01387390492550987,0.008005458848980853,0.017844252684019683,0.03223156889243162,0.006366756840410575,0.049119424905049336,0.01835766396692175,-0.011477495843609109,0.048459801745481736,-1.0843315046117858,-0.9491356931293152,1.0,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
alloy_ys,catalysis_h2,mpea,real-inherited-edge,distant-control,0,False,False,False,3,-0.000451641462897444,-0.007358870154704661,-0.028133219736054833,0.003839748508833708,0.002260924321468957,-0.0020290039338754103,0.010457402087549644,0.009619794476173617,-0.005350898393963186,0.03859062182360448,-1.0843315046117858,-1.0778798263408016,0.3333333333333333,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
alloy_ys,te_thermal,mpea,real-inherited-edge,distant-control,0,False,True,False,3,0.003878831021664844,5.2233445180556826e-05,-0.0016561601584637426,0.002515296912802565,0.012634482988006313,0.0017945950216982426,0.023320539650116098,0.012582249542825755,0.004016448976264368,0.024976699808579843,-1.0843315046117858,-1.0364821310447814,1.0,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
alloy_ys,shuffled::alloy_uts,mpea,shuffled-control,shuffled-control,-1,False,False,True,3,0.001858248194880453,0.001236454549172352,-0.004359704610494477,0.012107114973290143,0.006883154268518726,-0.001326978544521488,0.013936805207493708,0.005646699719346375,0.004081988641632931,0.007726859299113317,-1.0843315046117858,-1.0567698626397717,0.6666666666666666,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement
catalysis_h2,catalysis_voltage,ocx,within-database-neighbor,same-domain,2,True,False,False,3,-0.03562726014829936,-0.0596171195520419,-0.1183043289415781,0.15099486183154562,-0.058092950123413235,-0.14450849254601586,0.33431017598303864,0.0015241694286286522,-0.19668517573429986,0.32959070800003804,-2.43018396219752,-2.7488612762145856,0.3333333333333333,1,3,0.875,1.0,-0.11351974080557,-0.2732018229672817,-0.0010360499320046926,-0.06934850947556383,-0.12629569684646597,-0.002974992937102348,0,hierarchical-repeat-and-group-bootstrap,unresolved
catalysis_h2,catalysis_co,ocx,real-inherited-edge,closure-calibration,3,False,False,False,3,0.13549120841197052,0.27224296756208305,0.1833713512049305,0.31935966457707177,-0.050667580980471916,-0.11563609234314454,0.05751870976225215,-0.32291054854255496,-0.38077073760932434,-0.2850545468353283,-2.43018396219752,-2.643456294627162,0.3333333333333333,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved
catalysis_h2,alloy_ys,ocx,real-inherited-edge,distant-control,0,False,True,False,3,0.021498152285306656,0.02808411752632611,-0.046813131618259646,0.12746645552306432,0.055426790682156744,0.0006503086296902545,0.1643214118109788,0.027342673155830634,-0.12615780391726317,0.21113454342923846,-2.43018396219752,-2.2719615900216046,1.0,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
catalysis_h2,electrolyte_conductivity,ocx,real-inherited-edge,distant-control,0,False,False,False,3,-0.005873997846856462,-0.018181963184400154,-0.07601823617903156,0.016497268209379794,0.02499583023903412,0.009966447670526101,0.052653249494737285,0.04317779342343427,-0.0017281287762279506,0.08358333796824478,-2.43018396219752,-2.313940184678231,1.0,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific
