file_id,archive_name,archive_bytes,archive_sha256,zip_entries,metadata_entries,numeric_csv_entries_present_but_not_opened,numeric_csv_entries_opened,mapping_evidence_entry,archive_internal_serial,archive_testpoint_raw,archive_lab_raw,measurement_start_date,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags,candidate_stages,status,error,elapsed_seconds
47627050,TP_k01_01.zip,9946178,ffcd328738636f2ce0cd9239bdbf8466b48c169f240beac95260bc74a6c52b14,27,13,13,False,TP_k01_01/TP_k01_01_01_ET_T10_meta.txt,S001,,SIE,,S001,TP_k01_01,1,SIE,k,1,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,6.453
47627053,TP_k02_05.zip,7168046,af8a2e3f00f7d9a7e8b8164cc4fad990db0609b841e52586a39c209297fe4d08,13,6,6,False,TP_k02_05/TP_k02_05_01_ET_T10_meta.txt,S014,,SIE,,S014,TP_k02_05,1,SIE,k,2,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,4.374
47627056,TP_k01_02.zip,9795321,412f526d1f4743639bb77fa92a95efdad4b74819050c77ebcb80e80480dbd6ba,27,13,13,False,TP_k01_02/TP_k01_02_01_ET_T10_meta.txt,S002,,SIE,,S002,TP_k01_02,1,SIE,k,1,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.438
47627059,TP_k02_03.zip,9820203,1707ffa296571c88514a1787064f814d8b58c2b7e068cc743121d3b2d95609d6,27,13,13,False,TP_k02_03/TP_k02_03_01_ET_T10_meta.txt,S006,,SIE,,S006,TP_k02_03,1,SIE,k,2,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.851
47627062,TP_k02_04.zip,7142137,34d24d949e47abeccb540962147403d7eca086b9e7b6a9d018f2268a0383923c,13,6,6,False,TP_k02_04/TP_k02_04_01_ET_T10_meta.txt,S013,,SIE,,S013,TP_k02_04,1,SIE,k,2,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.828
47627068,TP_k01_03.zip,9672672,1351eec64b91152838e3d2a5700d4247ba9afc7c6a17acc167bc82b448702fef,27,13,13,False,TP_k01_03/TP_k01_03_01_ET_T10_meta.txt,S003,,SIE,,S003,TP_k01_03,1,SIE,k,1,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,8.917
47627071,TP_k03_04.zip,7231021,b280232b126896d218dc4cc167620d2ecfcccfb04a4c6bdd116181a70dfdb692,13,6,6,False,TP_k03_04/TP_k03_04_01_ET_T10_meta.txt,S016,k02noCU,SIE,05.10.2021,S016,TP_k03_04,1,SIE,k,3,4,FF,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict,,mapped-metadata-only,,5.183
47627074,TP_k03_05.zip,7175429,239651b482cb53eea5c3d88140fc6f64226f708e6ea424f97288874b3ed71160,13,6,6,False,TP_k03_05/TP_k03_05_01_ET_T10_meta.txt,S017,k02noCU,SIE,05.10.2021,S017,TP_k03_05,1,SIE,k,3,5,FF,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict,,mapped-metadata-only,,6.845
47627080,TP_k02_06.zip,7052977,17e3bf02a90819f6219d8f2642f491a6e70b116f94d2036d954fcd831d602899,13,6,6,False,TP_k02_06/TP_k02_06_01_ET_T10_meta.txt,S015,,SIE,,S015,TP_k02_06,1,SIE,k,2,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.138
47627083,TP_k03_01.zip,9840630,8600901070da3054363360806bd1dbe976cb339a969ea137e0e6d4c2d619913d,27,13,13,False,TP_k03_01/TP_k03_01_01_ET_T10_meta.txt,S007,,SIE,,S007,TP_k03_01,1,SIE,k,3,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.341
