archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type
TP_k01_01.zip,ffcd328738636f2ce0cd9239bdbf8466b48c169f240beac95260bc74a6c52b14,328720,TP_k01_01/TP_k01_01_09_AT_T23.csv,TP_k01_01/TP_k01_01_09_AT_T23_meta.txt,1,0.25597189657764136,0.2591461128843649,27.885,,319140,TP_k01_01/TP_k01_01_01_ET_T23.csv,TP_k01_01/TP_k01_01_01_ET_T23_meta.txt,47627050,SIE,exact-archive-serial-plus-internal-serial,,4.834780902900966,4.901686711728445,4.847172442703219,4.914405722718948,98.63504518419361,98.63191433900309,98.63347773323247,4.840976672802093,4.9080462172236965,FF,TP_k01_01,S001,1,extracted-stage1,1,k
TP_k02_05.zip,af8a2e3f00f7d9a7e8b8164cc4fad990db0609b841e52586a39c209297fe4d08,319946,TP_k02_05/TP_k02_05_02_AT_T23.csv,TP_k02_05/TP_k02_05_02_AT_T23_meta.txt,5,0.9221091770692602,0.9622835616185198,29.151,,319110,TP_k02_05/TP_k02_05_01_ET_T23.csv,TP_k02_05/TP_k02_05_01_ET_T23_meta.txt,47627053,SIE,exact-archive-serial-plus-internal-serial,,4.771598924078171,4.821954769583252,4.815802076311684,4.868579981052401,98.95569643616892,98.91594869661958,98.9357269449033,4.7937005001949275,4.845267375317826,FF,TP_k02_05,S014,1,extracted-stage1,2,k
TP_k01_02.zip,412f526d1f4743639bb77fa92a95efdad4b74819050c77ebcb80e80480dbd6ba,328680,TP_k01_02/TP_k01_02_09_AT_T23.csv,TP_k01_02/TP_k01_02_09_AT_T23_meta.txt,2,0.8293813630054047,0.652289022085655,29.945,,319373,TP_k01_02/TP_k01_02_01_ET_T23.csv,TP_k01_02/TP_k01_02_01_ET_T23_meta.txt,47627056,SIE,exact-archive-serial-plus-internal-serial,,4.781908064801083,4.84952343342388,4.821733471336368,4.881259848980917,98.60573168578219,98.7805120094769,98.6934068658456,4.801820768068726,4.8653916412023985,FF,TP_k01_02,S002,1,extracted-stage1,1,k
TP_k02_03.zip,1707ffa296571c88514a1787064f814d8b58c2b7e068cc743121d3b2d95609d6,328566,TP_k02_03/TP_k02_03_09_AT_T23.csv,TP_k02_03/TP_k02_03_09_AT_T23_meta.txt,3,0.18033852352975122,0.010518607864656792,29.603,,319647,TP_k02_03/TP_k02_03_01_ET_T23.csv,TP_k02_03/TP_k02_03_01_ET_T23_meta.txt,47627059,SIE,exact-archive-serial-plus-internal-serial,,4.781881952376959,4.879033000749958,4.790513310518728,4.878519821390684,98.00880526206595,98.1960407235392,98.10241806916157,4.786197631447843,4.878776411070321,FF,TP_k02_03,S006,1,extracted-stage1,2,k
TP_k02_04.zip,34d24d949e47abeccb540962147403d7eca086b9e7b6a9d018f2268a0383923c,320060,TP_k02_04/TP_k02_04_02_AT_T23.csv,TP_k02_04/TP_k02_04_02_AT_T23_meta.txt,4,0.3603418440504848,0.49160014007443037,29.364,,319299,TP_k02_04/TP_k02_04_01_ET_T23.csv,TP_k02_04/TP_k02_04_01_ET_T23_meta.txt,47627062,SIE,exact-archive-serial-plus-internal-serial,,4.8218233238588555,4.860037667107522,4.839229732227354,4.883988490226694,99.21370273511872,99.08356135382164,99.148472100667,4.830526528043105,4.872013078667108,FF,TP_k02_04,S013,1,extracted-stage1,2,k
TP_k01_03.zip,1351eec64b91152838e3d2a5700d4247ba9afc7c6a17acc167bc82b448702fef,328858,TP_k01_03/TP_k01_03_09_AT_T23.csv,TP_k01_03/TP_k01_03_09_AT_T23_meta.txt,3,0.5142322308709595,0.13901652402244677,29.554,,319573,TP_k01_03/TP_k01_03_01_ET_T23.csv,TP_k01_03/TP_k01_03_01_ET_T23_meta.txt,47627068,SIE,exact-archive-serial-plus-internal-serial,,4.82680352701493,4.900671586002438,4.851688489721095,4.907489068008309,98.49269518083004,98.86295053307454,98.67795153598247,4.839246008368013,4.904080327005373,FF,TP_k01_03,S003,1,extracted-stage1,1,k
TP_k03_04.zip,b280232b126896d218dc4cc167620d2ecfcccfb04a4c6bdd116181a70dfdb692,320323,TP_k03_04/TP_k03_04_02_AT_T23.csv,TP_k03_04/TP_k03_04_02_AT_T23_meta.txt,4,0.2253700043963518,0.24339233441841276,29.599,,321091,TP_k03_04/TP_k03_04_01_ET_T23.csv,TP_k03_04/TP_k03_04_01_ET_T23_meta.txt,47627071,SIE,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict,4.7979988973701095,4.8961592086371235,4.808824346353474,4.908090604883794,97.995156875335,97.97749743186189,97.98631640816551,4.803411621861792,4.902124906760459,FF,TP_k03_04,S016,1,extracted-stage1,3,k
TP_k03_05.zip,239651b482cb53eea5c3d88140fc6f64226f708e6ea424f97288874b3ed71160,324413,TP_k03_05/TP_k03_05_02_AT_T23.csv,TP_k03_05/TP_k03_05_02_AT_T23_meta.txt,5,0.6752148828212928,0.7945452808756358,29.222,,318965,TP_k03_05/TP_k03_05_01_ET_T23.csv,TP_k03_05/TP_k03_05_01_ET_T23_meta.txt,47627074,SIE,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict,4.746932404577843,4.828594200376544,4.779092975130405,4.86711259075478,98.30878735280069,98.19154346682733,98.24993252087322,4.763012689854124,4.847853395565662,FF,TP_k03_05,S017,1,extracted-stage1,3,k
TP_k02_06.zip,17e3bf02a90819f6219d8f2642f491a6e70b116f94d2036d954fcd831d602899,320253,TP_k02_06/TP_k02_06_02_AT_T23.csv,TP_k02_06/TP_k02_06_02_AT_T23_meta.txt,6,0.4367927074748682,0.4487768027606159,23.525,,319695,TP_k02_06/TP_k02_06_01_ET_T23.csv,TP_k02_06/TP_k02_06_01_ET_T23_meta.txt,47627080,SIE,exact-archive-serial-plus-internal-serial,,4.799528061327098,4.839697215097363,4.820537934689533,4.861465499026889,99.1700068829728,99.15812290870831,99.16405156271063,4.810032998008316,4.850581357062126,FF,TP_k02_06,S015,1,extracted-stage1,2,k
TP_k03_01.zip,8600901070da3054363360806bd1dbe976cb339a969ea137e0e6d4c2d619913d,317634,TP_k03_01/TP_k03_01_09_AT_T23.csv,TP_k03_01/TP_k03_01_09_AT_T23_meta.txt,1,0.3195338252527987,0.3766739451871397,23.845,,318764,TP_k03_01/TP_k03_01_01_ET_T23.csv,TP_k03_01/TP_k03_01_01_ET_T23_meta.txt,47627083,SIE,exact-archive-serial-plus-internal-serial,,4.687105290359839,4.818397807947958,4.702106143587822,4.836581704065414,97.27518310398632,97.21961565614497,97.24734705304112,4.694605716973831,4.8274897560066865,FF,TP_k03_01,S007,1,extracted-stage1,3,k
