archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type,amb_temp_tp,soc_max_tp,dod_tp,c_ch_tp,c_dch_tp,m_0,scale,R_1khz_0,resistance_meter,U_0, volt_meter,condition_group
TP_k01_01.zip,ffcd328738636f2ce0cd9239bdbf8466b48c169f240beac95260bc74a6c52b14,328720.0,TP_k01_01/TP_k01_01_09_AT_T23.csv,TP_k01_01/TP_k01_01_09_AT_T23_meta.txt,1,0.2559718965776413,0.2591461128843649,27.885,,319140.0,TP_k01_01/TP_k01_01_01_ET_T23.csv,TP_k01_01/TP_k01_01_01_ET_T23_meta.txt,47627050,SIE,exact-archive-serial-plus-internal-serial,,4.834780902900966,4.901686711728445,4.847172442703219,4.914405722718948,98.6350451841936,98.63191433900307,98.63347773323248,4.840976672802093,4.9080462172236965,FF,TP_k01_01,S001,1,extracted-stage1,1,k,10,0.05,0.0,0.0,0.0,68.643,Sartorius BP 310S,13.44,HP 4338B Milliohmmeter,3.5785,Fluke 189,k|10|0.05
TP_k02_05.zip,af8a2e3f00f7d9a7e8b8164cc4fad990db0609b841e52586a39c209297fe4d08,319946.0,TP_k02_05/TP_k02_05_02_AT_T23.csv,TP_k02_05/TP_k02_05_02_AT_T23_meta.txt,5,0.9221091770692602,0.9622835616185198,29.151,,319110.0,TP_k02_05/TP_k02_05_01_ET_T23.csv,TP_k02_05/TP_k02_05_01_ET_T23_meta.txt,47627053,SIE,exact-archive-serial-plus-internal-serial,,4.771598924078171,4.821954769583252,4.815802076311684,4.868579981052401,98.95569643616892,98.91594869661958,98.9357269449033,4.793700500194928,4.845267375317826,FF,TP_k02_05,S014,1,extracted-stage1,2,k,10,0.5,0.0,0.0,0.0,68.232,Sartorius BP 310S,12.4,HP 4338B Milliohmmeter,3.5776,Fluke 189,k|10|0.5
TP_k01_02.zip,412f526d1f4743639bb77fa92a95efdad4b74819050c77ebcb80e80480dbd6ba,328680.0,TP_k01_02/TP_k01_02_09_AT_T23.csv,TP_k01_02/TP_k01_02_09_AT_T23_meta.txt,2,0.8293813630054047,0.652289022085655,29.945,,319373.0,TP_k01_02/TP_k01_02_01_ET_T23.csv,TP_k01_02/TP_k01_02_01_ET_T23_meta.txt,47627056,SIE,exact-archive-serial-plus-internal-serial,,4.781908064801083,4.84952343342388,4.821733471336368,4.881259848980917,98.6057316857822,98.7805120094769,98.6934068658456,4.801820768068726,4.865391641202399,FF,TP_k01_02,S002,1,extracted-stage1,1,k,10,0.05,0.0,0.0,0.0,68.278,Sartorius BP 310S,12.56,HP 4338B Milliohmmeter,3.5769,Fluke 189,k|10|0.05
TP_k02_03.zip,1707ffa296571c88514a1787064f814d8b58c2b7e068cc743121d3b2d95609d6,328566.0,TP_k02_03/TP_k02_03_09_AT_T23.csv,TP_k02_03/TP_k02_03_09_AT_T23_meta.txt,3,0.1803385235297512,0.0105186078646567,29.603,,319647.0,TP_k02_03/TP_k02_03_01_ET_T23.csv,TP_k02_03/TP_k02_03_01_ET_T23_meta.txt,47627059,SIE,exact-archive-serial-plus-internal-serial,,4.781881952376959,4.879033000749958,4.790513310518728,4.878519821390684,98.00880526206596,98.1960407235392,98.10241806916156,4.786197631447843,4.878776411070321,FF,TP_k02_03,S006,1,extracted-stage1,2,k,10,0.5,0.0,0.0,0.0,68.301,Sartorius BP 310S,13.35,HP 4338B Milliohmmeter,3.5766,Fluke 189,k|10|0.5
TP_k02_04.zip,34d24d949e47abeccb540962147403d7eca086b9e7b6a9d018f2268a0383923c,320060.0,TP_k02_04/TP_k02_04_02_AT_T23.csv,TP_k02_04/TP_k02_04_02_AT_T23_meta.txt,4,0.3603418440504848,0.4916001400744303,29.364,,319299.0,TP_k02_04/TP_k02_04_01_ET_T23.csv,TP_k02_04/TP_k02_04_01_ET_T23_meta.txt,47627062,SIE,exact-archive-serial-plus-internal-serial,,4.821823323858856,4.860037667107522,4.839229732227354,4.883988490226694,99.21370273511872,99.08356135382164,99.148472100667,4.830526528043105,4.872013078667108,FF,TP_k02_04,S013,1,extracted-stage1,2,k,10,0.5,0.0,0.0,0.0,68.344,Sartorius BP 310S,12.4,HP 4338B Milliohmmeter,3.5754,Fluke 189,k|10|0.5
TP_k01_03.zip,1351eec64b91152838e3d2a5700d4247ba9afc7c6a17acc167bc82b448702fef,328858.0,TP_k01_03/TP_k01_03_09_AT_T23.csv,TP_k01_03/TP_k01_03_09_AT_T23_meta.txt,3,0.5142322308709595,0.1390165240224467,29.554,,319573.0,TP_k01_03/TP_k01_03_01_ET_T23.csv,TP_k01_03/TP_k01_03_01_ET_T23_meta.txt,47627068,SIE,exact-archive-serial-plus-internal-serial,,4.82680352701493,4.900671586002438,4.851688489721095,4.907489068008309,98.49269518083004,98.86295053307454,98.67795153598249,4.839246008368013,4.904080327005373,FF,TP_k01_03,S003,1,extracted-stage1,1,k,10,0.05,0.0,0.0,0.0,68.606,Sartorius BP 310S,12.33,HP 4338B Milliohmmeter,3.5748,Fluke 189,k|10|0.05
TP_k03_04.zip,b280232b126896d218dc4cc167620d2ecfcccfb04a4c6bdd116181a70dfdb692,320323.0,TP_k03_04/TP_k03_04_02_AT_T23.csv,TP_k03_04/TP_k03_04_02_AT_T23_meta.txt,4,0.2253700043963518,0.2433923344184127,29.599,,321091.0,TP_k03_04/TP_k03_04_01_ET_T23.csv,TP_k03_04/TP_k03_04_01_ET_T23_meta.txt,47627071,SIE,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict,4.7979988973701095,4.896159208637124,4.808824346353474,4.908090604883794,97.995156875335,97.97749743186188,97.98631640816552,4.803411621861792,4.902124906760459,FF,TP_k03_04,S016,1,extracted-stage1,3,k,10,1.0,0.0,0.0,0.0,68.658,Sartorius BP 310S,12.39,HP 4338B Milliohmmeter,3.5793,Fluke 189,k|10|1.0
TP_k03_05.zip,239651b482cb53eea5c3d88140fc6f64226f708e6ea424f97288874b3ed71160,324413.0,TP_k03_05/TP_k03_05_02_AT_T23.csv,TP_k03_05/TP_k03_05_02_AT_T23_meta.txt,5,0.6752148828212928,0.7945452808756358,29.222,,318965.0,TP_k03_05/TP_k03_05_01_ET_T23.csv,TP_k03_05/TP_k03_05_01_ET_T23_meta.txt,47627074,SIE,exact-archive-serial-plus-internal-serial,testpoint_metadata_conflict,4.746932404577843,4.828594200376544,4.779092975130405,4.86711259075478,98.30878735280068,98.19154346682733,98.24993252087322,4.763012689854124,4.847853395565662,FF,TP_k03_05,S017,1,extracted-stage1,3,k,10,1.0,0.0,0.0,0.0,68.284,Sartorius BP 310S,12.57,HP 4338B Milliohmmeter,3.5768,Fluke 189,k|10|1.0
TP_k02_06.zip,17e3bf02a90819f6219d8f2642f491a6e70b116f94d2036d954fcd831d602899,320253.0,TP_k02_06/TP_k02_06_02_AT_T23.csv,TP_k02_06/TP_k02_06_02_AT_T23_meta.txt,6,0.4367927074748682,0.4487768027606159,23.525,,319695.0,TP_k02_06/TP_k02_06_01_ET_T23.csv,TP_k02_06/TP_k02_06_01_ET_T23_meta.txt,47627080,SIE,exact-archive-serial-plus-internal-serial,,4.799528061327098,4.839697215097363,4.820537934689533,4.861465499026889,99.1700068829728,99.15812290870832,99.16405156271064,4.810032998008316,4.850581357062126,FF,TP_k02_06,S015,1,extracted-stage1,2,k,10,0.5,0.0,0.0,0.0,68.213,Sartorius BP 310S,12.68,HP 4338B Milliohmmeter,3.5765,Fluke 189,k|10|0.5
TP_k03_01.zip,8600901070da3054363360806bd1dbe976cb339a969ea137e0e6d4c2d619913d,317634.0,TP_k03_01/TP_k03_01_09_AT_T23.csv,TP_k03_01/TP_k03_01_09_AT_T23_meta.txt,1,0.3195338252527987,0.3766739451871397,23.845,,318764.0,TP_k03_01/TP_k03_01_01_ET_T23.csv,TP_k03_01/TP_k03_01_01_ET_T23_meta.txt,47627083,SIE,exact-archive-serial-plus-internal-serial,,4.687105290359839,4.818397807947958,4.702106143587822,4.836581704065414,97.27518310398632,97.21961565614497,97.24734705304112,4.694605716973831,4.827489756006687,FF,TP_k03_01,S007,1,extracted-stage1,3,k,10,1.0,0.0,0.0,0.0,68.093,Sartorius BP 310S,13.25,HP 4338B Milliohmmeter,3.5746,Fluke 189,k|10|1.0
