archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,endpoint_extractor_sha256,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type
TP_k03_02.zip,0b2a76a0c2ec9e4003acf3149596bd66c9482f5657449aea23a83ceea4a8f4be,328783,TP_k03_02/TP_k03_02_09_AT_T23.csv,TP_k03_02/TP_k03_02_09_AT_T23_meta.txt,2,0.10888195445685729,0.7104522267870333,101.201,,,317952,TP_k03_02/TP_k03_02_01_ET_T23.csv,TP_k03_02/TP_k03_02_01_ET_T23_meta.txt,47627524,SIE,exact-archive-serial-plus-internal-serial,,4.801507710954384,4.876402352763539,4.806738534104708,4.911170366931275,98.46414146349694,97.87358562167289,98.16781463830274,4.804123122529546,4.893786359847407,FF,TP_k03_02,039,2,extracted-stage2,3,k
TP_k01_02.zip,d29d37efcdf851281a0004c1fdaba69c4f86b83d5a0c17bb43dfaa2bdd1e3712,328751,TP_k01_02/TP_k01_02_09_AT_T23.csv,TP_k01_02/TP_k01_02_09_AT_T23_meta.txt,2,0.2599326727774597,0.797023651557138,91.959,,,317998,TP_k01_02/TP_k01_02_01_ET_T23.csv,TP_k01_02/TP_k01_02_01_ET_T23_meta.txt,47627599,SIE,exact-archive-serial-plus-internal-serial,,4.784430887179512,4.848334832519113,4.796883370297846,4.887131818417825,98.6819403455599,98.15334532660106,98.41658957924996,4.790657128738679,4.867733325468469,FF,TP_k01_02,167,2,extracted-stage2,1,k
TP_k01_01.zip,60b28208872c536af93f88d75b7db3d88c64038e6ba6cdf9fe269ac4bd1e3091,328918,TP_k01_01/TP_k01_01_09_AT_T23.csv,TP_k01_01/TP_k01_01_09_AT_T23_meta.txt,1,0.046865948167055575,0.3663329919039352,95.143,,,318436,TP_k01_01/TP_k01_01_01_ET_T23.csv,TP_k01_01/TP_k01_01_01_ET_T23_meta.txt,47627620,SIE,exact-archive-serial-plus-internal-serial,,4.8021888071736285,4.8654666846768,4.7999387431133025,4.883323201509047,98.69944896134099,98.2924648860027,98.4955841944369,4.801063775143465,4.874394943092923,FF,TP_k01_01,057,2,extracted-stage2,1,k
TP_k02_05.zip,57ab68951c98723e3be348a5e19a0829fd93d2c97792f3e1193dd517480cdbda,618545,TP_k02_05/TP_k02_05_02_AT_T23.csv,TP_k02_05/TP_k02_05_02_AT_T23_meta.txt,5,0.2227037713679291,0.11575595965344486,157.837,,,617918,TP_k02_05/TP_k02_05_01_ET_T23.csv,TP_k02_05/TP_k02_05_01_ET_T23_meta.txt,47627623,SIE,exact-archive-serial-plus-internal-serial,,4.7703455346011205,4.861814051842179,4.759733611764468,4.856189467725564,98.11863398588022,98.01375426963578,98.06622447888851,4.765039573182794,4.8590017597838715,FF,TP_k02_05,186,2,extracted-stage2,2,k
TP_k03_01.zip,6284c4242a1ceca8980421c997661a49f4dbce4d88754cb2b4ec10d83e68cc45,329010,TP_k03_01/TP_k03_01_09_AT_T23.csv,TP_k03_01/TP_k03_01_09_AT_T23_meta.txt,1,0.1930373216311098,0.37579017901771583,93.603,,,318358,TP_k03_01/TP_k03_01_01_ET_T23.csv,TP_k03_01/TP_k03_01_01_ET_T23_meta.txt,47627626,SIE,exact-archive-serial-plus-internal-serial,,4.798284467953722,4.867061449631771,4.789030919533555,4.885385819156765,98.58688898034661,98.02769109360045,98.3067646842886,4.793657693743638,4.876223634394268,FF,TP_k03_01,055,2,extracted-stage2,3,k
TP_k02_02.zip,b4b433e8c2c4a382aef50947f2b0d5e1b07516cc6645eeb335cc1e51bcf14409,328131,TP_k02_02/TP_k02_02_09_AT_T23.csv,TP_k02_02/TP_k02_02_09_AT_T23_meta.txt,2,0.2416553596246601,0.8789753895905575,100.692,,,318441,TP_k02_02/TP_k02_02_01_ET_T23.csv,TP_k02_02/TP_k02_02_01_ET_T23_meta.txt,47627629,SIE,exact-archive-serial-plus-internal-serial,,4.727955940879701,4.839839925463888,4.739395121508072,4.882568715076777,97.68827096955147,97.06765840024734,97.37660092696218,4.733675531193887,4.861204320270333,FF,TP_k02_02,019,2,extracted-stage2,2,k
TP_k02_01.zip,d79cbcdfca8700ccb9e828b97c87589d3a0a64046df4281198c41bfe807ccc12,328255,TP_k02_01/TP_k02_01_09_AT_T23.csv,TP_k02_01/TP_k02_01_09_AT_T23_meta.txt,1,0.06533147317030584,0.40328533730601335,148.709,,,318725,TP_k02_01/TP_k02_01_01_ET_T23.csv,TP_k02_01/TP_k02_01_01_ET_T23_meta.txt,47627638,SIE,exact-archive-serial-plus-internal-serial,,4.721418987874095,4.84777512662467,4.7245045683810165,4.86736499442814,97.39352310183266,97.06493295221006,97.22889673804804,4.722961778127556,4.857570060526405,FF,TP_k02_01,131,2,extracted-stage2,2,k
TP_k03_05.zip,a1715f49ff7754d2503260fbe83c173c27e5f3ebbff7377433ed238bbbcc5bcd,619227,TP_k03_05/TP_k03_05_02_AT_T23.csv,TP_k03_05/TP_k03_05_02_AT_T23_meta.txt,5,0.05895154406893852,0.13299767156602374,220.843,,,618148,TP_k03_05/TP_k03_05_01_ET_T23.csv,TP_k03_05/TP_k03_05_01_ET_T23_meta.txt,47627641,SIE,exact-archive-serial-plus-internal-serial,,4.800456964431503,4.837875513229522,4.80328774232804,4.844314056571744,99.22654998675151,99.15310374668941,99.18980244627316,4.801872353379771,4.841094784900633,FF,TP_k03_05,013,2,extracted-stage2,3,k
TP_k03_03.zip,a0f73b0507b28dd2cd1bc290d035df775dc95b0be7415d9e128cd9ee74cfd398,329048,TP_k03_03/TP_k03_03_09_AT_T23.csv,TP_k03_03/TP_k03_03_09_AT_T23_meta.txt,3,0.2824494970331429,0.39243303268468405,98.546,,,318561,TP_k03_03/TP_k03_03_01_ET_T23.csv,TP_k03_03/TP_k03_03_01_ET_T23_meta.txt,47627644,SIE,exact-archive-serial-plus-internal-serial,,4.812604703962548,4.859923055257544,4.799030696040564,4.879032494565536,99.02635595755356,98.36029379566376,98.69267141462332,4.8058177000015565,4.869477774911539,FF,TP_k03_03,130,2,extracted-stage2,3,k
TP_k02_03.zip,d98562dfed985148d0f5618bf591dffe62552fe009f859beda94bad19c34be67,328393,TP_k02_03/TP_k02_03_09_AT_T23.csv,TP_k02_03/TP_k02_03_09_AT_T23_meta.txt,3,0.27057675489280336,0.2013053386708585,97.944,,,318702,TP_k02_03/TP_k02_03_01_ET_T23.csv,TP_k02_03/TP_k02_03_01_ET_T23_meta.txt,47627647,SIE,exact-archive-serial-plus-internal-serial,,4.7323464804245985,4.866023799767579,4.719559150658541,4.875829234889696,97.25284287862783,96.79500497858002,97.0236935155701,4.72595281554157,4.870926517328638,FF,TP_k02_03,197,2,extracted-stage2,2,k
