type,condition_group,adjacency_only,cca_v2,global_credibility,random_features,shuffled_source,target_only,wrong_property,applicability,source_distance,target_distance,source_uncertainty_normalized,borrow_allowed,adjacency_relative_rmse_gain_vs_target_only,adjacency_absolute_rmse_change_vs_target_only,adjacency_wins_target
k,k|10|0.2,0.5647537869130979,0.6032880180039557,0.5647537869131062,0.5968990043265658,2.271496471645807,0.6254126793641077,0.6156132863902306,0.8119438340304238,0.1578947368421052,0.3714285714285714,0.3009937919112538,True,0.09699018656399028,0.06065889245100986,True
k,k|10|0.8,0.8564382428270901,0.6999766455627865,0.8564382428270866,1.0810045892386249,1.002018609416215,0.9687885004351362,1.0557243750739562,0.751503218859067,0.2105263157894736,0.3714285714285714,0.4547510818883757,True,0.11596985054796105,0.11235025760804607,True
k,k|23|0.2,0.4995155946010217,0.5010738337597481,0.4995155946010291,0.432996617032344,0.4535898294103632,0.5010738337597481,0.5839636822805734,0.8097876095731026,0.1578947368421052,0.3714285714285714,0.30996342058499543,True,0.003109799502070132,0.0015582391587264377,True
k,k|23|0.65,2.487748216722369,2.8299485379254,2.4877482167223715,2.825554253883406,2.562093219686648,2.8299485379254,2.7116444145181604,0.06388369462537592,0.1578947368421052,0.1578947368421053,2.004237582702075,False,0.12092104030057527,0.34220032120303134,True
k,k|23|0.8,0.5693083874915577,0.5109214283844088,0.5693083874915656,0.497951945734106,1.0281190532287807,0.4395119534776262,0.4333068606289928,0.4254763711312292,0.2105263157894736,0.1578947368421053,0.42757668464382537,True,-0.29531946284263877,-0.12979643401393143,False
k,k|23|0.9,2.424367777873813,2.6086203155566734,2.424367777873824,2.785491109466881,2.4466535800056883,2.6086203155566734,2.5607100332159938,0.052620086069766515,0.1052631578947368,0.1052631578947368,2.1115923478105914,False,0.07063217923438636,0.18425253768286032,True
k,k|45|0.65,0.9629406606190712,1.200853995448916,0.9629406606190816,1.1833122469980593,0.9547723071986488,1.200853995448916,1.1522912649114168,0.248879051925738,0.1578947368421052,0.2631578947368421,1.098597735352486,True,0.1981201176258779,0.23791333482984467,True
k,k|45|0.9,1.7202214385855084,1.2419203568758652,1.7202214385855117,1.933811563409528,2.173979417112616,1.7821807029530663,1.8382509050116005,0.34321825923435245,0.1052631578947368,0.2631578947368421,0.7692795544419265,True,0.034765983194011474,0.06195926436755794,True
z,z|23|0.25|0.05|0.4|0.3,1.6133039003708072,1.8803003633132205,1.6133039003708072,1.89904539054298,1.8694339050095463,1.8803003633132205,1.897166134697283,0.27818770662988185,0.6064468466220085,0.9504410931798656,0.12768480860143425,True,0.14199670869176817,0.2669964629424133,True
z,z|23|0.36|0.05|0.8|1.7,0.2146192605451207,0.1530580826314959,0.2146192605451176,0.228847105131777,0.3956591439720233,0.1530580826314959,0.2567684828762367,0.1785139482900009,0.6163252308022581,0.9504410931798656,0.9379695916246679,False,-0.4022079517475734,-0.06156117791362481,False
z,z|23|0.69|0.2|1|0.5,2.547064037994328,3.172469969937186,2.547064037994328,3.172469969937172,1.4803967383133991,3.172469969937186,3.054782809473412,0.14603426855391607,0.6281472457559458,1.143094249311892,0.6673537618308955,False,0.19713533551753082,0.6254059319428582,True
z,z|23|0.8|0.25|0.2|1.4,2.1532639249659344,2.292180043258147,2.1532639249659207,2.356850164246894,2.5194857317509043,2.292180043258147,2.215231096011368,0.17425266728625136,0.4343319824658965,1.143094249311892,0.6839482071021096,False,0.06060436600554053,0.1389161182922125,True
z,z|35|0.63|0.4|0.5|0.2,3.613274317620733,3.6455381192444425,3.613274317620742,3.9298715895868095,3.810457081626185,3.6455381192444425,3.8323291906962833,0.3993619230484991,0.47650879217224035,0.7828446544394292,0.39491957806129224,True,0.008850216502576669,0.032263801623709565,True
z,z|35|0.74|0.15|0.5|1.3,2.1828863703727057,2.2206437793445977,2.182886370372693,2.1266674867656628,2.383775833052325,2.2206437793445977,2.241920531663269,0.5182281075523042,0.3025896459351517,0.699063610946658,0.39265578074449164,True,0.017002911193183645,0.03775740897189195,True
z,z|35|0.8|0.1|0.7|0.8,2.3316488867179754,2.240465995230379,2.3316488867179896,2.23090327341732,2.421138218020874,2.240465995230379,2.230943389744839,0.48399574407626117,0.2660159070618096,0.7398522083324967,0.46375010105267717,True,-0.04069818139695558,-0.0911828914875965,False
z,z|45|0.41|0.05|1|1,2.285830881452104,2.461913194831066,2.28583088145209,2.3914976627873448,2.4161991853802003,2.461913194831066,2.772479704756878,0.23956808387028103,0.3496439368314625,0.917498107778854,0.9641140278977072,True,0.07152255154595111,0.17608231337896196,True
z,z|45|0.47|0.15|0.7|1.9,1.8366030919441811,1.961804970008475,1.8366030919441945,1.675962445786353,2.0170796543720533,1.961804970008475,1.994754783563952,0.2498759095959084,0.3606937759374287,0.6618782752437713,1.2795374122899206,True,0.06381973742463964,0.12520187806429384,True
z,z|45|0.52|0.05|0.3|0.7,2.203569983808716,2.387303941440828,2.2035699838087344,2.688312621114484,2.302098757080996,2.387303941440828,2.59153091470822,0.30670958840712553,0.430573991725906,0.917498107778854,0.55616037980335,True,0.07696295157173061,0.18373395763211198,True
z,z|45|0.8|0.6|0.24|2,3.6975779216941382,3.679651689607375,3.6975779216941462,3.841352134725478,3.736307749134724,3.679651689607375,3.881597955123659,0.08810555568825419,0.6173461560586306,0.8681077762070278,1.096673945554354,False,-0.004871719825382703,-0.01792623208676325,False
z,z|45|0.8|0.6|0.2|0.44,1.2759873769121406,1.3293329794470785,1.2759873769121324,1.290580676724817,1.2319772743567432,1.3293329794470785,1.0805378766878904,0.05649338661902086,0.7420472914420314,1.004987562112089,1.113421514069897,False,0.04012960135625798,0.05334560253493792,True
z,z|45|0.8|0.6|1|0.26,2.797422013454829,2.781708313840042,2.797422013454824,2.510247772571647,2.7861900796204053,2.781708313840042,2.6735350818927874,0.1388642864553456,0.3133353033823015,0.9666666666666668,0.7049645298196966,False,-0.005648938652771607,-0.015713699614786858,False
z,z|45|0.8|0.6|1|2,3.897796815891299,3.9098124392763967,3.89779681589129,3.630580443741351,3.8326819469745135,3.9098124392763967,3.936793991719811,0.095781721771871,0.6693819531966643,0.9499999999999998,0.7763763878869899,False,0.00307319687880514,0.012015623385097651,True
