scope,family,left_policy,right_policy,seeds,left_mean_experiments,right_mean_experiments,mean_experiments_saved_by_left,bootstrap_95,relative_saved_vs_right,fraction_seeds_left_improves,fraction_seeds_tied,signflip_p_one_sided,left_censor_fraction,right_censor_fraction,holm_p,passes_development_gates,gates__holm_p_le_0_05,gates__ci_lower_above_zero,gates__mean_saved_ge_5,gates__relative_saved_ge_0_25,gates__fraction_improved_ge_0_60,gates__censoring_not_higher
official_test,policy_validity,target_mean_greedy,uniform_random,100,24.13,15.5,-8.63,"[-12.93025, -4.399750000000004]",-0.5567741935483872,0.37,0.04,0.9998,0.4,0.08,0.9998,False,False,False,False,False,False,False
official_test,policy_validity,composition_novelty,uniform_random,100,3.42,15.5,12.08,"[9.74, 14.520249999999995]",0.7793548387096775,0.86,0.04,0.0001,0.0,0.08,0.0002,True,True,True,True,True,True,True
official_test,source_only,thermoelectric_prior_static,uniform_random,100,3.0,15.5,12.5,"[10.25, 14.9]",0.8064516129032258,0.81,0.06,0.0001,0.0,0.08,0.0004,True,True,True,True,True,True,True
official_test,source_only,thermoelectric_prior_static,alloy_prior_static_control,100,3.0,23.0,20.0,"[20.0, 20.0]",0.8695652173913043,1.0,0.0,0.0001,0.0,0.0,0.0004,True,True,True,True,True,True,True
official_test,source_only,thermoelectric_prior_static,catalysis_prior_static_control,100,3.0,5.0,2.0,"[2.0, 2.0]",0.4,1.0,0.0,0.0001,0.0,0.0,0.0004,False,True,True,False,True,True,True
official_test,source_only,thermoelectric_prior_static,shuffled_thermoelectric_static_control,100,3.0,21.0,18.0,"[18.0, 18.0]",0.8571428571428571,1.0,0.0,0.0001,0.0,0.0,0.0004,True,True,True,True,True,True,True
official_test,incremental_borrowing,target_source_rank_fusion,target_mean_greedy,100,7.3,24.13,16.83,"[13.86, 19.62025]",0.6974720265230003,0.7,0.15,0.0001,0.0,0.4,0.0002,True,True,True,True,True,True,True
official_test,incremental_borrowing,target_source_novelty_rank_fusion,target_mean_greedy,100,4.19,24.13,19.94,"[16.54, 23.200249999999997]",0.8263572316618318,0.7,0.05,0.0001,0.0,0.4,0.0002,True,True,True,True,True,True,True
official_test,failure_anatomy,target_mean_greedy,target_ucb_beta1,100,24.13,23.41,-0.72,"[-2.53, 1.0]",-0.030756087142246903,0.39,0.36,0.7852,0.4,0.39,0.7852,False,False,False,False,False,False,False
official_test,failure_anatomy,target_source_rank_fusion,target_ucb_beta1,100,7.3,23.41,16.11,"[13.31, 19.03]",0.6881674498077744,0.84,0.08,0.0001,0.0,0.39,0.0001,True,True,True,True,True,True,True
hard_ood_40pct,policy_validity,target_mean_greedy,uniform_random,100,15.81,11.58,-4.23,"[-6.7802500000000006, -1.7297500000000037]",-0.36528497409326427,0.4,0.05,0.9995,0.0,0.0,0.9995,False,False,False,False,False,False,True
hard_ood_40pct,policy_validity,composition_novelty,uniform_random,100,2.76,11.58,8.82,"[7.1, 10.58]",0.7616580310880829,0.86,0.05,0.0001,0.0,0.0,0.0002,True,True,True,True,True,True,True
hard_ood_40pct,source_only,thermoelectric_prior_static,uniform_random,100,3.0,11.58,8.58,"[6.91975, 10.300249999999997]",0.7409326424870466,0.84,0.07,0.0001,0.0,0.0,0.0004,True,True,True,True,True,True,True
hard_ood_40pct,source_only,thermoelectric_prior_static,alloy_prior_static_control,100,3.0,14.0,11.0,"[11.0, 11.0]",0.7857142857142857,1.0,0.0,0.0001,0.0,0.0,0.0004,True,True,True,True,True,True,True
hard_ood_40pct,source_only,thermoelectric_prior_static,catalysis_prior_static_control,100,3.0,5.0,2.0,"[2.0, 2.0]",0.4,1.0,0.0,0.0001,0.0,0.0,0.0004,False,True,True,False,True,True,True
hard_ood_40pct,source_only,thermoelectric_prior_static,shuffled_thermoelectric_static_control,100,3.0,8.0,5.0,"[5.0, 5.0]",0.625,1.0,0.0,0.0001,0.0,0.0,0.0004,True,True,True,True,True,True,True
hard_ood_40pct,incremental_borrowing,target_source_rank_fusion,target_mean_greedy,100,10.17,15.81,5.64,"[4.1, 7.300249999999997]",0.35673624288425043,0.83,0.05,0.0001,0.0,0.0,0.0002,True,True,True,True,True,True,True
hard_ood_40pct,incremental_borrowing,target_source_novelty_rank_fusion,target_mean_greedy,100,5.42,15.81,10.39,"[8.66, 12.1]",0.6571790006325111,0.89,0.04,0.0001,0.0,0.0,0.0002,True,True,True,True,True,True,True
hard_ood_40pct,failure_anatomy,target_mean_greedy,target_ucb_beta1,100,15.81,18.16,2.35,"[1.07, 3.69]",0.12940528634361234,0.56,0.14,0.0003,0.0,0.0,0.0003,False,True,True,False,False,False,True
hard_ood_40pct,failure_anatomy,target_source_rank_fusion,target_ucb_beta1,100,10.17,18.16,7.99,"[6.41, 9.620249999999995]",0.43997797356828194,0.83,0.07,0.0001,0.0,0.0,0.0001,True,True,True,True,True,True,True
