material_key,Thermoelectric ZT,Alloy yield strength,CO2R H2 Faradaic efficiency
Ag:0.01859504132|La:0.117768595|Li:0.03719008264|O:0.6198347107|Ti:0.2066115702,0.08887688579301399,508.3738035714285,39.61609381700625
Ag:0.02789256198|La:0.117768595|Li:0.02789256198|O:0.6198347107|Ti:0.2066115702,0.0883891011238939,508.3738035714285,39.394891980110096
Ag:0.03719008264|La:0.117768595|Li:0.01859504132|O:0.6198347107|Ti:0.2066115702,0.08853476410795043,509.8668244047618,39.275803614831126
Al:0.002044989775|F:0.002044989775|La:0.1145194274|Li:0.06748466258|O:0.6114519427|Ti:0.2024539877,0.09106749019609899,510.09724107142847,39.34225113241749
Al:0.002770083102|Li:0.05817174515|O:0.6648199446|P:0.1662049861|Ti:0.108033241,0.039567294540296796,623.0694740079368,42.76687123861377
Al:0.00408997955|F:0.00408997955|La:0.1145194274|Li:0.06748466258|O:0.609406953|Ti:0.200408998,0.08748145314391226,508.9444632936507,39.34225113241749
Al:0.005464480874|Li:0.07103825137|O:0.6557377049|P:0.1639344262|Sc:0.01092896175|Ti:0.09289617486,0.045420845672082454,606.1280990079368,42.66337779421951
Al:0.005464480874|Li:0.07103825137|O:0.6557377049|P:0.1639344262|Ti:0.09289617486|Y:0.01092896175,0.05910691112420093,555.0477182539684,42.41083763504279
Al:0.005524861878|Ge:0.1049723757|Li:0.06077348066|O:0.6629834254|P:0.1657458564,0.07066173139110012,483.6579325396825,43.952352863105375
Al:0.005524861878|Li:0.06077348066|O:0.6629834254|P:0.1657458564|Ti:0.1049723757,0.04038995982786859,621.3257240079369,42.76687123861377
Al:0.006134969325|F:0.006134969325|La:0.1145194274|Li:0.06748466258|O:0.6073619632|Ti:0.1983640082,0.08936663535651784,510.51974107142854,39.34225113241749
Al:0.006239600666|La:0.1247920133|Li:0.2911813644|O:0.4991680532|Zr:0.07861896839,0.04129280179098716,490.50212301587294,40.939202335472146
Al:0.008123129543|La:0.1282599401|Li:0.2736212056|O:0.5044890979|Zr:0.08550662676,0.03838041003151438,498.79407242063473,40.939202335472146
Al:0.0081799591|F:0.0081799591|La:0.1145194274|Li:0.06748466258|O:0.6053169734|Ti:0.1963190184,0.08422090439831637,513.8419632936508,39.549210675061175
Al:0.008196721311|Li:0.07103825137|O:0.6557377049|P:0.1639344262|Sc:0.008196721311|Ti:0.09289617486,0.045409629215747496,609.746561309524,42.66337779421951
Al:0.008196721311|Li:0.07103825137|O:0.6557377049|P:0.1639344262|Ti:0.09289617486|Y:0.008196721311,0.059139630152111086,568.5746999007937,42.41083763504279
Al:0.008474576271|La:0.1271186441|Li:0.2711864407|O:0.5084745763|Zr:0.08474576271,0.037725110737311794,499.6482390873014,40.939202335472146
Al:0.008547008547|La:0.1282051282|Li:0.264957265|O:0.5128205128|Ta:0.008547008547|Zr:0.07692307692,0.040125595877801366,495.32435019841245,42.14554732764903
Al:0.008565310493|La:0.1284796574|Li:0.2633832976|O:0.5139186296|Ta:0.01070663812|Zr:0.07494646681,0.04321619130620493,495.32435019841245,42.14554732764903
Al:0.01021276596|La:0.1276595745|Li:0.2663829787|O:0.5106382979|Zr:0.08510638298,0.038408714974910364,498.60518353174587,40.939202335472146
Al:0.01022494888|F:0.01022494888|La:0.1145194274|Li:0.06748466258|O:0.6032719836|Ti:0.1942740286,0.08269914734250651,513.4582827380952,39.73697908585719
Al:0.01092896175|Li:0.07103825137|O:0.6557377049|P:0.1639344262|Sc:0.005464480874|Ti:0.09289617486,0.044592540398189114,607.6639224206352,42.66337779421951
Al:0.01092896175|Li:0.07103825137|O:0.6557377049|P:0.1639344262|Ti:0.09289617486|Y:0.005464480874,0.05904727614434649,585.3777172619049,42.41083763504279
Al:0.01098901099|Ge:0.0989010989|Li:0.06593406593|O:0.6593406593|P:0.1648351648,0.07002624584442127,482.1384632936508,43.34766271474073
Al:0.01098901099|Li:0.06593406593|O:0.6593406593|P:0.1648351648|Ti:0.0989010989,0.03940175267750268,619.108883730159,42.76687123861377
Al:0.01143862736|La:0.1319841619|Li:0.251649802|O:0.5279366476|W:0.01099868016|Zr:0.06599208095,0.038278472789795424,502.6392113095236,41.62807008102003
Al:0.01226993865|F:0.01226993865|La:0.1145194274|Li:0.06748466258|O:0.6012269939|Ti:0.1922290389,0.07896777305755358,513.4582827380952,39.73697908585719
Al:0.01431492843|F:0.01431492843|La:0.1145194274|Li:0.06748466258|O:0.5991820041|Ti:0.1901840491,0.08443578604969594,511.97279662698406,39.72063658723622
Al:0.01612903226|Li:0.09139784946|O:0.6451612903|P:0.1612903226|Ti:0.08602150538,0.04501053166421465,600.9056287698417,42.60753865702125
Al:0.0163599182|F:0.0163599182|La:0.1145194274|Li:0.06748466258|O:0.5971370143|Ti:0.1881390593,0.08672977114626086,513.5380744047618,39.72063658723622
Al:0.01639344262|Ge:0.09289617486|Li:0.07103825137|O:0.6557377049|P:0.1639344262,0.07226850824522649,482.1384632936508,43.18434193471999
Al:0.01639344262|Li:0.07103825137|O:0.6557377049|P:0.1639344262|Ti:0.09289617486,0.04238502600507787,601.1510156746036,42.66337779421951
Al:0.02173913043|Ge:0.08695652174|Li:0.07608695652|O:0.652173913|P:0.1630434783,0.07316113545789886,489.4827787698413,43.2377527905169
Al:0.02173913043|Li:0.07608695652|O:0.652173913|P:0.1630434783|Ti:0.08695652174,0.04304305045968618,610.5644799603177,42.66337779421951
Al:0.02173913043|Li:0.2391304348|Nd:0.1304347826|O:0.5217391304|Zr:0.08695652174,0.03332307791856108,493.80177083333314,40.421725088843154
Al:0.02173913043|Li:0.4565217391|S:0.4347826087|Si:0.08695652174,0.20917800967129044,493.9428472222223,43.389345196854876
Al:0.02702702703|Ge:0.08108108108|Li:0.08108108108|O:0.6486486486|P:0.1621621622,0.07193505577853285,488.80996130952377,43.24451380422237
Al:0.02702702703|Li:0.08108108108|O:0.6486486486|P:0.1621621622|Ti:0.08108108108,0.04312070515815996,617.1888271825399,42.64727009510208
Al:0.02702702703|Li:0.4594594595|O:0.4324324324|Si:0.08108108108,0.06659006762349913,404.45043538059156,43.46960842279356
Al:0.02|La:0.11|Li:0.09|O:0.6|Ti:0.18,0.07992964015508085,505.742935515873,39.56315841642824
Al:0.03225806452|Ge:0.04301075269|Li:0.08602150538|O:0.6451612903|P:0.1612903226|Ti:0.03225806452,0.07750483255399285,533.5449325396827,42.62594107878717
Al:0.03225806452|Ge:0.0752688172|Li:0.08602150538|O:0.6451612903|P:0.1612903226,0.07385627742821874,503.80790773809525,43.27781005324643
Al:0.03225806452|Li:0.08602150538|O:0.6451612903|P:0.1612903226|Ti:0.0752688172,0.044474838014947386,576.9241445436511,42.60753865702125
Al:0.03670745273|Li:0.4449388209|O:0.4449388209|P:0.03670745273|Si:0.03670745273,0.07008170376065848,397.29278025793644,43.3661149783993
Al:0.03743315508|Ge:0.06951871658|Li:0.09090909091|O:0.6417112299|P:0.1604278075,0.07427985036654719,500.9425744047619,43.27781005324643
Al:0.04255319149|Ge:0.06382978723|Li:0.09574468085|O:0.6382978723|P:0.1595744681,0.07502658097468144,504.77667162698424,42.7921067398142
Al:0.04255319149|Ge:0.06382978723|Li:0.4680851064|S:0.4255319149,0.2536545326451512,469.5389047619047,45.453551228948236
Al:0.04255319149|Li:0.4680851064|S:0.4255319149|Si:0.06382978723,0.20075881016354272,493.0908630952382,43.389345196854876
Al:0.04255319149|Li:0.4680851064|S:0.4255319149|Sn:0.06382978723,0.2726226278768845,466.2090039682538,40.12457358972338
Al:0.04|La:0.12|Li:0.08|O:0.6|Ti:0.16,0.08550009369707652,515.0878660714284,39.69812730308152
Al:0.05555555556|Li:0.05555555556|O:0.6666666667|P:0.1666666667|Sb:0.05555555556,0.08313534021395978,483.13866666666667,38.82257720086734
Al:0.05555555556|Li:0.05555555556|O:0.6666666667|P:0.1666666667|Ta:0.05555555556,0.06875179224170104,475.66358234126983,40.117320384573404
Al:0.05|Li:0.1|O:0.6|P:0.15|Sr:0.1,0.0649607064376405,493.97388988095247,45.38389607397748
Al:0.06043956044|Li:0.06593406593|O:0.6593406593|P:0.1648351648|Ta:0.04945054945,0.06740693012516426,465.2786517857142,40.09153487143314
Al:0.0625|Li:0.4791666667|S:0.4166666667|Si:0.04166666667,0.198875745417996,482.05449404761913,43.389345196854876
Al:0.06|La:0.13|Li:0.07|O:0.6|Ti:0.14,0.07954299001623495,531.0341210317459,39.476925466185364
Al:0.07142857143|Ga:0.07142857143|Ge:0.1428571429|Li:0.1428571429|O:0.5714285714,0.06320678177886266,484.18499107142867,46.240078363566376
Al:0.08163265306|Li:0.4897959184|S:0.4081632653|Si:0.02040816327,0.17670627832894137,477.6954315476191,43.389345196854876
Al:0.08|La:0.14|Li:0.06|O:0.6|Ti:0.12,0.07899948232352684,525.2216210317459,39.94518375025629
Al:0.1428571429|Ge:0.1428571429|Li:0.1428571429|O:0.5714285714,0.05445180657831754,470.87423710317466,45.513742128420255
Al:0.1428571429|Li:0.4285714286|S:0.4285714286,0.19456710254449974,478.5802430555557,43.460388684312626
Al:0.1666666667|Cl:0.6666666667|Li:0.1666666667,0.15651232049128735,465.32092397186136,42.89653671253284
Al:0.1666666667|H:0.6666666667|Li:0.1666666667,0.15782283401594244,430.4663455988455,42.89653671253284
Al:0.1666666667|Li:0.5|N:0.3333333333,0.16154755297316573,412.22438875360734,43.46960842279356
Al:0.1|F:0.6|Li:0.3,0.17131671194061418,415.1583222853535,42.67857205133533
Al:0.1|H:0.6|Li:0.3,0.17131671194061418,411.6364770472582,42.67857205133533
Al:0.1|Li:0.5|O:0.4,0.02590032918458517,408.9878163329725,43.46960842279356
Al:0.1|Li:0.5|S:0.4,0.1611090158372174,479.5263343253968,43.389345196854876
B:0.07142857143|Li:0.1428571429|Na:0.07142857143|O:0.5714285714|P:0.1428571429,0.02047289331655097,401.58972258297246,42.51621260076196
B:0.07142857143|Li:0.2142857143|O:0.5714285714|P:0.1428571429,0.01688845181286492,408.3452667297979,42.51621260076196
B:0.1666666667|Ce:0.05555555556|Cl:0.05555555556|H:0.6666666667|Li:0.05555555556,0.26472832531947166,467.21718849206337,38.56748231919301
B:0.1666666667|Li:0.5|N:0.3333333333,0.1738372016873352,436.41975036075024,43.46960842279356
B:0.1904761905|Cu:0.04761904762|Li:0.2857142857|O:0.4761904762,0.02873248134914821,474.2656646825397,43.29130295751247
B:0.1|H:0.4|Li:0.25|P:0.05|S:0.2,0.2287227716970188,673.8658571428566,43.30970537927839
B:0.25|Li:0.25|O:0.5,0.009823973969824975,450.27610323773445,43.46960842279356
B:0.2916666667|Cl:0.04166666667|Li:0.1666666667|O:0.5,0.00721242001885186,417.4192647456709,43.3661149783993
B:0.3529411765|F:0.05882352941|Li:0.05882352941|O:0.5294117647,0.03756127244736913,442.18164024170267,43.318878710454115
Ba:0.002127659574|La:0.1255319149|Li:0.2765957447|O:0.5106382979|Ta:0.02340425532|Zr:0.06170212766,0.04191958818860816,495.649905753968,42.55324466211425
Ba:0.004016064257|Ge:0.04016064257|Li:0.3935742972|P:0.08032128514|S:0.4819277108,0.26862610190813496,462.357679563492,37.6889881272386
Ba:0.004255319149|La:0.1234042553|Li:0.2765957447|O:0.5106382979|Ta:0.02553191489|Zr:0.05957446809,0.043480799936116935,497.08063988095216,42.57155794783086
Ba:0.008064516129|Ge:0.04032258065|Li:0.3870967742|P:0.08064516129|S:0.4838709677,0.2678393726053701,458.95945039682533,38.07082596881529
Ba:0.008510638298|La:0.1191489362|Li:0.2765957447|O:0.5106382979|Ta:0.02978723404|Zr:0.05531914894,0.04367392370553358,496.4285565476188,42.57155794783086
Ba:0.01123595506|La:0.1235955056|Li:0.2359550562|O:0.5393258427|Ta:0.08988764045,0.03221468277883676,510.23625099206333,42.68554932716973
Ba:0.01214574899|Ge:0.04048582996|Li:0.3805668016|P:0.08097165992|S:0.4858299595,0.27209253516307974,463.67562103174595,38.07082596881529
Ba:0.01276595745|La:0.114893617|Li:0.2765957447|O:0.5106382979|Ta:0.03404255319|Zr:0.05106382979,0.042852700747891805,493.77855654761885,42.64858636673489
Ba:0.0162601626|Ge:0.0406504065|Li:0.3739837398|P:0.08130081301|S:0.487804878,0.2621856010796015,462.7669007936508,38.24456379434075
