scope,model_family,strategy,seeds,target_only_mean_experiments,strategy_mean_experiments,target_only_median_experiments,strategy_median_experiments,mean_experiments_saved,bootstrap_95,relative_mean_experiments_saved,fraction_seeds_improved,fraction_seeds_tied,signflip_p_one_sided,target_only_censor_fraction,strategy_censor_fraction,core_gates,passes_core_gates,improvement_gates,rescue_crossing,passes_improvement_gates,passes_rescue_crossing,decision_status
official_test,extra-trees-primary,thermoelectric_prior,100,24.34,24.09,28.0,26.0,0.25,"[-1.3, 1.82]",0.010271158586688579,0.28,0.49,0.3889,0.4,0.41,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false, ""random_forest_sensitivity_mean_positive"": true, ""prespecified_prior_controls_clean"": true}","{""shortlist_n"": 11, ""target_only_median_above_shortlist"": true, ""prior_median_within_shortlist"": false}",False,False,directional-only
official_test,extra-trees-primary,alloy_control,100,24.34,23.77,28.0,27.0,0.57,"[-0.94, 2.13]",0.02341824157764996,0.31,0.47,0.2449,0.4,0.43,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
official_test,extra-trees-primary,catalysis_control,100,24.34,24.42,28.0,29.5,-0.08,"[-1.32025, 1.01]",-0.0032867707477403454,0.31,0.46,0.5506,0.4,0.43,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
official_test,extra-trees-primary,shuffled_thermoelectric_control,100,24.34,23.72,28.0,28.0,0.62,"[-0.97, 2.12]",0.025472473294987676,0.38,0.38,0.2256,0.4,0.38,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
official_test,extra-trees-primary,random_control,100,24.34,15.5,28.0,13.0,8.84,"[4.57, 12.90074999999999]",0.36318816762530814,0.63,0.01,0.0001,0.4,0.08,"{""p_le_0_05"": true, ""ci_lower_above_zero"": true, ""mean_saved_ge_5"": true, ""relative_saved_ge_0_25"": true, ""fraction_seed_improved_ge_0_60"": true}",True,,,,,
official_test,random-forest-sensitivity,thermoelectric_prior,40,26.825,26.3,37.5,32.0,0.525,"[-1.85, 3.1]",0.0195712954333644,0.275,0.45,0.3538,0.475,0.375,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
hard_ood_40pct,extra-trees-primary,thermoelectric_prior,100,17.7,15.49,19.0,15.0,2.21,"[0.97, 3.49]",0.1248587570621469,0.58,0.14,0.0004,0.0,0.0,"{""p_le_0_05"": true, ""ci_lower_above_zero"": true, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
hard_ood_40pct,extra-trees-primary,alloy_control,100,17.7,17.19,19.0,17.0,0.51,"[-0.51, 1.5]",0.0288135593220339,0.46,0.13,0.1678,0.0,0.0,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
hard_ood_40pct,extra-trees-primary,catalysis_control,100,17.7,16.34,19.0,15.0,1.36,"[0.16, 2.5802499999999964]",0.0768361581920904,0.51,0.17,0.0166,0.0,0.0,"{""p_le_0_05"": true, ""ci_lower_above_zero"": true, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
hard_ood_40pct,extra-trees-primary,shuffled_thermoelectric_control,100,17.7,17.62,19.0,18.0,0.08,"[-1.02, 1.12]",0.004519774011299435,0.43,0.2,0.4527,0.0,0.0,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
hard_ood_40pct,extra-trees-primary,random_control,100,17.7,11.58,19.0,8.0,6.12,"[3.41, 8.870499999999993]",0.3457627118644068,0.63,0.05,0.0002,0.0,0.0,"{""p_le_0_05"": true, ""ci_lower_above_zero"": true, ""mean_saved_ge_5"": true, ""relative_saved_ge_0_25"": true, ""fraction_seed_improved_ge_0_60"": true}",True,,,,,
hard_ood_40pct,random-forest-sensitivity,thermoelectric_prior,40,16.0,14.975,16.0,14.5,1.025,"[-0.9, 2.925]",0.0640625,0.575,0.125,0.1608,0.0,0.0,"{""p_le_0_05"": false, ""ci_lower_above_zero"": false, ""mean_saved_ge_5"": false, ""relative_saved_ge_0_25"": false, ""fraction_seed_improved_ge_0_60"": false}",False,,,,,
