edge_id,repeat_n,pool_n,candidate_rows_per_repeat,baseline_fraction_to_first_hit_mean,augmented_fraction_to_first_hit_mean,baseline_fraction_to_first_hit_median,augmented_fraction_to_first_hit_median,effect_fraction_to_first_hit_mean,effect_fraction_to_first_hit_bootstrap_95,relative_reduction_fraction_to_first_hit,fraction_repeat_effects_positive,signflip_p_one_sided,baseline_top10_recall_top5_mean,augmented_top10_recall_top5_mean,baseline_top10_enrichment_mean,augmented_top10_enrichment_mean,effect_top10_regret_reduction_mean,effect_spearman_rho_mean,analysis_family,edge_role,source,learner,scope,holm_p_primary_family,gates,decision_status,passes_improvement_gates,passes_rescue_crossing,passes_all_core_gates
birdshot_temporal_alloy_uts_to_ys__control__catalysis_h2,100,2,71.0,0.1715492957746479,0.17802816901408455,0.15492957746478872,0.15492957746478872,-0.006478873239436621,"[-0.012253521126760562, -0.00028169014084506957]",-0.037766830870279156,0.19,0.9828,0.22549295774647882,0.23746478873239432,1.9209154929577459,2.0226760563380277,-0.0014576292727740625,-0.028847911926895134,primary,control,catalysis_h2,ridge-primary,prespecified distant or shuffled control,,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false}",control-does-not-pass-core-gates,,,False
birdshot_temporal_alloy_uts_to_ys__control__te_thermal,100,2,71.0,0.1715492957746479,0.16859154929577463,0.15492957746478872,0.15492957746478872,0.0029577464788732395,"[-0.004507042253521127, 0.010281690140845073]",0.017241379310344827,0.47,0.2259,0.22549295774647882,0.20718309859154924,1.9209154929577459,1.7737323943661971,-0.00027940562569855274,0.021308550735720234,primary,control,te_thermal,ridge-primary,prespecified distant or shuffled control,,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false}",control-does-not-pass-core-gates,,,False
calisol_article_temperature_minus30_to_minus40__control__shuffled_temperature_-30_C,100,5,891.0,0.18406285072951742,0.16170594837261504,0.1750841750841751,0.14758698092031425,0.02235690235690235,"[0.015375982042648713, 0.02975392817059483]",0.12146341463414628,0.72,0.0001,0.3116177827659309,0.3226867439830403,2.9951465897149245,3.1063917676512434,0.04752811711660873,-0.013689308556626699,primary,control,shuffled_temperature_-30_C,random-forest-primary,prespecified distant or shuffled control,,"{""p_le_0_05"": true, ""ci_bounded_above_zero"": true, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false}",control-does-not-pass-core-gates,,,False
calisol_article_temperature_minus30_to_minus40__control__temperature_0_C,100,5,891.0,0.18406285072951742,0.1854320987654321,0.1750841750841751,0.17845117845117844,-0.001369248035914701,"[-0.011302188552188551, 0.008361391694725029]",-0.007439024390243893,0.49,0.607,0.3116177827659309,0.31011884274847235,2.9951465897149245,2.9826968697880547,0.026592300121531874,0.01455178122796009,primary,control,temperature_0_C,random-forest-primary,prespecified distant or shuffled control,,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false}",control-does-not-pass-core-gates,,,False
obelix_official_thermoelectric_zt_to_ionic_conductivity__control__Alloy_yield_strength,60,1,110.0,0.12075757575757576,0.1296969696969697,0.07272727272727272,0.07272727272727272,-0.00893939393939394,"[-0.020606060606060607, -0.0015151515151515145]",-0.0740276035131744,0.1,0.9943,0.1333333333333333,0.1222222222222222,1.3333333333333333,1.222222222222222,-0.04406782892167123,-0.01237835663949337,primary,control,Alloy yield strength,Ridge (primary),prespecified distant or shuffled control,,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false}",control-does-not-pass-core-gates,,,False
obelix_official_thermoelectric_zt_to_ionic_conductivity__control__CO2R_H2_Faradaic_efficiency,60,1,110.0,0.12075757575757576,0.11696969696969696,0.07272727272727272,0.05,0.003787878787878787,"[-0.005757575757575757, 0.01409090909090909]",0.031367628607277286,0.25,0.2378,0.1333333333333333,0.14166666666666666,1.3333333333333333,1.4166666666666667,-0.006218028972407463,0.008998977348569333,primary,control,CO2R H2 Faradaic efficiency,Ridge (primary),prespecified distant or shuffled control,,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false}",control-does-not-pass-core-gates,,,False
birdshot_temporal_alloy_uts_to_ys,100,2,71.0,0.1715492957746479,0.18450704225352108,0.15492957746478872,0.18309859154929578,-0.012957746478873237,"[-0.017464788732394366, -0.008591549295774645]",-0.07553366174055828,0.17,1.0,0.22549295774647882,0.22507042253521126,1.9209154929577459,1.9130985915492955,-0.00796364946314888,0.00288821495585888,primary,named-edge,alloy_uts,ridge-primary,chronological Year 1 to Year 2 and Years 1-2 to Year 3 held-out campaigns with zero canonical-composition overlap,1.0,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false, ""prespecified_controls_clean"": true, ""baseline_above_shortlist_boundary"": true, ""augmented_within_shortlist_boundary"": false}",unresolved-or-harmful,False,False,
calisol_article_temperature_minus30_to_minus40,100,5,891.0,0.18406285072951742,0.19078563411896746,0.1750841750841751,0.18799102132435466,-0.006722783389450055,"[-0.013939674523007855, 0.0008644781144781131]",-0.03652439024390243,0.38,0.9605,0.3116177827659309,0.3083802219728145,2.9951465897149245,2.963216380103103,0.002736641828741351,-0.006571385938162751,primary,named-edge,temperature_-30_C,random-forest-primary,outer folds hold out complete source articles; source models exclude held-out articles and exact held-out chemistries,1.0,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false, ""prespecified_controls_clean"": true, ""baseline_above_shortlist_boundary"": true, ""augmented_within_shortlist_boundary"": false}",unresolved-or-harmful,False,False,
obelix_official_thermoelectric_zt_to_ionic_conductivity,60,1,110.0,0.12075757575757576,0.09984848484848485,0.07272727272727272,0.05909090909090908,0.02090909090909091,"[0.009393939393939394, 0.034545454545454546]",0.17314930991217065,0.38333333333333336,0.0001,0.1333333333333333,0.14722222222222223,1.3333333333333333,1.472222222222222,-0.013708183964592214,0.0063390322638857705,primary,named-edge,Thermoelectric ZT,Ridge (primary),official OBELiX evaluation groups with DOI/composition-disjoint target split and global removal of exact source-target composition overlap,0.00030000000000000003,"{""p_le_0_05"": true, ""ci_bounded_above_zero"": true, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false, ""prespecified_controls_clean"": true, ""baseline_above_shortlist_boundary"": false, ""augmented_within_shortlist_boundary"": true}",directional-only,False,False,
kit_formulation_holdout_minus20_to_minus30__control__shuffled_temperature_-20_C,100,5,108.0,0.14268518518518522,0.14351851851851852,0.1388888888888889,0.1388888888888889,-0.0008333333333333332,"[-0.005370370370370371, 0.0036111111111111105]",-0.005840363400389355,0.41,0.6417,0.5336111111111111,0.5242592592592593,3.8625925925925917,3.792716049382716,-0.001234782650622846,-0.009969662378115232,secondary,control,shuffled_temperature_-20_C,random-forest-primary,prespecified distant or shuffled control,,"{""p_le_0_05"": false, ""ci_bounded_above_zero"": false, ""positive_repeat_fraction_ge_0_80"": false, ""relative_reduction_ge_0_25"": false}",control-does-not-pass-core-gates,,,False
