repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
0,15,15,extra-trees-primary,all,alloy_control,4.027523999073674,3.882039255272418,0.036122626168017175,-0.2830725447637583,2.5329083360138314,0.14183674556363576,110
1,15,15,extra-trees-primary,all,alloy_control,3.5042391884957307,3.4417285773070634,0.017838568609667683,-0.00852020269187781,2.3729013655873095,0.15489896408476297,110
2,15,15,extra-trees-primary,all,alloy_control,5.769659405669823,6.065172141570349,-0.05121840218334666,-2.131970261447041,5.6213137200007965,0.05328222825314897,110
3,15,15,extra-trees-primary,all,alloy_control,3.8879151203640565,3.842730879626503,0.011621714810821892,-0.25722007556287774,2.9168202698262853,0.3538945467535614,110
4,15,15,extra-trees-primary,all,alloy_control,3.6083821326277614,3.56978872840506,0.010695487008909571,-0.08496666401428232,2.844825494412477,0.09236819221739787,110
5,15,15,extra-trees-primary,all,alloy_control,5.494058142329874,5.337457520960529,0.028503633800812948,-1.4254941414649709,4.313833605704716,0.17503405800945596,110
6,15,15,extra-trees-primary,all,alloy_control,4.385200242813263,4.180817212472782,0.04660745667781916,-0.4881740506216943,3.2402692411647083,0.1361359628374316,110
7,15,15,extra-trees-primary,all,alloy_control,3.604225559732612,3.7251725265853746,-0.033556991605635106,-0.1814739471047797,2.8982344362533086,0.2536996415051634,110
8,15,15,extra-trees-primary,all,alloy_control,3.6629746773342626,3.9533038467122514,-0.07926049043540657,-0.33061298344773316,2.777461540070258,0.3840288094537647,110
9,15,15,extra-trees-primary,all,alloy_control,3.1525653987451983,3.19652983292915,-0.013945605760137685,0.13006082030635324,2.261105496032549,0.43965024000738745,110
10,15,15,extra-trees-primary,all,alloy_control,3.8819605393201018,3.902276005700341,-0.005233300589860584,-0.29648451431355616,3.324468173904084,0.3475589271798906,110
11,15,15,extra-trees-primary,all,alloy_control,3.3104042361038095,3.266497201417415,0.013263345366568006,0.09156062971961987,2.087156788243282,0.3316271547162665,110
12,15,15,extra-trees-primary,all,alloy_control,3.791633613012291,3.8200874156475253,-0.007504365015012298,-0.24244727755105822,3.1771569293314643,0.1674580007168316,110
