repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
0,15,15,extra-trees-primary,all,alloy_control,4.027523999073674,3.882039255272418,0.036122626168017175,-0.2830725447637583,2.5329083360138314,0.14183674556363576,110
1,15,15,extra-trees-primary,all,alloy_control,3.5042391884957307,3.4417285773070634,0.017838568609667683,-0.00852020269187781,2.3729013655873095,0.15489896408476297,110
0,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,5.284197930911279,5.04638492803104,0.045004560008831365,-0.5406613955201487,3.8220591346089225,-0.3172273660200505,44
1,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.670483149080191,4.545141462320114,0.026836985116788583,-0.24980213097410564,3.2659190179988555,-0.07308290682333672,44
0,15,15,extra-trees-primary,ood_q1,alloy_control,1.800346668308812,1.8042702220086642,-0.002179332330221573,-3.6950930396332966,1.0097523964834276,0.1423487544483986,28
1,15,15,extra-trees-primary,ood_q1,alloy_control,1.6590282206258935,1.6062635252775423,0.031804579748766944,0.29546131361925765,1.1582118400564256,0.12931514614535405,28
0,15,15,extra-trees-primary,ood_q2,alloy_control,3.4991559863152686,3.4113320278964623,0.025098611997371387,-0.21133778440751105,2.474120150095473,0.09648854961832061,27
1,15,15,extra-trees-primary,ood_q2,alloy_control,3.365908595643993,3.4047159750374414,-0.011529540476432197,-0.390851185765255,2.3917702046364475,-0.21774318974154955,27
0,15,15,extra-trees-primary,ood_q3,alloy_control,5.639034048244619,5.3143451914624915,0.057578807647597,-0.40240423161381766,3.4884235020612153,-0.07962677090389884,28
1,15,15,extra-trees-primary,ood_q3,alloy_control,5.0869110356891225,4.805329421847059,0.055354145544618844,-0.05277120135390323,3.698455910512295,-0.04834511014826474,28
0,15,15,extra-trees-primary,ood_q4,alloy_control,4.183721822782101,4.1347075424997595,0.01171547305450348,-0.8897430045366073,3.1803610277664296,-0.520384797637822,27
1,15,15,extra-trees-primary,ood_q4,alloy_control,3.001609908185889,3.169428084011918,-0.05590938894769797,-0.21740601136531534,2.239061395314658,-0.07003066290564748,27
0,15,15,extra-trees-primary,all,catalysis_control,4.027523999073674,3.948740864446572,0.019561183159981663,-0.3275431159539415,2.5633972067193596,0.16430045240159033,110
