repeat,requested_budget,budget,learner,error_distance_spearman,distance_mean,distance_q25,distance_q75
0,15,15,extra-trees-primary,0.4723801366003201,9.64276938540645,1.836191670356996,11.163256604236212
1,15,15,extra-trees-primary,0.20084755314113112,10.392419108752456,4.051054430815207,11.36517287578575
0,15,15,random-forest-sensitivity,0.30133669950183706,9.64276938540645,1.836191670356996,11.163256604236212
1,15,15,random-forest-sensitivity,0.050334738408132906,10.392419108752456,4.051054430815207,11.36517287578575
0,30,30,extra-trees-primary,0.2835380835380835,9.997611772898063,2.16279942151093,11.207306840591214
1,30,30,extra-trees-primary,0.5876892628765531,9.595115162762957,1.8952295909532126,11.144227823479184
0,30,30,random-forest-sensitivity,0.30401460676690034,9.997611772898063,2.16279942151093,11.207306840591214
1,30,30,random-forest-sensitivity,0.4035389851903613,9.595115162762957,1.8952295909532126,11.144227823479184
0,60,60,extra-trees-primary,0.2721502152694813,9.568985451782138,2.9465957718257356,10.761095150935592
1,60,60,extra-trees-primary,0.43694520208281673,8.85356318546141,2.090086498386117,8.786615398416437
0,60,60,random-forest-sensitivity,0.27744291414016187,9.568985451782138,2.9465957718257356,10.761095150935592
1,60,60,random-forest-sensitivity,0.47331785496923107,8.85356318546141,2.090086498386117,8.786615398416437
0,120,120,extra-trees-primary,-0.08206388206388206,7.8206148000916444,2.161281750939848,8.224808966891953
1,120,120,extra-trees-primary,0.3290895566124924,8.05916781137823,1.5357668160226674,6.93676556140548
0,120,120,random-forest-sensitivity,-0.06092915267227193,7.8206148000916444,2.161281750939848,8.224808966891953
1,120,120,random-forest-sensitivity,0.4730473592858914,8.05916781137823,1.5357668160226674,6.93676556140548
0,240,240,extra-trees-primary,0.3830534454387665,7.703291257316413,1.1073512874431912,7.465253387502781
1,240,240,extra-trees-primary,0.35199152446858867,6.925866984378828,1.1667932376726973,6.618118971512703
0,240,240,random-forest-sensitivity,0.32945923404639,7.703291257316413,1.1073512874431912,7.465253387502781
1,240,240,random-forest-sensitivity,0.3260329553907535,6.925866984378828,1.1667932376726973,6.618118971512703
