budget,repeat,method,scope,evaluation_rows,rmse,mae,r2,spearman,selected_alpha,selected_correction_weight,mean_absolute_correction,active_training_rows,inner_hurdle_fallback_folds,training_scaffolds,insufficient_scaffold_abstention,target_only_rmse,relative_rmse_gain
30,0,scalar_optical_residual,dynamic_hard_ood_40pct,158,1.126393355788725,0.6950933418705015,-1.9368553279583742,-0.1893168195172806,0.1,1.0,0.4243072642522542,15,1,3,False,0.6597375441212002,-0.7073355394517239
30,0,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,158,0.6597375441212002,0.2710308961101108,-0.0074993906854685655,0.04810250193638216,0.1,0.0,0.0,15,1,3,False,0.6597375441212002,0.0
30,0,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,158,0.6597375441212002,0.2710308961101108,-0.0074993906854685655,0.04810250193638216,0.1,0.0,0.0,15,1,3,False,0.6597375441212002,0.0
30,0,state_blind_pretrained_residual,dynamic_hard_ood_40pct,158,0.7117867468174118,0.4019061439641849,-0.1727412139275002,0.12916072318203348,100.0,1.0,0.1799153798651636,15,1,3,False,0.6597375441212002,-0.07889380126993296
30,0,target_only_direct_regression,dynamic_hard_ood_40pct,158,0.6788555893368033,0.2448442757535423,-0.06673658362606827,0.10297245729739249,,,,15,1,3,False,0.6597375441212002,-0.028978258681744733
30,0,scalar_optical_residual,full_scaffold_separated_evaluation,395,1.0031872997919855,0.6481029749037498,-1.3685662566995478,0.034701387976478516,0.1,1.0,0.4243072642522542,15,1,3,False,0.6475065823024775,-0.5493082652916641
30,0,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,395,0.6475065823024775,0.3150817874692847,0.013243803363002571,0.3636461388139889,0.1,0.0,0.0,15,1,3,False,0.6475065823024775,0.0
30,0,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,395,0.6475065823024775,0.3150817874692847,0.013243803363002571,0.3636461388139889,0.1,0.0,0.0,15,1,3,False,0.6475065823024775,0.0
30,0,state_blind_pretrained_residual,full_scaffold_separated_evaluation,395,0.6758220301939583,0.3977324108362973,-0.07494483263240315,0.30761417149422454,100.0,1.0,0.1799153798651636,15,1,3,False,0.6475065823024775,-0.04372997690740608
30,0,target_only_direct_regression,full_scaffold_separated_evaluation,395,0.6689229136487024,0.3055907617316311,-0.053109747548680364,0.37960554643953315,,,,15,1,3,False,0.6475065823024775,-0.033075078974595544
30,1,scalar_optical_residual,dynamic_hard_ood_40pct,214,0.6541637842555587,0.3270801649063259,-0.04112614306085072,0.22281402305192202,10.0,0.5,0.08458937693219853,17,0,14,False,0.6296066021980121,-0.03900400976072241
30,1,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,214,0.626526803997415,0.2932945651334967,0.04498615195567801,0.3975556862482934,1000.0,0.25,0.024849357576633622,17,0,14,False,0.6296066021980121,0.004891623102180425
30,1,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,214,0.6252079329866532,0.3061067756981646,0.049002626184222686,0.3659304686988239,1000.0,0.75,0.07199318866140686,17,0,14,False,0.6296066021980121,0.006986377201259889
30,1,state_blind_pretrained_residual,dynamic_hard_ood_40pct,214,0.625786567371124,0.33793086012678497,0.047241501940886166,0.3394696029078758,1000.0,1.0,0.12160133712370191,17,0,14,False,0.6296066021980121,0.006067336037379544
30,1,target_only_direct_regression,dynamic_hard_ood_40pct,214,0.624927787644089,0.30356962330488335,0.04985468765809675,0.4050099310700657,,,,17,0,14,False,0.6296066021980121,0.00743133019505991
30,1,scalar_optical_residual,full_scaffold_separated_evaluation,535,0.6112915705075163,0.33165283547688507,-0.00015879812088059886,0.220713662760872,10.0,0.5,0.08458937693219853,17,0,14,False,0.587932633464761,-0.03973063530271846
30,1,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,535,0.5829878822253092,0.29825403246012266,0.09031464918813492,0.4011375516164488,1000.0,0.25,0.024849357576633622,17,0,14,False,0.587932633464761,0.008410404454523599
30,1,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,535,0.5779473973169521,0.31700576858407714,0.10597683865761276,0.3645742328325181,1000.0,0.75,0.07199318866140686,17,0,14,False,0.587932633464761,0.01698363992650762
30,1,state_blind_pretrained_residual,full_scaffold_separated_evaluation,535,0.5849157537385795,0.3508700624611141,0.08428825907145332,0.341610547328591,1000.0,1.0,0.12160133712370191,17,0,14,False,0.587932633464761,0.005131335725323876
30,1,target_only_direct_regression,full_scaffold_separated_evaluation,535,0.5804944471943566,0.2974049763043619,0.098079444182538,0.4301410066969586,,,,17,0,14,False,0.587932633464761,0.012651426110794721
30,2,scalar_optical_residual,dynamic_hard_ood_40pct,216,0.5904332321598347,0.2595048627282012,-0.02774639688705771,-0.06413967200118743,0.1,0.0,0.0,10,0,19,False,0.5904332321598347,0.0
30,2,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,216,0.5904332321598347,0.2595048627282012,-0.02774639688705771,-0.06413967200118743,0.1,0.0,0.0,10,0,19,False,0.5904332321598347,0.0
30,2,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,216,0.5904332321598347,0.2595048627282012,-0.02774639688705771,-0.06413967200118743,0.1,0.0,0.0,10,0,19,False,0.5904332321598347,0.0
30,2,state_blind_pretrained_residual,dynamic_hard_ood_40pct,216,0.5904332321598347,0.2595048627282012,-0.02774639688705771,-0.06413967200118743,0.1,0.0,0.0,10,0,19,False,0.5904332321598347,0.0
30,2,target_only_direct_regression,dynamic_hard_ood_40pct,216,0.5998877155471946,0.19718480690947202,-0.06092409533439613,0.18995969351116504,,,,10,0,19,False,0.5904332321598347,-0.01601279005379643
30,2,scalar_optical_residual,full_scaffold_separated_evaluation,540,0.6291804122888686,0.3119287845112121,-0.01164538349138855,0.2543440035795722,0.1,0.0,0.0,10,0,19,False,0.6291804122888686,0.0
30,2,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,540,0.6291804122888686,0.3119287845112121,-0.01164538349138855,0.2543440035795722,0.1,0.0,0.0,10,0,19,False,0.6291804122888686,0.0
30,2,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,540,0.6291804122888686,0.3119287845112121,-0.01164538349138855,0.2543440035795722,0.1,0.0,0.0,10,0,19,False,0.6291804122888686,0.0
