canonical_smiles,solid_real__absorption_nm__mean,solid_real__absorption_nm__std,solid_real__emission_nm__mean,solid_real__emission_nm__std,solid_real__quantum_yield__mean,solid_real__quantum_yield__std,solid_shuffled__absorption_nm__mean,solid_shuffled__absorption_nm__std,solid_shuffled__emission_nm__mean,solid_shuffled__emission_nm__std,solid_shuffled__quantum_yield__mean,solid_shuffled__quantum_yield__std,global_state_blind__absorption_nm__mean,global_state_blind__absorption_nm__std,global_state_blind__emission_nm__mean,global_state_blind__emission_nm__std,global_state_blind__quantum_yield__mean,global_state_blind__quantum_yield__std
*/C(C#N)=C1\C(=C\c2cc3sc4c(c3[se]2)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc3c(cc2-4)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-3sc3cc(/C=C4\C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)[se]c23)C(=O)c2cc(Br)c(Br)cc21,561.9709,19.753225,685.2534,16.941292,-0.069597855,0.030556511,395.10416,24.325869,546.01385,33.272865,0.16241744,0.12803437,590.1857,24.338203,659.10693,22.209742,0.14324461,0.042656086
*/C(C#N)=C1\C(=C\c2cc3sc4c(c3[se]2)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc3c(cc2-4)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-3sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)[se]c23)C(=O)c2cc(Cl)c(Cl)cc21,543.27496,19.402489,668.96326,11.638576,-0.026431214,0.024063708,396.93686,45.89028,546.587,24.345284,0.2038222,0.1251344,595.3226,27.65085,664.5608,21.784176,0.12483363,0.05614552
C#Cc1c2cc(-c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc3CC(CC)CCCC)sc2c(C#Cc2cc3c4c(ccc5c4c2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C5=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O)c2cc(-c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc3CC(CC)CCCC)sc12,569.51416,14.363765,672.404,11.955159,-0.01783759,0.030634934,388.55823,11.455105,547.8826,22.051453,0.35099182,0.08329185,584.4313,10.1257305,665.40857,16.37634,0.07766423,0.02804348
C#Cc1c2cc(-c3sc(/C=C4\SC(=S)N(CC)C4=O)cc3CC(CC)CCCC)sc2c(C#Cc2cc3c4c(ccc5c4c2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C5=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O)c2cc(-c3sc(/C=C4\SC(=S)N(CC)C4=O)cc3CC(CC)CCCC)sc12,543.78796,19.102566,646.4784,12.98454,0.029941346,0.0064509693,399.10696,10.723895,534.10114,32.616123,0.46053466,0.13292114,571.6195,12.865454,655.1842,17.178368,0.018617427,0.028812042
C#Cc1c2cc(-c3sc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)cc3CC(CC)CCCC)sc2c(C#Cc2cc3c4c(ccc5c4c2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C5=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O)c2cc(-c3sc(C=C4C(=O)C(CC)C(=S)C(CC)C4=O)cc3CC(CC)CCCC)sc12,537.81573,18.572289,630.10547,17.729715,0.04364557,0.018073944,401.5695,15.103922,551.55646,23.61807,0.4619573,0.11210775,561.81274,10.339559,642.88763,14.976548,0.08268215,0.04057305
C#Cc1c2cc(CCCCCCCC)sc2c(C#Cc2cc3c4c(ccc5c4c2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C5=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O)c2cc(CCCCCCCC)sc12,497.7758,15.9599,591.8601,12.819027,-0.044387974,0.019920174,422.0498,49.572277,544.07916,30.92165,0.4051536,0.17308724,508.0275,11.731866,594.61914,20.38237,0.081755295,0.10687239
C#Cc1c2ccsc2c(C#Cc2cc3c4c(ccc5c4c2C(=O)N(CC(CCCCCC)CCCCCCCC)C5=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O)c2ccsc12,528.39014,21.306011,606.5661,17.03727,0.00017117857,0.027453456,400.24734,15.151223,546.1439,26.141783,0.3651575,0.09114483,495.32797,13.049975,573.8496,24.198664,0.15183789,0.04446429
C#Cc1ccc2c(c1)C(=O)/C(=C/c1sc3c(sc4c5c6nc7cc(F)c(F)cc7nc6c6c7sc8c(CCCCCCCCCCC)c(/C=C9\C(=O)c%10ccccc%10C9=C(C#N)C#N)sc8c7n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c6c5n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c34)c1CCCCCCCCCCC)C2=C(C#N)C#N,540.98254,13.294763,692.1097,15.769619,-0.08875568,0.026127703,407.6351,5.5054874,527.06635,5.644253,0.3639605,0.21622944,603.83624,3.561987,688.11865,12.150626,0.115380265,0.045552462
C#Cc1ccc2c(c1)C(=O)/C(=C\c1cc3sc4c(c3s1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc3cc(/C=C4\C(=O)c5cc(C#C)ccc5C4=C(C#N)C#N)sc13)C2=C(C#N)C#N,528.5497,11.562408,665.7015,11.714184,0.034731664,0.027314015,389.33652,46.05289,523.8344,45.11246,0.22681844,0.13877586,573.7953,30.43929,659.6551,27.249111,0.13137367,0.05024657
C(#Cc1ccccc1)C1=C(c2ccccc2)/C(=N/c2c(-c3ccccc3)c(C#Cc3ccccc3)c(-c3ccccc3)[n]2[Zn][n]2c(/N=C3\N=C(c4ccccc4)C(C#Cc4ccccc4)=C3c3ccccc3)c(-c3ccccc3)c(C#Cc3ccccc3)c2-c2ccccc2)N=C1c1ccccc1,460.94415,20.753521,597.73035,22.147463,0.16357225,0.064607546,439.92847,42.09277,538.6708,21.16286,0.30445334,0.04746206,522.91516,14.279974,580.4725,12.95152,0.17798932,0.088116385
C/C=C\c1ccc2c(c1)C(=O)/C(=C\c1sc3c(sc4c5c6nsnc6c6c7sc8c(CCCCCCCCCCC)c(/C=C9\C(=O)c%10cc(C)ccc%10C9=C(C#N)C#N)sc8c7n(C)c6c5n(C)c34)c1CCCCCCCCCCC)C2=C(C#N)C#N,565.23584,16.568144,703.9057,30.90515,-0.08069317,0.07993762,375.1953,41.312412,499.20273,40.539482,0.25157794,0.14816725,591.9605,10.166217,676.921,9.078611,0.15098025,0.0660807
C1=C(c2ccccc2)/C(=N/c2c(-c3ccccc3)cc(-c3ccccc3)[n]2[Zn][n]2c(-c3ccccc3)cc(-c3ccccc3)c2/N=C2\N=C(c3ccccc3)C=C2c2ccccc2)N=C1c1ccccc1,414.62018,14.614001,577.09143,26.81796,0.24797265,0.10142367,425.10147,15.748402,550.9732,41.23798,0.2812434,0.11971829,490.85553,17.454397,551.43085,13.297171,0.14109708,0.048818223
C1=CC2=C3Nc4c5ccccc5c5[n]4[Cu][n]4c(c6ccccc6c4NC4NC(=C6C=CC=CC64)N5)NC(N3)C2C=C1,491.23593,50.126083,628.4439,46.837776,-0.018256161,0.1936181,411.56018,85.49879,407.30933,73.69577,0.47161424,0.18255179,387.25742,19.197678,463.6941,15.633231,0.49731788,0.19401741
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2cc3c(-c4cc(CCCCCCCC)c(CCCCCCCC)s4)c4sccc4c(-c4cc(CCCCCCCC)c(CCCCCCCC)s4)c3s2)cc1OCCCCCCCC,428.42685,15.225765,593.15393,8.819901,0.04196513,0.03783107,381.3013,30.43578,496.02087,28.886053,0.32467985,0.093006864,480.74545,10.666649,609.1903,12.725044,0.13670595,0.054405775
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2cc3c(OCC(CCCCCCCC)CCCCCCCCCC)c4sccc4c(OCC(CCCCCCCC)CCCCCCCCCC)c3s2)cc1OCCCCCCCC,414.9035,16.617556,555.106,16.869156,-5.2085517e-05,0.062808245,423.61487,26.274843,524.3017,7.495825,0.38112274,0.17495047,463.04425,9.018989,575.6164,9.833227,0.2546004,0.028740723
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2ccc(-c3cc4c(-c5cc(CCCCCCCC)c(CCCCCCCC)s5)c5sc(-c6cccs6)cc5c(-c5cc(CCCCCCCC)c(CCCCCCCC)s5)c4s3)s2)cc1OCCCCCCCC,456.2946,14.929094,632.97266,6.9256744,0.037308265,0.034293152,380.27628,22.080057,493.70486,35.17622,0.34529743,0.10246776,503.72015,12.313518,632.72864,21.867336,0.123698965,0.05472176
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2ccc(-c3cc4c(OCC(CCCCCCCC)CCCCCCCCCC)c5sc(-c6cccs6)cc5c(OCC(CCCCCCCC)CCCCCCCCCC)c4s3)s2)cc1OCCCCCCCC,440.49457,20.481604,594.369,19.398678,0.0061635254,0.05935509,417.96036,17.358728,519.6138,12.650545,0.39614734,0.16564727,488.86508,14.205412,605.1357,7.7060685,0.1965415,0.03550115
C=C(CC(=O)O)C(=O)O,330.21054,44.38821,425.92715,29.333378,0.76636827,0.17916065,503.70645,22.942453,543.9372,157.22305,0.23716743,0.33996034,267.42896,38.87347,331.90463,30.862497,-0.018136993,0.120885246
C=C/C=C\c1c(C)ccc2c1C(=O)/C(=C\c1sc3c(sc4c5c6nsnc6c6c7sc8c(CCCCCCCCCCC)c(/C=C9\C(=O)c%10c(ccc%11ccccc%10%11)C9=C(C#N)C#N)sc8c7n(CC(CC)CCCC)c6c5n(CC(CC)CCCC)c34)c1CCCCCCCCCCC)C2=C(C#N)C#N,574.11475,16.147078,716.08734,29.947018,-0.082800016,0.065761596,366.88525,28.616678,514.2354,19.580517,0.30591145,0.11653082,610.07526,15.208152,681.81824,11.27715,0.14161892,0.070356585
C=C1/C(=N\C2=C(N)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O)C2C=C(c3cc(CC(CC)CCCC)c(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sccc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)SC2c2sc(-c3cc(CC(CC)CCCC)cs3)cc21,465.28857,7.311014,606.68005,11.336519,-0.0067498265,0.02702151,386.78394,30.349463,550.0886,13.320056,0.5311847,0.12500982,511.93106,18.98018,596.2455,21.775501,0.19797018,0.077267095
C=CCCCCCCCCCN1C(=O)c2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6sc(-c7sc(-c8cc(CCCCCC)cs8)c8c7C(=O)N(CCCCCCCC)C8=O)cc6CCCCCC)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,517.32904,22.32294,672.5676,17.30705,-0.04230421,0.030070076,373.28,24.985416,519.45825,37.815453,0.39701715,0.0863425,525.6173,17.73801,638.9621,13.675917,0.081764325,0.019633977
C=CCCCCCCCCCN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cc7c8c(c(-c9cccs9)cc9c8c6C(=O)N(CC(CCCCCC)CCCCCCCC)C9=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C7=O)s5)cc(c24)C1=O)C(=O)N(CCCCCCCCCC=C)C3=O,525.5234,23.884111,620.9618,20.7223,0.024572741,0.06625325,412.55704,22.820122,560.07574,22.558994,0.38349223,0.08188124,526.4749,21.40654,605.5133,19.386456,0.19773161,0.073701285
