panel,target,measure,estimate,ci95_low,ci95_high,null_q95,holm_p,n,route
b,A,composition_only_donor,0.5526382098590804,,,0.23566757659308443,0.007984031936127744,126,ranking only
b,A,static_spectral_donor,-0.2041455440131223,,,0.3444128146291329,0.6407185628742516,126,ranking only
c,A,relative_rmse_gain,0.03191296785067873,-0.01755414032780653,0.0969059318970144,,,126,ranking only
c,A,spearman_gain,0.28236688349289685,0.20860084638665552,0.34489858366088444,,,126,ranking only
d,A,later_selected_candidates_spearman,0.3593984962406014,,,,0.0598794012059879,20,ranking only
b,B,composition_only_donor,0.611876611470938,,,0.2418378106304631,0.007984031936127744,126,predict + rank
b,B,static_spectral_donor,0.4635697027503481,,,0.26447170485602023,0.0079840319361277,126,predict + rank
c,B,relative_rmse_gain,0.1634879441228944,0.09244605292255315,0.2294757215978192,,,126,predict + rank
c,B,spearman_gain,0.3472799072063857,0.2599007042311874,0.4260566336628238,,,126,predict + rank
d,B,later_selected_candidates_spearman,0.475187969924812,,,,0.0349796502034979,20,predict + rank
b,C,composition_only_donor,0.2550079491542782,,,0.1714545400198842,0.007984031936127744,126,reject
b,C,static_spectral_donor,0.0809190989082224,,,0.1827079521458163,0.499001996007984,126,reject
c,C,relative_rmse_gain,-0.1037710009360328,-0.17223737540466794,-0.03426559098833911,,,126,reject
c,C,spearman_gain,0.16432901985889362,0.0706959859124348,0.27074053793624414,,,126,reject
d,C,later_selected_candidates_spearman,0.5310267393210225,,,,0.0261597384026159,20,reject
b,D,composition_only_donor,0.7465762773084113,,,0.2750210350361169,0.007984031936127744,126,predict + rank
b,D,static_spectral_donor,0.1427862226228572,,,0.13542358773224974,0.1497005988023952,126,predict + rank
c,D,relative_rmse_gain,0.260734871957417,0.19985629900261231,0.31710741559440975,,,126,predict + rank
c,D,spearman_gain,0.40709552373503977,0.35170070738932097,0.45899103424424875,,,126,predict + rank
d,D,later_selected_candidates_spearman,0.6160211041131975,,,,0.0101198988010119,20,predict + rank
