contract,budget,repeat,learner,method,scope,n,base_rmse,aug_rmse,relative_rmse_gain,base_r2,aug_r2,delta_r2,delta_mae
planned_state,30,0,ridge_alpha_10,state_only,all,428,0.39523409123452435,0.3080467300589379,0.2205967630556726,-0.258585928670527,0.23544755381350424,0.49403348248403123,0.07962789761788644
planned_state,30,0,ridge_alpha_10,state_only,q1,170,0.38452169234201483,0.271623332809824,0.29360725748541855,-0.6491149768880535,0.17710695229055773,0.8262219291786113,0.10608689754814421
planned_state,30,0,ridge_alpha_10,state_only,q2,101,0.4507491700341784,0.3832197924628046,0.1498158666964453,-0.38421278636678635,-0.0005270805262389544,0.3836857058405474,0.0545094044798477
planned_state,30,0,ridge_alpha_10,state_only,q3,87,0.41385047245419776,0.3306563438687503,0.20102460700864566,0.09893470982221875,0.42479444882878936,0.3258597390065706,0.05956461165256294
planned_state,30,0,ridge_alpha_10,state_only,q4,70,0.3000204074097447,0.23074476305355143,0.2309031074062304,-0.47111295728896696,0.12982193021022792,0.6009348874991949,0.07654852187190389
planned_state,30,0,ridge_alpha_10,state_plus_crossfitted_predicted_uts,all,428,0.3080467300589379,0.27681654940532113,0.10138130876325668,0.23544755381350424,0.3826120092012403,0.14716445538773604,0.02004981824091273
planned_state,30,0,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q1,170,0.271623332809824,0.23856742717815868,0.12169759235967134,0.17710695229055773,0.3652078614574015,0.18810090916684374,0.023747785710849706
planned_state,30,0,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q2,101,0.3832197924628046,0.33921679522467085,0.11482443783851448,-0.0005270805262389544,0.21605123770303702,0.21657831822927598,0.024317300945763287
planned_state,30,0,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q3,87,0.3306563438687503,0.30985755607045123,0.06290152354238479,0.42479444882878936,0.4948812006253228,0.07008675179653345,0.016368877839719187
planned_state,30,0,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q4,70,0.23074476305355143,0.21200361633314224,0.08122024730875357,0.12982193021022792,0.26543375773569733,0.1356118275254694,0.009486555266979363
planned_state,30,0,ridge_alpha_10,predicted_uts_residual_anchor,all,428,0.3080467300589379,0.27001217381839565,0.12347008596152013,0.23544755381350424,0.4125907696877409,0.17714321587423665,0.027184086215524428
planned_state,30,0,ridge_alpha_10,predicted_uts_residual_anchor,q1,170,0.271623332809824,0.22609121728932277,0.16762961800627174,0.17710695229055773,0.4298664082022432,0.25275945591168547,0.03482127198280183
planned_state,30,0,ridge_alpha_10,predicted_uts_residual_anchor,q2,101,0.3832197924628046,0.3272856627448945,0.14595835292964165,-0.0005270805262389544,0.2702284193144382,0.27075549984067715,0.04022976133545636
planned_state,30,0,ridge_alpha_10,predicted_uts_residual_anchor,q3,87,0.3306563438687503,0.30178581787897685,0.08731278417943568,0.42479444882878936,0.5208549527896366,0.0960605039608472,0.02945714591063084
planned_state,30,0,ridge_alpha_10,predicted_uts_residual_anchor,q4,70,0.23074476305355143,0.23212926101973586,-0.0060001273609104925,0.12982193021022792,0.11934824397896149,-0.010473686231266433,-0.013011498941969096
planned_state,30,0,ridge_alpha_10,shuffled_uts_residual_anchor,all,428,0.3080467300589379,0.33733136561949084,-0.09506556214685342,0.23544755381350424,0.08317272464242709,-0.15227482917107715,-0.019510295857079835
planned_state,30,0,ridge_alpha_10,shuffled_uts_residual_anchor,q1,170,0.271623332809824,0.2752269036305116,-0.013266794068868359,0.17710695229055773,0.1551278114658038,-0.02197914082475394,-0.0038442649855915667
planned_state,30,0,ridge_alpha_10,shuffled_uts_residual_anchor,q2,101,0.3832197924628046,0.41463406630919114,-0.08197455993726013,-0.0005270805262389544,-0.17128598515677673,-0.17075890463053778,-0.012137499980090172
planned_state,30,0,ridge_alpha_10,shuffled_uts_residual_anchor,q3,87,0.3306563438687503,0.38313129715053207,-0.15869936946563165,0.42479444882878936,0.22773809867929107,-0.1970563501494983,-0.04706226392624002
planned_state,30,0,ridge_alpha_10,shuffled_uts_residual_anchor,q4,70,0.23074476305355143,0.2851299891265201,-0.2356943028880222,0.12982193021022792,-0.32871005882306314,-0.45853198903329107,-0.03395110171010851
planned_state,30,0,random_forest,state_only,all,428,0.343697578737394,0.2780326576655347,0.19105436038591156,0.04824093635304383,0.3771754855205909,0.32893454916754705,0.05429053207121551
planned_state,30,0,random_forest,state_only,q1,170,0.3043862790124975,0.23309902792674408,0.23419994921264664,-0.03337842248917844,0.39397551576516954,0.427353938254348,0.06107260262345582
planned_state,30,0,random_forest,state_only,q2,101,0.39286386717493105,0.34176050254510376,0.13007906529381186,-0.05151908577709885,0.20424985867984113,0.25576894445694,0.03742781077046947
planned_state,30,0,random_forest,state_only,q3,87,0.4156295391127633,0.3184681128232111,0.23376929969164587,0.09117103216154965,0.4664178917440902,0.37524685958254056,0.08140702317559748
planned_state,30,0,random_forest,state_only,q4,70,0.24467212680618447,0.21473619171500777,0.12235122766922392,0.02160680832919415,0.2463756517996798,0.22476884347048565,0.028448362519975984
planned_state,30,0,random_forest,state_plus_crossfitted_predicted_uts,all,428,0.2780326576655347,0.29958509646861103,-0.07751765200548238,0.3771754855205909,0.2768731535528637,-0.1003023319677272,-0.017252564910322454
planned_state,30,0,random_forest,state_plus_crossfitted_predicted_uts,q1,170,0.23309902792674408,0.29581658549093803,-0.2690597130413781,0.39397551576516954,0.023989959342012313,-0.3699855564231572,-0.050367757492014636
planned_state,30,0,random_forest,state_plus_crossfitted_predicted_uts,q2,101,0.34176050254510376,0.3593550372877358,-0.051482060131597646,0.20424985867984113,0.12020708725331819,-0.08404277142652294,-0.008321143031115752
planned_state,30,0,random_forest,state_plus_crossfitted_predicted_uts,q3,87,0.3184681128232111,0.293136988783438,0.07954053489127479,0.4664178917440902,0.547924892183701,0.08150700043961079,0.01682307683059933
planned_state,30,0,random_forest,state_plus_crossfitted_predicted_uts,q4,70,0.21473619171500777,0.2076628671804334,0.03293960127579196,0.2463756517996798,0.2952061274028026,0.048830475603122814,0.007932125055785999
planned_state,30,0,random_forest,predicted_uts_residual_anchor,all,428,0.2780326576655347,0.26518824574977123,0.04619749357363236,0.3771754855205909,0.4333921112126128,0.056216625692021904,0.0027660577463728686
planned_state,30,0,random_forest,predicted_uts_residual_anchor,q1,170,0.23309902792674408,0.2381430312168503,-0.02163888599179995,0.39397551576516954,0.36746436057494214,-0.026511155190227398,-0.012852019532747477
planned_state,30,0,random_forest,predicted_uts_residual_anchor,q2,101,0.34176050254510376,0.3281464749943422,0.03983499394862011,0.20424985867984113,0.2663845452031428,0.062134686523301674,0.01956645806195073
planned_state,30,0,random_forest,predicted_uts_residual_anchor,q3,87,0.3184681128232111,0.24915371608903336,0.21764940960558812,0.4664178917440902,0.673409093702971,0.20699120195888077,0.029239067467061536
planned_state,30,0,random_forest,predicted_uts_residual_anchor,q4,70,0.21473619171500777,0.24440947186553455,-0.13818481138898273,0.2463756517996798,0.023706286315845593,-0.2226693654838342,-0.016447072826810016
planned_state,30,0,random_forest,shuffled_uts_residual_anchor,all,428,0.2780326576655347,0.2950892994556334,-0.06134761985628804,0.3771754855205909,0.2984138633849276,-0.07876162213566329,-0.01378451172080486
planned_state,30,0,random_forest,shuffled_uts_residual_anchor,q1,170,0.23309902792674408,0.21944222741304079,0.0585879771150106,0.39397551576516954,0.4629068030049238,0.06893128723975428,0.014613929913057266
planned_state,30,0,random_forest,shuffled_uts_residual_anchor,q2,101,0.34176050254510376,0.3674510423725149,-0.07517117875264316,0.20424985867984113,0.08011835625898467,-0.12413150242085647,-0.013815479526718633
planned_state,30,0,random_forest,shuffled_uts_residual_anchor,q3,87,0.3184681128232111,0.35116011720613133,-0.10265393320890599,0.4664178917440902,0.35124648998977037,-0.11517140175431984,-0.05017740635056797
planned_state,30,0,random_forest,shuffled_uts_residual_anchor,q4,70,0.21473619171500777,0.2596042719497809,-0.20894512413781133,0.2463756517996798,-0.10145839488098352,-0.3478340466806633,-0.037476304528945764
planned_state,30,0,extra_trees,state_only,all,428,0.3955293908088956,0.274007307177042,0.30723907364590336,-0.26046733890478424,0.3950794124226269,0.6555467513274111,0.12305492370111282
planned_state,30,0,extra_trees,state_only,q1,170,0.36882998098416114,0.24093717652827043,0.3467527344567547,-0.5172658330937556,0.3525341317763435,0.8697999648700991,0.12993000223315532
planned_state,30,0,extra_trees,state_only,q2,101,0.47085297755837274,0.3245400703095941,0.31074011256653866,-0.5104405188951429,0.28242113807761804,0.7928616569727609,0.1451859752821604
planned_state,30,0,extra_trees,state_only,q3,87,0.4311341159860647,0.28736767453714734,0.3334610649405538,0.022100710662832812,0.5655446225370457,0.5434439118742129,0.1686213847438505
planned_state,30,0,extra_trees,state_only,q4,70,0.27434471558195855,0.25194078920932306,0.08166341504012853,-0.23009209122464158,-0.03738842683442489,0.1927036643902167,0.01779375697466687
planned_state,30,0,extra_trees,state_plus_crossfitted_predicted_uts,all,428,0.274007307177042,0.2865594484357283,-0.04580951284841483,0.3950794124226269,0.33838774477493105,-0.05669166764769584,-0.017318777584428874
planned_state,30,0,extra_trees,state_plus_crossfitted_predicted_uts,q1,170,0.24093717652827043,0.2844494606594123,-0.18059597426234608,0.3525341317763435,0.09755763485103541,-0.2549764969253081,-0.047316904926768655
planned_state,30,0,extra_trees,state_plus_crossfitted_predicted_uts,q2,101,0.3245400703095941,0.34351709403162345,-0.05847359219441311,0.28242113807761804,0.19604879295114408,-0.08637234512647396,-0.02468611276420532
planned_state,30,0,extra_trees,state_plus_crossfitted_predicted_uts,q3,87,0.28736767453714734,0.24651181871061062,0.1421727614017191,0.5655446225370457,0.6802983765562998,0.11475375401925403,0.026340098058544703
planned_state,30,0,extra_trees,state_plus_crossfitted_predicted_uts,q4,70,0.25194078920932306,0.24452880518067657,0.029419547552850978,-0.03738842683442489,0.02275269964640869,0.060141126480833584,0.01190208413580654
planned_state,30,0,extra_trees,predicted_uts_residual_anchor,all,428,0.274007307177042,0.2579593855675794,0.05856749505988066,0.3950794124226269,0.46386181022443995,0.06878239780181306,-0.0004556160423169753
planned_state,30,0,extra_trees,predicted_uts_residual_anchor,q1,170,0.24093717652827043,0.22734927694185456,0.05639602730557247,0.3525341317763435,0.42350386444783583,0.07096973267149231,0.004084167302944558
planned_state,30,0,extra_trees,predicted_uts_residual_anchor,q2,101,0.3245400703095941,0.31638272435232423,0.025135096413481946,0.28242113807761804,0.3180406188332152,0.03561948075559718,-0.019197024793239342
planned_state,30,0,extra_trees,predicted_uts_residual_anchor,q3,87,0.28736767453714734,0.24744958607945922,0.13890945988264944,0.5655446225370457,0.6778613655887724,0.11231674305172668,-0.0008028069133963756
planned_state,30,0,extra_trees,predicted_uts_residual_anchor,q4,70,0.25194078920932306,0.24659079480139437,0.021235126017977526,-0.03738842683442489,0.0062019309505312314,0.043590357784956124,0.015991879971005984
planned_state,30,0,extra_trees,shuffled_uts_residual_anchor,all,428,0.274007307177042,0.3061971424260529,-0.11747801757787547,0.3950794124226269,0.2446011093674374,-0.1504783030551895,-0.04008904215721193
planned_state,30,0,extra_trees,shuffled_uts_residual_anchor,q1,170,0.24093717652827043,0.25583549497853214,-0.061834867764849116,0.3525341317763435,0.2699865804039069,-0.08254755137243663,-0.022245488479354647
planned_state,30,0,extra_trees,shuffled_uts_residual_anchor,q2,101,0.3245400703095941,0.3871623750753965,-0.19295708140466003,0.28242113807761804,-0.021219916194309185,-0.3036410542719272,-0.06817231067813348
planned_state,30,0,extra_trees,shuffled_uts_residual_anchor,q3,87,0.28736767453714734,0.31449781404114835,-0.09440915561466172,0.5655446225370457,0.47963915256016854,-0.0859054699768772,-0.06179871876120882
planned_state,30,0,extra_trees,shuffled_uts_residual_anchor,q4,70,0.25194078920932306,0.27403388604509565,-0.08769162351641567,-0.03738842683442489,-0.22730630870552915,-0.18991788187110425,-0.015921215586854054
planned_state,30,0,ridge_alpha_10,measured_uts_residual_ceiling,all,195,0.25255235769417117,0.13202790995085328,0.47722558935390036,0.3119509634421789,0.8119609565625161,0.5000099931203372,0.08714893079483757
planned_state,30,0,ridge_alpha_10,measured_uts_residual_ceiling,q1,70,0.22054902888537292,0.12373913033412393,0.438949557114416,0.26910008855243006,0.7699290804274652,0.5008289918750352,0.08081059392407476
planned_state,30,0,ridge_alpha_10,measured_uts_residual_ceiling,q2,38,0.27809190339934453,0.12989024768601365,0.5329233030582371,0.22907888591951686,0.8318153557258868,0.60273646980637,0.11417008354494883
planned_state,30,0,ridge_alpha_10,measured_uts_residual_ceiling,q3,47,0.28140458312721117,0.10646903635679447,0.6216513776228574,0.33621790481453695,0.904981133012365,0.5687632281978281,0.0980646818705136
planned_state,30,0,ridge_alpha_10,measured_uts_residual_ceiling,q4,40,0.24352097499597267,0.1698108482224061,0.30268491974781875,0.03170460041941425,0.5291679875794739,0.49746338716005967,0.05974491769214732
planned_state,30,0,random_forest,measured_uts_residual_ceiling,all,195,0.25044300971714933,0.12415588289039158,0.5042549479395995,0.3233963048682089,0.8337157400885198,0.5103194352203109,0.07212301021940531
planned_state,30,0,random_forest,measured_uts_residual_ceiling,q1,70,0.2172488460237371,0.12592857917120404,0.4203486855002912,0.29081006055232994,0.7617152678740237,0.4709052073216937,0.08711473030788243
planned_state,30,0,random_forest,measured_uts_residual_ceiling,q2,38,0.24288425556111853,0.09569683289735278,0.6059982040570268,0.4119260008258987,0.9087089124181875,0.4967829115922888,0.07057465088523246
planned_state,30,0,random_forest,measured_uts_residual_ceiling,q3,47,0.31217156453733275,0.11828136831267556,0.6211014014425704,0.18313576265134968,0.8827275817425331,0.6995918190911834,0.07328283842587592
planned_state,30,0,random_forest,measured_uts_residual_ceiling,q4,40,0.22940202003269772,0.14918532917944857,0.34967735175921943,0.14073010490696403,0.6365979653755649,0.4958678604686009,0.04599564328943176
planned_state,30,0,extra_trees,measured_uts_residual_ceiling,all,195,0.23856955563337218,0.12151844293891965,0.4906372583194722,0.38603080739172313,0.8407054457862313,0.45467463839450817,0.07659452380150249
planned_state,30,0,extra_trees,measured_uts_residual_ceiling,q1,70,0.21903797395841587,0.12004686011816204,0.4519358540955423,0.27908105749250867,0.7834544715014891,0.5043734140089804,0.07201059552247097
planned_state,30,0,extra_trees,measured_uts_residual_ceiling,q2,38,0.2063591528006682,0.10190613404373214,0.5061710001195442,0.5754970393541057,0.8964777020592432,0.3209806627051375,0.06148033000253729
planned_state,30,0,extra_trees,measured_uts_residual_ceiling,q3,47,0.2746046077094789,0.09521763194450425,0.6532555198591539,0.36791011402346685,0.9240027366439854,0.5560926226205185,0.0949501167607407
planned_state,30,0,extra_trees,measured_uts_residual_ceiling,q4,40,0.25385614889173463,0.16201697179752844,0.36177645290512167,-0.052229553250103145,0.5713960767744062,0.6236256300245093,0.07740706067171968
planned_state,30,1,ridge_alpha_10,state_only,all,428,0.5067837189101797,0.4005244374303135,0.20967382635806253,-1.0692805912602923,-0.292504649917642,0.7767759413426503,0.09956405072149688
planned_state,30,1,ridge_alpha_10,state_only,q1,135,0.3929060592774351,0.27126197424478254,0.3096009393603126,-0.4283716266634132,0.319165431563067,0.7475370582264802,0.11342839447243774
planned_state,30,1,ridge_alpha_10,state_only,q2,150,0.5631565757900268,0.4696680870907039,0.16600798555565494,-1.6333185864102058,-0.8315854672988305,0.8017331191113752,0.08522384597123694
planned_state,30,1,ridge_alpha_10,state_only,q3,80,0.4825846239173884,0.348814074193111,0.27719604623618715,-0.706709461220768,0.10833722732467599,0.815046688545444,0.11679367819183617
planned_state,30,1,ridge_alpha_10,state_only,q4,63,0.6026350438014209,0.50243936216643,0.1662626205787115,-2.614778098062012,-1.5126973864717725,1.1020807115902396,0.08211919530141454
planned_state,30,1,ridge_alpha_10,state_plus_crossfitted_predicted_uts,all,428,0.4005244374303135,0.35018861375739946,0.12567478777539484,-0.292504649917642,0.011951829970082373,0.3044564798877244,0.036730163217183726
planned_state,30,1,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q1,135,0.27126197424478254,0.2536699568426017,0.06485250080170138,0.319165431563067,0.40460959442183186,0.08544416285876488,0.001887036089013694
planned_state,30,1,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q2,150,0.4696680870907039,0.38868289978050163,0.17243067931622558,-0.8315854672988305,-0.2543997349262763,0.5771857323725542,0.06741677506274185
planned_state,30,1,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q3,80,0.348814074193111,0.30145062429927055,0.1357842283268049,0.10833722732467599,0.3340448057932768,0.2257075784686008,0.042693206501202396
planned_state,30,1,ridge_alpha_10,state_plus_crossfitted_predicted_uts,q4,63,0.50243936216643,0.4691858156249368,0.06618419862271505,-1.5126973864717725,-1.191102150003359,0.3215952364684136,0.03075852707032234
planned_state,30,1,ridge_alpha_10,predicted_uts_residual_anchor,all,428,0.4005244374303135,0.3155149611129584,0.21224541719041987,-0.292504649917642,0.19792682652152993,0.49043147643917195,0.055904344962101976
planned_state,30,1,ridge_alpha_10,predicted_uts_residual_anchor,q1,135,0.27126197424478254,0.2506746743429788,0.07589452948250716,0.319165431563067,0.41858707678813223,0.09942164522506525,-0.01211373566933302
planned_state,30,1,ridge_alpha_10,predicted_uts_residual_anchor,q2,150,0.4696680870907039,0.31937973312184154,0.31998843033982455,-0.8315854672988305,0.15304606015869338,0.9846315274575239,0.1163239819963166
planned_state,30,1,ridge_alpha_10,predicted_uts_residual_anchor,q3,80,0.348814074193111,0.26738469532713915,0.23344636839650795,0.10833722732467599,0.47605496893237176,0.36771774160769577,0.07143716302793582
planned_state,30,1,ridge_alpha_10,predicted_uts_residual_anchor,q4,63,0.50243936216643,0.4560716932729275,0.09228510420356657,-1.5126973864717725,-1.070327795136873,0.4423695913348995,0.038076882816781565
planned_state,30,1,ridge_alpha_10,shuffled_uts_residual_anchor,all,428,0.4005244374303135,0.45152524504795793,-0.12733507085074666,-0.292504649917642,-0.6426239473539153,-0.35011929743627324,-0.050052732350384876
planned_state,30,1,ridge_alpha_10,shuffled_uts_residual_anchor,q1,135,0.27126197424478254,0.32491211546447146,-0.19777980813217805,0.319165431563067,0.023222665538927934,-0.29594276602413905,-0.03325834503204436
planned_state,30,1,ridge_alpha_10,shuffled_uts_residual_anchor,q2,150,0.4696680870907039,0.533413241303564,-0.13572383554463105,-0.8315854672988305,-1.3625046385759427,-0.5309191712771122,-0.07337879178961337
planned_state,30,1,ridge_alpha_10,shuffled_uts_residual_anchor,q3,80,0.348814074193111,0.457828438488763,-0.31252857141108153,0.10833722732467599,-0.5360953236363766,-0.6444325509610526,-0.10271847654023225
planned_state,30,1,ridge_alpha_10,shuffled_uts_residual_anchor,q4,63,0.50243936216643,0.4639179709641154,0.07666873677296535,-1.5126973864717725,-1.1421765918870856,0.3705207945846869,0.03637466706383913
planned_state,30,1,random_forest,state_only,all,428,0.3935978922269881,0.3439975587888171,0.12601778215206105,-0.2481868536373828,0.04657881624006699,0.2947656698774498,0.03486594386174299
planned_state,30,1,random_forest,state_only,q1,135,0.3507120086122002,0.27319884122485893,0.22101657623321205,-0.1380596750461407,0.30940811969156257,0.44746779473770326,0.04774208331726695
planned_state,30,1,random_forest,state_only,q2,150,0.44270685751016114,0.39717378885396043,0.10285150971521968,-0.6273373179740667,-0.30980379690406235,0.3175335210700043,0.03329396736347767
planned_state,30,1,random_forest,state_only,q3,80,0.379605793007156,0.3075689483160447,0.18976750623443026,-0.056034965880504606,0.3067376568993909,0.3627726227798955,0.057116720449370495
planned_state,30,1,random_forest,state_only,q4,63,0.37319211986933204,0.38505960802416456,-0.03179994304002923,-0.38623802165559407,-0.4758044162278978,-0.08956639457230375,-0.017237936753592642
planned_state,30,1,random_forest,state_plus_crossfitted_predicted_uts,all,428,0.3439975587888171,0.3148204319277992,0.0848178311606275,0.04657881624006699,0.2014540767430686,0.1548752605030016,0.012903074103465667
planned_state,30,1,random_forest,state_plus_crossfitted_predicted_uts,q1,135,0.27319884122485893,0.2866498573811419,-0.04923526064743437,0.30940811969156257,0.23973110593728086,-0.0696770137542817,-0.03889347147790856
planned_state,30,1,random_forest,state_plus_crossfitted_predicted_uts,q2,150,0.39717378885396043,0.31946361350533836,0.1956578644649581,-0.30980379690406235,0.15260112177917307,0.4624049186832354,0.056727726941967316
planned_state,30,1,random_forest,state_plus_crossfitted_predicted_uts,q3,80,0.3075689483160447,0.26909262401450157,0.1250982081000144,0.3067376568993909,0.46934015883787117,0.16260250193848025,0.04050102006487222
planned_state,30,1,random_forest,state_plus_crossfitted_predicted_uts,q4,63,0.38505960802416456,0.4028820535049543,-0.04628490007622744,-0.4758044162278978,-0.6155809400598775,-0.1397765238319797,-0.01549375048704632
planned_state,30,1,random_forest,predicted_uts_residual_anchor,all,428,0.3439975587888171,0.3021980913810545,0.12151094198149125,0.04657881624006699,0.2642038514904945,0.21762503525042753,0.031198139811648623
planned_state,30,1,random_forest,predicted_uts_residual_anchor,q1,135,0.27319884122485893,0.266039541574888,0.026205453939236834,0.30940811969156257,0.34512841983939047,0.0357203001478279,-0.006232011882176786
planned_state,30,1,random_forest,predicted_uts_residual_anchor,q2,150,0.39717378885396043,0.29690694248313504,0.2524508141892848,-0.30980379690406235,0.2680426255137549,0.5778464224178173,0.07649960315989848
planned_state,30,1,random_forest,predicted_uts_residual_anchor,q3,80,0.3075689483160447,0.2533891617226292,0.17615493010608685,0.3067376568993909,0.5294684977696924,0.22273084087030148,0.054839236936199465
planned_state,30,1,random_forest,predicted_uts_residual_anchor,q4,63,0.38505960802416456,0.4211113876405497,-0.09362649019816868,-0.4758044162278978,-0.765089974605252,-0.28928555837735415,-0.02647546008573398
planned_state,30,1,random_forest,shuffled_uts_residual_anchor,all,428,0.3439975587888171,0.39738307076009394,-0.15519154310060274,0.04657881624006699,-0.27230958473203315,-0.31888840097210014,-0.031201495524428274
planned_state,30,1,random_forest,shuffled_uts_residual_anchor,q1,135,0.27319884122485893,0.3163780574427323,-0.1580505101130143,0.30940811969156257,0.07386036163218757,-0.235547758059375,-0.009085441385025927
planned_state,30,1,random_forest,shuffled_uts_residual_anchor,q2,150,0.39717378885396043,0.45989567933794473,-0.15792051803057663,-0.30980379690406235,-0.7561586379873533,-0.44635484108329093,-0.05475904471133797
planned_state,30,1,random_forest,shuffled_uts_residual_anchor,q3,80,0.3075689483160447,0.39417675577911143,-0.2815882680525742,0.3067376568993909,-0.13866155302133487,-0.4453992099207258,-0.055548899231113
planned_state,30,1,random_forest,shuffled_uts_residual_anchor,q4,63,0.38505960802416456,0.3967812717122437,-0.030441166624112767,-0.4758044162278978,-0.5670224082524697,-0.09121799202457193,0.008413700757348264
planned_state,30,1,extra_trees,state_only,all,428,0.3857278000753706,0.3128278555988292,0.1889932342504141,-0.19877025065840082,0.2115304765521635,0.4103007272105643,0.06576070851612215
planned_state,30,1,extra_trees,state_only,q1,135,0.3569273118843802,0.24773383921011038,0.3059263582206367,-0.17875439304754037,0.4321489566251785,0.6109033496727189,0.09373837367503443
planned_state,30,1,extra_trees,state_only,q2,150,0.41599554932404414,0.3474096164139468,0.16487179495440132,-0.4368864643433781,-0.0021408295973623925,0.4347456347460157,0.0607622857236243
planned_state,30,1,extra_trees,state_only,q3,80,0.37760583751910737,0.2859877068483719,0.2426290103793734,-0.04493682480147099,0.4006129353418951,0.4455497601433661,0.10133376860808957
planned_state,30,1,extra_trees,state_only,q4,63,0.38041400076701726,0.376960720175509,0.009077690580645005,-0.44040911681689865,-0.41437663641738376,0.02603248039951489,-0.02746256426063809
planned_state,30,1,extra_trees,state_plus_crossfitted_predicted_uts,all,428,0.3128278555988292,0.30698716867312437,0.01867061011726185,0.2115304765521635,0.24069803675793588,0.02916756020577238,0.0073907684549422425
planned_state,30,1,extra_trees,state_plus_crossfitted_predicted_uts,q1,135,0.24773383921011038,0.2463516606812723,0.005579288373542823,0.4321489566251785,0.4384676897458063,0.006318733120627806,0.0037541469158094976
planned_state,30,1,extra_trees,state_plus_crossfitted_predicted_uts,q2,150,0.3474096164139468,0.33233183705745717,0.043400581458067924,-0.0021408295973623925,0.08295851685748545,0.08509934645484785,0.009156640926531123
planned_state,30,1,extra_trees,state_plus_crossfitted_predicted_uts,q3,80,0.2859877068483719,0.2701825555623876,0.05526514219845122,0.4006129353418951,0.4650326885462024,0.06441975320430726,0.014962263445539442
planned_state,30,1,extra_trees,state_plus_crossfitted_predicted_uts,q4,63,0.376960720175509,0.3931074724498564,-0.042834044530765975,-0.41437663641738376,-0.5381386152026295,-0.12376197878524575,0.0013644738167967185
planned_state,30,1,extra_trees,predicted_uts_residual_anchor,all,428,0.3128278555988292,0.2999019690692164,0.04131948705421223,0.2115304765521635,0.27534263506004997,0.06381215850788646,0.01158081873011882
planned_state,30,1,extra_trees,predicted_uts_residual_anchor,q1,135,0.24773383921011038,0.2550180485170795,-0.029403368268923286,0.4321489566251785,0.39826454972510894,-0.03388440690006955,-0.00743932133092659
planned_state,30,1,extra_trees,predicted_uts_residual_anchor,q2,150,0.3474096164139468,0.295707576487109,0.14882155669874605,-0.0021408295973623925,0.2739442164634217,0.2760850460607841,0.0358144446235934
planned_state,30,1,extra_trees,predicted_uts_residual_anchor,q3,80,0.2859877068483719,0.24694549609009503,0.13651709434831297,0.4006129353418951,0.5530953692516126,0.1524824339097175,0.03621506625680171
planned_state,30,1,extra_trees,predicted_uts_residual_anchor,q4,63,0.376960720175509,0.43131766041644537,-0.14419788941306222,-0.41437663641738376,-0.8516860657172804,-0.4373094292998967,-0.03664243171297121
planned_state,30,1,extra_trees,shuffled_uts_residual_anchor,all,428,0.3128278555988292,0.34946518716735653,-0.117116589564553,0.2115304765521635,0.01602987241181586,-0.19550060414034764,-0.020816025331511306
planned_state,30,1,extra_trees,shuffled_uts_residual_anchor,q1,135,0.24773383921011038,0.27818691600911233,-0.12292659289542511,0.4321489566251785,0.283960201399706,-0.14818875522547248,-0.001201466987008848
planned_state,30,1,extra_trees,shuffled_uts_residual_anchor,q2,150,0.3474096164139468,0.38831138017766675,-0.11773353940492118,-0.0021408295973623925,-0.2520028640374228,-0.2498620344400604,-0.035951816250372304
planned_state,30,1,extra_trees,shuffled_uts_residual_anchor,q3,80,0.2859877068483719,0.35786208937421576,-0.2513198323029704,0.4006129353418951,0.06147894134023768,-0.33913399400165745,-0.06490279172448987
planned_state,30,1,extra_trees,shuffled_uts_residual_anchor,q4,63,0.376960720175509,0.37711176113828565,-0.00040068090570896686,-0.41437663641738376,-0.41551029091213354,-0.0011336544947497806,0.02917357106149865
planned_state,30,1,ridge_alpha_10,measured_uts_residual_ceiling,all,195,0.33086587715496496,0.14314408584595445,0.5673652203823024,-0.18092005017851753,0.7789638255924842,0.9598838757710018,0.11274608887127058
