plate,repeat,method,scope,n,rmse
3496,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|real,dynamic_ood_q4,519,0.07432256725539045
3496,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|wrong,dynamic_ood_q4,519,0.07509655777289057
3496,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,dynamic_ood_q4,519,0.07574407747217875
3496,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,dynamic_ood_q4,519,0.07123781684937042
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,519,0.07379801817551827
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.0554036266972349
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,dynamic_ood_q4,519,0.07309852607048578
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05542385352732108
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,dynamic_ood_q4,519,0.07110232953034373
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05590689627316941
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,dynamic_ood_q4,519,0.07439781419858578
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.0559599396821863
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,519,0.0745561209944859
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.056429246115000095
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.07860904542705242
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,dynamic_ood_q4,519,0.07343314236656379
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.0556135952438227
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.07784616151044349
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,dynamic_ood_q4,519,0.07415903467276441
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05607663009094902
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.07851720973253222
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|obelix_wrong_ionic,95,0.07932772710324146
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,dynamic_ood_q4,519,0.07330062691353859
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05566706263769792
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.07833862713783782
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|obelix_wrong_ionic,95,0.07870630346993876
3496,0,skill_matched_wrong|acid_oer_same_reaction,dynamic_ood_q4,519,0.07296642397137856
3496,0,skill_matched_wrong|orr_adjacent_oxygen_electrocatalysis,dynamic_ood_q4,519,0.07619874347337793
3496,0,skill_matched_wrong|ocx_adjacent_electrocatalysis,dynamic_ood_q4,519,0.07535428881993174
3496,1,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|real,dynamic_ood_q4,520,0.05522773900313937
3496,1,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|wrong,dynamic_ood_q4,520,0.0544357777147273
3496,1,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,dynamic_ood_q4,520,0.05538246681294286
3496,1,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,37,0.04621818093320621
3496,1,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,dynamic_ood_q4,520,0.05458143748852527
3496,1,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,37,0.044315847399099245
3496,1,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,520,0.05430929936495953
3496,1,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,37,0.04383839617292207
