plate,repeat,method,scope,n,rmse
3496,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|real,dynamic_ood_q4,519,0.07382492531702257
3496,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|wrong,dynamic_ood_q4,519,0.0800049945891696
3496,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,dynamic_ood_q4,519,0.07368797706183493
3496,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,dynamic_ood_q4,519,0.06787282908821957
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,519,0.07123909142567769
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05543361537371647
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,dynamic_ood_q4,519,0.0739787730061986
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05444363623607774
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,dynamic_ood_q4,519,0.06795531549607524
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05536555927762152
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,dynamic_ood_q4,519,0.07404434903258518
3496,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05566115758745136
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,519,0.07537146548113031
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05636236467672817
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.07904723107050579
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,dynamic_ood_q4,519,0.07696160082157959
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05545210231286623
3496,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.08135259337620376
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,dynamic_ood_q4,519,0.0717077219954612
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05673521825082351
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.07605012271355333
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|obelix_wrong_ionic,95,0.07685696376562993
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,dynamic_ood_q4,519,0.0710926683131252
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,30,0.05578198263112702
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,144,0.07666012328241528
3496,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|obelix_wrong_ionic,95,0.0756492902440581
3496,0,skill_matched_wrong|acid_oer_same_reaction,dynamic_ood_q4,519,0.069954329780578
3496,0,skill_matched_wrong|orr_adjacent_oxygen_electrocatalysis,dynamic_ood_q4,519,0.07641925468679732
3496,0,skill_matched_wrong|ocx_adjacent_electrocatalysis,dynamic_ood_q4,519,0.07340502608132954
3851,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|real,dynamic_ood_q4,520,0.030758100018624543
3851,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.03118509633754615
3851,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|wrong,dynamic_ood_q4,520,0.03145808422099343
3851,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.030366741277995372
3851,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,dynamic_ood_q4,520,0.03147775655726907
3851,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.032838779165603744
3851,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.03365439633240759
3851,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,dynamic_ood_q4,520,0.031711664843724646
3851,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.03261952261227664
3851,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.03418132274722275
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,520,0.030145836536633417
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.02938620894939313
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.030476388523287882
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.03128615549598667
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,dynamic_ood_q4,520,0.0308433744358566
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.030167736518255068
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.03303705015576197
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.03150376324258087
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,dynamic_ood_q4,520,0.03278166171802386
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.03472100456635658
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.03742730974302385
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.03224231715529498
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic,70,0.027767590844886406
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,dynamic_ood_q4,520,0.031089335632193293
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.030595018536705473
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.0327612038428929
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.03179974917256589
3851,0,size_matched|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic,70,0.02514314793558419
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,520,0.031164215327997145
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.031395703923578815
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.03331069683469711
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.03185625077699783
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic,70,0.025654510868435957
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,75,0.029626478381222204
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,dynamic_ood_q4,520,0.031206800326479947
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.0313515691365168
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.032428479364777205
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.03229436734701607
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic,70,0.0256622686766258
3851,0,size_matched|ocx_adjacent_electrocatalysis|borg_wrong_mechanical|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,75,0.03035026224737159
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,dynamic_ood_q4,520,0.03166843886439
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.03190163526964252
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.034301493737404806
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.03230761505957395
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic,70,0.026508096578425313
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,75,0.030379057318049144
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|real,coverage_matched_q4|ocx_adjacent_electrocatalysis|obelix_wrong_ionic,67,0.02624582552735195
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,dynamic_ood_q4,520,0.03164215722779651
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,23,0.03141940975366274
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,108,0.0336067228758487
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,141,0.032587923702026955
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|obelix_wrong_ionic,70,0.02556901364940168
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|borg_wrong_mechanical,75,0.030351778910589135
3851,0,size_matched|ocx_adjacent_electrocatalysis|obelix_wrong_ionic|wrong,coverage_matched_q4|ocx_adjacent_electrocatalysis|obelix_wrong_ionic,67,0.02681900731419781
3851,0,skill_matched_wrong|acid_oer_same_reaction,dynamic_ood_q4,520,0.03216586830770302
3851,0,skill_matched_wrong|orr_adjacent_oxygen_electrocatalysis,dynamic_ood_q4,520,0.030299559904584005
3851,0,skill_matched_wrong|ocx_adjacent_electrocatalysis,dynamic_ood_q4,520,0.031191267769105434
3860,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|real,dynamic_ood_q4,521,0.05896705614259729
3860,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,31,0.05503726364171266
3860,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|wrong,dynamic_ood_q4,521,0.058968958178706114
3860,0,size_matched|acid_oer_same_reaction|borg_wrong_mechanical|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,31,0.05465694138419851
3860,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,dynamic_ood_q4,521,0.058745951915121754
3860,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,31,0.05501813378555088
3860,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,110,0.05916305779088378
3860,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,dynamic_ood_q4,521,0.05907914646181043
3860,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,31,0.05575732725161929
3860,0,size_matched|acid_oer_same_reaction|obelix_wrong_ionic|wrong,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,110,0.05994094157670958
3860,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,dynamic_ood_q4,521,0.05893868322468421
3860,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|borg_wrong_mechanical,31,0.05518317130945219
3860,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|acid_oer_same_reaction|obelix_wrong_ionic,110,0.059762672279863545
3860,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|real,coverage_matched_q4|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical,37,0.05912448769735268
3860,0,size_matched|orr_adjacent_oxygen_electrocatalysis|borg_wrong_mechanical|wrong,dynamic_ood_q4,521,0.05888879566399963
