n,source,delta_r2,base_r2
30,ESTM_ZT,0.06519611101676492,-0.0986909803993159
30,OCx24_feh2,-0.0030396209224030635,-0.0986909803993159
30,ESTM_ZT,0.1369967126311259,0.04022371709868455
30,OCx24_feh2,0.005120526670123526,0.04022371709868455
30,ESTM_ZT,0.092310648837861,0.024918251649587497
30,OCx24_feh2,0.008512684497138934,0.024918251649587497
30,ESTM_ZT,0.1622760520768286,-0.04364686969740461
30,OCx24_feh2,-0.008474031617905498,-0.04364686969740461
30,ESTM_ZT,0.2189476035006479,0.052208064079772076
30,OCx24_feh2,0.002469886095868401,0.052208064079772076
30,ESTM_ZT,0.35214653757833336,0.03570153152644906
30,OCx24_feh2,-0.009210322742579824,0.03570153152644906
30,ESTM_ZT,0.12138992725525743,-0.06878957798737373
30,OCx24_feh2,0.00015261864632343247,-0.06878957798737373
30,ESTM_ZT,0.09272693586006053,0.08486078535744634
30,OCx24_feh2,-0.0007706583785277443,0.08486078535744634
60,ESTM_ZT,0.061235309973816654,0.21786663849936894
60,OCx24_feh2,0.000482557359545166,0.21786663849936894
60,ESTM_ZT,0.14641307064894404,0.29802982745484363
60,OCx24_feh2,-0.005540748644302984,0.29802982745484363
60,ESTM_ZT,0.06074320020458435,0.28858640843860417
60,OCx24_feh2,-0.002429761407544806,0.28858640843860417
60,ESTM_ZT,0.12359423268183412,0.15340890902156956
60,OCx24_feh2,0.0034131089747265753,0.15340890902156956
60,ESTM_ZT,0.10243109507548431,0.09356190326483316
60,OCx24_feh2,-0.003285859309160921,0.09356190326483316
60,ESTM_ZT,0.0930901780909783,0.2962736193114438
60,OCx24_feh2,-0.004278478872935421,0.2962736193114438
60,ESTM_ZT,0.06101736193877727,0.041431840989538116
60,OCx24_feh2,0.0014179312162094782,0.041431840989538116
60,ESTM_ZT,0.14357760234098138,0.2600718477249454
60,OCx24_feh2,0.010806948642553715,0.2600718477249454
120,ESTM_ZT,0.08662222854223278,0.4440195553639553
120,OCx24_feh2,0.004758311789133884,0.4440195553639553
120,ESTM_ZT,0.06632324549940927,0.44841428961182894
120,OCx24_feh2,0.007207665430810417,0.44841428961182894
120,ESTM_ZT,0.044829380220979376,0.5019823033432191
120,OCx24_feh2,-0.0028309155151309273,0.5019823033432191
120,ESTM_ZT,0.08893000551952768,0.3782012096019426
120,OCx24_feh2,0.003924284528414312,0.3782012096019426
120,ESTM_ZT,0.012851989574040878,0.5790998603438422
120,OCx24_feh2,1.0810784941028828e-05,0.5790998603438422
120,ESTM_ZT,0.13293355716943756,0.31645296614818585
120,OCx24_feh2,-0.001264418113333332,0.31645296614818585
120,ESTM_ZT,0.1382000007183264,0.2788387702387968
120,OCx24_feh2,0.0005101134668138441,0.2788387702387968
120,ESTM_ZT,0.07906302033307355,0.43374619030166195
120,OCx24_feh2,0.004787472941627291,0.43374619030166195
240,ESTM_ZT,0.05103168419403459,0.548819368306094
240,OCx24_feh2,0.002541010537488786,0.548819368306094
240,ESTM_ZT,0.06575214028762078,0.5195403674361093
240,OCx24_feh2,0.0005757189472769264,0.5195403674361093
240,ESTM_ZT,0.10869990213153202,0.4945653291226433
240,OCx24_feh2,0.0007784543076266859,0.4945653291226433
240,ESTM_ZT,0.14100339545771956,0.4649345666127741
240,OCx24_feh2,-0.007914580921024705,0.4649345666127741
240,ESTM_ZT,0.026927405639223023,0.6388938352427112
240,OCx24_feh2,0.004659117495994902,0.6388938352427112
240,ESTM_ZT,0.141541178590332,0.5046123331425294
240,OCx24_feh2,-6.632219699975739e-05,0.5046123331425294
240,ESTM_ZT,0.21288736705706712,0.4221366952908806
240,OCx24_feh2,0.003179198001428185,0.4221366952908806
240,ESTM_ZT,0.04633079322676337,0.530691951611981
240,OCx24_feh2,-0.0004873343078157788,0.530691951611981
