resource_id,claim_ids,role,primary_url,doi,doi_kind,upstream_license,raw_redistribution,repository_representation
aqsoldb,broad_scalar_screen,broad-screen donor and recipient,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OVHAW8,10.7910/DVN/OVHAW8,dataset record,CC0-1.0,not redistributed,data/collective.sqlite
freesolv,broad_scalar_screen,broad-screen donor and recipient,https://github.com/MobleyLab/FreeSolv,10.1007/s10822-014-9747-x,publication,CC-BY-4.0,not redistributed,data/collective.sqlite
estm-thermoelectric,broad_scalar_screen,broad-screen donor and recipient,https://github.com/KRICT-DATA/SIMD,10.1038/s41524-022-00897-2,publication,No explicit data licence stated upstream,not redistributed,data/collective.sqlite
mpea-dataset-borg,broad_scalar_screen,broad-screen donor and recipient,https://figshare.com/articles/dataset/Expanded_dataset_of_mechanical_properties_and_observed_phases_of_multi-principal_element_alloys/12642953,10.6084/m9.figshare.12642953.v9,dataset record,CC-BY-4.0,not redistributed,data/collective.sqlite
ocx24-open-catalyst-experiments-2024,broad_scalar_screen,broad-screen donor and recipient,https://fair-chem.github.io/fair-chemistry-papers/#open-catalyst-experiments-2024-ocx24,10.48550/arXiv.2411.11783,publication,CC-BY-4.0 data; MIT code,not redistributed,data/collective.sqlite
obelix-solid-electrolytes,broad_scalar_screen,broad-screen donor and recipient,https://github.com/NRC-Mila/OBELiX,10.1039/D5DD00441A,publication,CC-BY-4.0,not redistributed,data/collective.sqlite
openpoly-benchmark,broad_scalar_screen,broad-screen donor and recipient,https://github.com/WangGroupFDU/Openpoly_benchmark,10.1007/s10118-025-3402-y,publication,MIT,not redistributed,data/collective.sqlite
iupac-digitized-pka,broad_scalar_screen,broad-screen donor,https://github.com/IUPAC/Dissociation-Constants,10.5281/zenodo.7236452,dataset record,CC-BY-NC-4.0,not redistributed,data/collective.sqlite
photoswitch-dataset,broad_scalar_screen,broad-screen donor,https://github.com/Ryan-Rhys/The-Photoswitch-Dataset,10.1039/D2SC04306H,publication,MIT,not redistributed,data/collective.sqlite
bamboomixer,liasf6_external;solventseg_rank,source conductivity programme,https://huggingface.co/ByteDance-Seed/bamboo_mixer/resolve/main/dataset/data.json,10.1038/s42256-025-01173-w,publication,CC-BY-4.0,not redistributed,analysis/bamboomixer_response_transfer_design.json
bamboomixer-liasf6-extension,liasf6_external,external LiAsF6 recipient,https://huggingface.co/datasets/PKUAIBDA/Dataset_Bamboomixer_extension/resolve/main/LiAsF6_conductivity.json,10.1038/s42256-026-01277-x,publication,Apache-2.0,not redistributed,analysis/results/bamboomixer_LiAsF6_only_external_predictions.csv
calisol-23,solventseg_rank;finales_boundary,source conductivity programme,https://data.dtu.dk/articles/dataset/CALiSol-23/24559960,10.11583/DTU.24559960.v1,dataset record,CC-BY-4.0,not redistributed,analysis/review_packages/edison/legacy_kosmos_2026-07-30/solventseg_validation/CALiSol23_LiPF6_EC_EMC_harmonized.csv
kit-electrolyte-conductivity-5035,solventseg_rank,source conductivity programme,https://zenodo.org/records/7244939,10.5281/zenodo.7244939,dataset record,CC-BY-4.0,not redistributed,analysis/results/kit_temperature_summary.json
solventseg,solventseg_rank;solventseg_baseline_stress,recipient formulation programme,https://github.com/ndrewwang/SolventSeg/tree/beta,10.5281/zenodo.6299956,dataset record,MIT,not redistributed,analysis/review_packages/edison/legacy_kosmos_2026-07-30/solventseg_validation/SolventSeg_LiPF6_EC_EMC_harmonized.csv
finales,finales_boundary,second recipient programme,https://archive.materialscloud.org/records/61sz9-09m30,10.24435/materialscloud:qt-1s,dataset record,CC-BY-4.0,not redistributed,analysis/results/finales_rank_replication_candidates.csv
