resource_id,resource_name,domain,project_role,project_disposition,primary_url,doi,access,upstream_license,redistribution_in_this_repo,notes
aqsoldb,AqSolDB,aqueous molecular properties,donor and recipient,null control,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OVHAW8,10.1038/s41597-019-0151-1,open,CC0-1.0,derived summaries only,Organic solubility target/source portfolio
freesolv,FreeSolv,aqueous molecular properties,donor and recipient,null control,https://github.com/MobleyLab/FreeSolv,10.1007/s10822-014-9747-x,open,CC-BY-3.0,derived summaries only,Hydration free-energy source
calisol-23,CALiSol-23,electrolyte transport,donor and recipient,main and supplementary analyses,https://www.nature.com/articles/s41597-024-03575-8,10.1038/s41597-024-03575-8,open,CC-BY-4.0,small harmonized validation subset only,Literature-aggregated conductivity programme
kit-electrolyte-conductivity-5035,KIT/Juelich 5035 conductivity experiments,electrolyte transport,donor and recipient,supplement positive and Edison target,https://zenodo.org/records/7244939,10.5281/zenodo.7244939,open,CC-BY-4.0,derived summaries only,Controlled formulation-temperature series
bamboomixer,BambooMixer electrolyte conductivity,electrolyte transport,donor,main positive relation transfer,https://huggingface.co/ByteDance-Seed/bamboo_mixer/resolve/main/dataset/data.json,10.1038/s42256-025-01173-w,open,verify-upstream,derived summaries only,Source data associated with BambooMixer
bamboomixer-liasf6-extension,LiAsF6 BambooMixer extension,electrolyte transport,recipient,main positive unseen-salt test,https://huggingface.co/datasets/PKUAIBDA/Dataset_Bamboomixer_extension/resolve/main/LiAsF6_conductivity.json,10.1038/s42256-026-01277-x,open,verify-upstream,derived summaries only,External salt absent from source training
solventseg,SolventSeg LiPF6/EC/EMC,electrolyte transport,recipient,main positive ranking test,https://github.com/ndrewwang/SolventSeg/tree/beta,10.5281/zenodo.6299956,open,verify-upstream,small audit/harmonization artefacts only,Independent Oxford/Glasgow formulation programme
finales,FINALES electrolyte optimization,electrolyte transport,recipient,main boundary,https://archive.materialscloud.org/records/61sz9-09m30,10.24435/materialscloud:qt-1s,open,CC-BY-4.0,derived summaries only,Associated paper DOI 10.1002/aenm.202403263
estm-thermoelectric,ESTM thermoelectrics,thermoelectric transport,donor and recipient,null and ranking controls,https://github.com/KRICT-DATA/SIMD,10.1038/s41524-022-00897-2,open,Unknown,derived summaries only,Experimental thermoelectric transport
starrydata2,Starrydata2,thermoelectric transport,recipient,outcome-unseen null,https://www.starrydata2.org/,,open,upstream-specific,derived summaries only,Reference-separated transport series
obelix-solid-electrolytes,OBELiX,solid ionic transport,donor and recipient,adaptive-search null,https://github.com/NRC-Mila/OBELiX,10.1039/D5DD00441A,open,CC-BY-4.0,derived summaries only,Experimental solid electrolyte conductivity
caltech-ionic-external,Caltech experimental Li-ion conductivity,solid ionic transport,recipient,static ranking limited and adaptive null,https://data.caltech.edu/records/23mvv-6gk43,10.22002/23mvv-6gk43,open,CC0,derived summaries only,571 Li-containing compounds with DOI and ICSD provenance
mpea-dataset-borg,Borg expanded MPEA dataset,alloy mechanics,donor and recipient,provenance-specific positive and portability failure,https://figshare.com/articles/dataset/Expanded_dataset_of_mechanical_properties_and_observed_phases_of_multi-principal_element_alloys/12642953,10.1038/s41597-020-00768-9,open,Unknown,derived summaries only,UTS and yield-strength relations
birdshot-high-entropy-alloy-campaign,BIRDSHOT HTE alloys,alloy mechanics,recipient,below-gate external boundary,https://zenodo.org/records/16396374,10.5281/zenodo.16396374,open,CC-BY-4.0,derived summaries only,Temporal alloy campaign
matbench-steels,Matbench steels,alloy mechanics,recipient,independent null,https://figshare.com/articles/dataset/steels/7250453,10.6084/m9.figshare.7250453.v1,open,CC-BY-4.0,derived summaries only,Official Matbench steel folds
fatiguedata-c45,C45 steel fatigue dataset,alloy fatigue,recipient,null or unqualified external attempt,https://figshare.com/articles/dataset/FatigueData-C45/23007362,10.6084/m9.figshare.23007362.v2,open,CC-BY-4.0,derived summaries only,Associated article DOI 10.1038/s41597-023-02354-1
specgen-derivative-oer,SpecGen robotic derivative OER,electrocatalysis,donor and recipients,main controlled routing case,https://doi.org/10.1038/s44160-025-00983-5,10.1038/s44160-025-00983-5,publisher supplementary,verify-upstream,derived summaries only,Controlled catalyst derivative systems
caltech-acid-oer,Caltech high-throughput Acid-OER,electrocatalysis,donor/control,null portfolio component,https://data.caltech.edu/records/tg041-j4g80,10.22002/tg041-j4g80,open,repository record,derived summaries only,Mn/Sb/Sn/Ti/Co oxide libraries
caltech-metal-oxide-orr,Caltech metal-oxide ORR,electrocatalysis,donor/control,null portfolio component,https://data.caltech.edu/records/1km87-52j70,10.22002/D1.1632,open,repository record,derived summaries only,Mn/Ni/Mg/Ca/Fe/La/Y/In oxide catalysts
tri-oer,TRI four-plate OER,electrocatalysis,recipient,outcome-unseen null,https://data.caltech.edu/records/7b106-nf257,10.22002/D1.1345,open,repository record,derived summaries only,Four experimental composition plates
ocx24-open-catalyst-experiments-2024,OCx24,electrocatalysis,donor/control,null portfolio component,https://fair-chem.github.io/core/datasets/ocx24.html,10.48550/arXiv.2411.11783,open,CC-BY-4.0 data; MIT code,derived summaries only,Experimental and computational catalyst resource
au-ir-rh-seccm-20439519,Au-Ir-Rh SECCM libraries,electrocatalysis,donor and recipient,attention representation boundary,https://zenodo.org/records/20439519,10.5281/zenodo.20439519,open,CC-BY-4.0,derived summaries only,Three complete composition libraries with EDX XPS LSV and fitted kinetics; fitted target is derived from the input LSV
multistage-liion-aging,Multi-stage lithium-ion battery aging,battery aging,recipient,non-evaluable frozen primary and diagnostic,https://figshare.com/articles/dataset/Multi-Stage_Lithium_Ion_Battery_Aging_Study/25975315,10.6084/m9.figshare.25975315.v1,open,CC-BY-4.0,derived endpoint summaries only,279 cells and 71 aging conditions; associated paper DOI 10.1038/s41597-024-03859-z
matr-fastcharge,MATR fast-charging battery life,battery aging,donor,cross-lab abstention,https://data.matr.io,,open,CC-BY-4.0,not redistributed,Raw source required for complete rerun
hust-battery,HUST battery lifecycle,battery aging,recipient,cross-lab abstention,https://data.mendeley.com/datasets/nsc7hnsg4s/2,,open,verify-upstream,not redistributed,Recipient source used through a constrained mirror in the completed audit
calce-battery,CALCE battery data,battery aging,wrong-chemistry control,cross-lab control,https://web.calce.umd.edu/batteries/data/,,open,site-specific,not redistributed,Control source only
opv-dataset,Organic photovoltaic device database,optoelectronics,recipient,null external attempt,https://figshare.com/articles/dataset/Database_for_Organic_Photovoltaic_Cells/12045567,10.6084/m9.figshare.12045567.v2,open,CC-BY-4.0,derived summaries only,Associated article DOI 10.1038/s41597-020-00634-8
photoswitch-dataset,Photoswitch dataset,molecular photochemistry,donor,null/harmful optical portfolio,https://github.com/Ryan-Rhys/The-Photoswitch-Dataset,10.1039/D2SC04306H,open,MIT,derived summaries only,Experimental optical properties
optical-photocatalysis-supplement,Photocatalytic HER molecular dataset,photocatalysis,recipient,harmful Chemprop transfer,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8372320/supplementaryFiles?includeInlineImage=false,10.1039/D1SC02150H,open article supplement,verify-upstream,not redistributed,Blind set remained unopened after development gate failed
openpoly-benchmark,OpenPoly polymer benchmark,polymers,donor and recipient,null portfolio component,https://github.com/WangGroupFDU/Openpoly_benchmark,10.1007/s10118-025-3402-y,open,MIT,derived summaries only,Experimental polymer properties
iupac-digitized-pka,IUPAC digitized pKa,aqueous molecular properties,donor,null/control portfolio,https://github.com/IUPAC/Dissociation-Constants,10.5281/zenodo.7236452,open,CC-BY-NC-4.0,derived summaries only,Non-commercial upstream licence
nist-isodb,NIST/ARPA-E ISODB,adsorption thermodynamics,artifact-gate analysis,conditional pooled regularity,https://adsorption.nist.gov/isodb/index.php,,open,Public domain NIST/US Government,derived fit summaries only,Streamed from hash-pinned source archive
